peak,arm,fleet,trips_exactly_once,charging_cost_lower,charging_cost_upper,charging_cost_exact,positive_charging_windows,windows_shorter_than_3_min,shortest_window_seconds,minimum_soc_kwh_across_buses,ending_soc_total_kwh,charged_kwh
peak08,"Original GIRO, unchanged charging",5,62,230.28700962629637,230.9810746873893,,52,0,240.0,45.51461930000002,280.7833253000003,1891.1133098
peak08,"Fixed GIRO trips, charging optimized",5,62,128.29345485323574,128.29345485323574,128.29345485323574,46,6,25.71428571428669,0.0,281.17000050000007,1891.499985
peak08,Fresh CG plus exact-once cleanup,5,62,124.69204890407855,124.69204890407855,124.69204890407855,44,3,25.71428571428669,0.0,281.1700005,1891.499985
peak12,"Original GIRO, unchanged charging",5,62,289.5935355365639,290.5965839307596,,52,0,240.0,45.51461930000002,280.7833253000003,1891.1133098
peak12,"Fixed GIRO trips, charging optimized",5,62,164.2305708873173,164.2305708873173,164.2305708873173,43,3,51.42857142857338,1.4210854715202004e-14,281.17000050000007,1891.499985
peak12,Fresh CG plus exact-once cleanup,5,62,160.60524134602747,160.60524134602747,160.60524134602747,46,6,25.71428571428669,1.4210854715202004e-14,281.1700005000001,1891.499985
peak18,"Original GIRO, unchanged charging",5,62,223.44729058227836,223.7232277426603,,52,0,240.0,45.51461930000002,280.7833253000003,1891.1133098
peak18,"Fixed GIRO trips, charging optimized",5,62,95.28505423778552,95.28505423778552,95.28505423778552,42,2,77.14285714285325,1.5400010000000108,282.9000000000001,1893.2299845
peak18,Fresh CG plus exact-once cleanup,5,62,88.29557645192835,88.29557645192835,88.29557645192835,44,6,25.714285714279868,1.4210854715202004e-14,282.9000000000001,1893.2299845
