tariff,terminal_policy,matched_feasible_duties,actual_infeasible_duties,prefix_relaxation_infeasible_duties,uncapped_arrival_cost,prefix_causal_lower_cost,prefix_timing_upper_value,prefix_timing_upper_pct,uncapped_timing_value,uncapped_achieved_over_bound_pct
peak12,>= reserve,15,,,516.585654263042,484.046346251352,32.539308011690,6.298918241954,7.795144696457,23.956086262364
peak12,>= initial,12,13302;13410;13304,13302,537.536345889630,460.101453799750,77.434892089880,14.405517446774,40.411730845328,52.188012089461
two_peak_se3_synthetic,>= reserve,15,,,522.714547043824,482.489595030525,40.224952013299,7.695395553996,27.848988121251,69.233117076296
two_peak_se3_synthetic,>= initial,12,13302;13410;13304,13302,686.998822340254,475.353192523716,211.645629816538,30.807276946352,181.690650490712,85.846634607201
