row_kind,tariff,terminal_policy,duties_total,fixed_matched_duties,fixed_matched_duty_ids,configuration_feasible_count,configuration_infeasible_duties,uncapped_infeasible_count,uncapped_infeasible_duties,infeasible_under_cap_count,infeasible_under_cap_duties,uncapped_arrival_cost,uncapped_optimized_cost,uncapped_timing_value,uncapped_timing_pct,capped_arrival_cost,capped_optimized_cost,capped_timing_value,capped_timing_pct,cap_cost,cap_cost_pct_of_uncapped_arrival,all_fixed_set_replays_ok
matched_timing_result,flat,>= reserve,40,30,13301;13305;13306;13307;13308;13309;13310;13311;13313;13314;13315;13316uwt;13317;13318;13320;13322;13323;13324t;13326;13401;13402;13403;13404;13406;13407;13408;13411;13412;13413;13414,39,13303,0,,1,13303,838.433628523648,838.433628523648,0.0,0.0,838.433628523648,838.433628523648,0.0,0.0,0.0,0.0,True
matched_timing_result,flat,>= initial,40,30,13301;13305;13306;13307;13308;13309;13310;13311;13313;13314;13315;13316uwt;13317;13318;13320;13322;13323;13324t;13326;13401;13402;13403;13404;13406;13407;13408;13411;13412;13413;13414,30,13302;13303;13304;13312;13319;13321;13325;13405;13409;13410,7,13302;13304;13312;13319;13325;13409;13410,10,13302;13303;13304;13312;13319;13321;13325;13405;13409;13410,1549.746335664128,1549.746335664128,0.0,0.0,1549.746335664128,1549.746335664128,0.0,0.0,0.0,0.0,True
matched_timing_result,peak12,>= reserve,40,30,13301;13305;13306;13307;13308;13309;13310;13311;13313;13314;13315;13316uwt;13317;13318;13320;13322;13323;13324t;13326;13401;13402;13403;13404;13406;13407;13408;13411;13412;13413;13414,39,13303,0,,1,13303,888.9689802799533,869.3430298831141,19.62595039683913,2.207720497812932,914.0711960723708,895.6505591195553,18.42063695281547,2.015229998709754,25.102215792417496,2.8237448492873543,True
matched_timing_result,peak12,>= initial,40,30,13301;13305;13306;13307;13308;13309;13310;13311;13313;13314;13315;13316uwt;13317;13318;13320;13322;13323;13324t;13326;13401;13402;13403;13404;13406;13407;13408;13411;13412;13413;13414,30,13302;13303;13304;13312;13319;13321;13325;13405;13409;13410,7,13302;13304;13312;13319;13325;13409;13410,10,13302;13303;13304;13312;13319;13321;13325;13405;13409;13410,1248.6019275186807,1123.364912393303,125.23701512537764,10.030179544433222,1295.9797800579847,1169.046950770482,126.93282928750273,9.794352600302412,47.37785253930406,3.7944721608316776,True
matched_timing_result,two_peak_se3_synthetic,>= reserve,40,30,13301;13305;13306;13307;13308;13309;13310;13311;13313;13314;13315;13316uwt;13317;13318;13320;13322;13323;13324t;13326;13401;13402;13403;13404;13406;13407;13408;13411;13412;13413;13414,39,13303,0,,1,13303,841.0336649977893,801.3345199414841,39.699145056305156,4.72028013960767,852.6658789291195,812.1234924685789,40.54238646054057,4.754779974479404,11.63221393133017,1.3830854120876062,True
matched_timing_result,two_peak_se3_synthetic,>= initial,40,30,13301;13305;13306;13307;13308;13309;13310;13311;13313;13314;13315;13316uwt;13317;13318;13320;13322;13323;13324t;13326;13401;13402;13403;13404;13406;13407;13408;13411;13412;13413;13414,30,13302;13303;13304;13312;13319;13321;13325;13405;13409;13410,7,13302;13304;13312;13319;13325;13409;13410,10,13302;13303;13304;13312;13319;13321;13325;13405;13409;13410,1633.9749105110104,1134.543025392096,499.43188511891435,30.565456171093942,1680.8737622337921,1151.6217206964814,529.2520415373108,31.486721574734016,46.89885172278173,2.8702308353140227,True
