cell,tariff,duties,charge_events,delayed_starts,peak_kW,charger_concurrency_max,station_concurrency_max
k02_s1,flat,2,7,1,240,1,1
k02_s1,peak12,2,7,0,240,1,1
k02_s2,flat,2,13,2,480,2,1
k02_s2,peak12,2,14,3,480,2,1
k02_s3,flat,2,9,0,480,2,1
k02_s3,peak12,2,9,2,480,2,1
k03_s1,flat,3,10,2,480,2,1
k03_s1,peak12,3,11,2,480,2,1
k03_s2,flat,3,19,1,480,2,1
k03_s2,peak12,3,19,3,480,2,1
k03_s3,flat,3,9,2,480,2,1
k03_s3,peak12,3,11,2,480,2,1
k05_s1,flat,5,35,3,480,2,2
k05_s1,peak12,5,42,4,960,4,2
k05_s2,flat,5,23,2,720,3,2
k05_s2,peak12,5,26,3,480,2,2
k05_s3,flat,5,27,4,480,2,1
k05_s3,peak12,5,30,3,720,3,1
