duty,trip_count,tariff,terminal_policy,event_cap_N,matched_feasible,infeasible_under_cap,uncapped_arrival_feasible,uncapped_arrival_reason,uncapped_arrival_charging_cost,uncapped_arrival_charge_events,uncapped_arrival_charge_starts,uncapped_arrival_peak_kW,uncapped_arrival_charger_concurrency_max,uncapped_arrival_total_kwh,uncapped_arrival_terminal_soc_kwh,uncapped_arrival_replay_ok,uncapped_optimized_feasible,uncapped_optimized_reason,uncapped_optimized_charging_cost,uncapped_optimized_charge_events,uncapped_optimized_charge_starts,uncapped_optimized_peak_kW,uncapped_optimized_charger_concurrency_max,uncapped_optimized_total_kwh,uncapped_optimized_terminal_soc_kwh,uncapped_optimized_replay_ok,capped_arrival_feasible,capped_arrival_reason,capped_arrival_charging_cost,capped_arrival_charge_events,capped_arrival_charge_starts,capped_arrival_peak_kW,capped_arrival_charger_concurrency_max,capped_arrival_total_kwh,capped_arrival_terminal_soc_kwh,capped_arrival_replay_ok,capped_optimized_feasible,capped_optimized_reason,capped_optimized_charging_cost,capped_optimized_charge_events,capped_optimized_charge_starts,capped_optimized_peak_kW,capped_optimized_charger_concurrency_max,capped_optimized_total_kwh,capped_optimized_terminal_soc_kwh,capped_optimized_replay_ok,uncapped_timing_value,uncapped_timing_pct,capped_timing_value,capped_timing_pct,cap_cost,cap_cost_pct_of_uncapped_arrival
13312,46,peak12,>= reserve,14,True,False,True,,37.231727693656225,16,16,240.0,1,511.02099266000005,2.1316282072803006e-14,True,True,,36.984904694874125,16,16,240.0,1,511.02099266,2.1316282072803006e-14,True,True,,38.8932273052976,14,14,240.0,1,511.02099266,0.0,True,True,,38.89322730529761,14,14,240.0,1,511.02099266,0.0,True,0.24682299878210046,0.6629372690221832,-7.105427357601002e-15,-1.8269060836289046e-14,1.661499611641375,4.462590684247166
13313,37,peak12,>= reserve,9,True,False,True,,50.040141566952876,12,12,240.0,1,442.62098856,1.509903313490213e-14,True,True,,50.040141566952876,12,12,240.0,1,442.62098856,1.509903313490213e-14,True,True,,51.312752413320744,9,9,240.0,1,442.62098856,1.509903313490213e-14,True,True,,51.312752413320716,9,9,240.0,1,442.62098855999926,0.0,True,0.0,0.0,2.842170943040401e-14,5.538917343873714e-14,1.2726108463678685,2.5431799481724813
13314,16,peak12,>= reserve,3,True,False,True,,14.476484049629816,2,2,240.0,1,122.17499946000001,3.2862601528904634e-14,True,True,,14.476484049629816,3,3,240.0,1,122.17499946000001,3.2862601528904634e-14,True,True,,14.476484049629816,2,2,240.0,1,122.17499946000001,3.2862601528904634e-14,True,True,,14.476484049629816,2,2,240.0,1,122.17499946000001,3.2862601528904634e-14,True,0.0,0.0,0.0,0.0,0.0,0.0
13315,31,peak12,>= reserve,6,True,False,True,,38.61451266758178,5,5,240.0,1,204.26999966,1.1546319456101628e-14,True,True,,38.61451266758168,5,5,240.0,1,204.2699996599996,0.0,True,True,,38.61451266758178,5,5,240.0,1,204.26999965999997,0.0,True,True,,38.61451266758178,5,5,240.0,1,204.26999966,1.1546319456101628e-14,True,9.947598300641403e-14,2.576129442905738e-13,0.0,0.0,0.0,0.0
13316uwt,21,peak12,>= reserve,5,True,False,True,,21.592674475762397,5,5,240.0,1,175.26199816000266,2.637889906509372e-12,True,True,,21.418157795527833,5,5,240.0,1,175.2619981599957,0.0,True,True,,21.59267447576228,5,5,240.0,1,175.26199816000002,0.0,True,True,,21.418157795527915,5,5,240.0,1,175.26199815999956,8.881784197001252e-15,True,0.17451668023456435,0.8082216977357665,0.1745166802343654,0.8082216977348494,-1.1723955140041653e-13,-5.429598428486336e-13
13317,37,peak12,>= reserve,8,True,False,True,,44.171509444214024,14,14,240.0,1,388.95099702,2.4868995751603507e-14,True,True,,38.469868169109176,14,14,240.0,1,388.95099702,2.6645352591003757e-14,True,True,,50.89294138105191,8,8,240.0,1,388.95099702,0.0,True,True,,42.947450722066726,8,8,240.0,1,388.95099702,5.329070518200751e-15,True,5.701641275104848,12.907961142477326,7.945490658985186,15.612166330679784,6.721431936837888,15.216667986695485
13318,33,peak12,>= reserve,8,True,False,True,,21.580618649831283,10,10,240.0,1,348.68099445999997,0.0,True,True,,21.55387391162451,9,9,240.0,1,348.68099445999997,0.0,True,True,,21.60796846783139,8,8,240.0,1,348.68099445999997,0.0,True,True,,21.599380801649733,8,8,240.0,1,348.68099445999997,0.0,True,0.026744738206772922,0.12392943242608113,0.008587666181657738,0.03974305217282469,0.027349818000107717,0.12673324358253066
13319,27,peak12,>= reserve,8,True,False,True,,12.450291087795971,9,9,240.0,1,269.85199635,7.105427357601002e-15,True,True,,12.450291087795971,8,8,240.0,1,269.85199635,7.105427357601002e-15,True,True,,12.450291087795971,8,8,240.0,1,269.85199635,7.105427357601002e-15,True,True,,12.450291087795973,8,8,240.0,1,269.85199635,7.105427357601002e-15,True,0.0,0.0,-1.7763568394002505e-15,-1.4267592836776897e-14,0.0,0.0
13320,16,peak12,>= reserve,3,True,False,True,,4.001319321565723,4,4,240.0,1,62.11099660000005,3.730349362740526e-14,True,True,,3.808749191652001,3,3,240.0,1,62.1109966,1.7763568394002505e-15,True,True,,4.001319321565723,3,3,240.0,1,62.11099660000005,3.730349362740526e-14,True,True,,3.808749191652005,3,3,240.0,1,62.11099660000005,3.730349362740526e-14,True,0.1925701299137219,4.812665884370581,0.1925701299137179,4.812665884370481,0.0,0.0
13321,22,peak12,>= reserve,5,True,False,True,,8.911729572043432,4,4,240.0,1,212.73299839999999,0.0,True,True,,8.862093537349082,5,5,240.0,1,212.7329984,1.9539925233402755e-14,True,True,,8.911729572043434,4,4,240.0,1,212.7329984,0.0,True,True,,8.862093537349082,5,5,240.0,1,212.7329984,2.6645352591003757e-14,True,0.04963603469435007,0.556974202292459,0.04963603469435185,0.5569742022924787,1.7763568394002505e-15,1.9932795593043757e-14
13322,26,peak12,>= reserve,6,True,False,True,,35.06409981943834,8,8,240.0,1,199.15299779999964,0.0,True,True,,34.50043539771129,8,8,240.0,1,199.15299779999958,0.0,True,True,,35.30228165497227,6,6,240.0,1,199.15299779999995,0.0,True,True,,34.97553707305368,6,6,240.0,1,199.15299779999995,0.0,True,0.5636644217270472,1.6075257161302368,0.32674458191858946,0.9255622203460835,0.23818183553392913,0.6792754890627172
13323,8,peak12,>= reserve,1,True,False,True,,0.0,0,0,0.0,0,0,2.9090005999999864,True,True,,0.0,0,0,0.0,0,0,10.5090006,True,True,,0.0,0,0,0.0,0,0,2.9090005999999864,True,True,,0.0,0,0,0.0,0,0,2.9090005999999864,True,0.0,,0.0,,0.0,
13324t,18,peak12,>= reserve,3,True,False,True,,19.962428784832195,6,6,240.0,1,118.66999632999999,0.0,True,True,,18.96183978906123,6,6,240.0,1,118.66999632999998,0.0,True,True,,22.4205566289883,3,3,240.0,1,118.86999633000002,2.1316282072803006e-14,True,True,,22.4205566289883,3,3,240.0,1,118.86999633000012,1.4921397450962104e-13,True,1.0005889957709648,5.012361003542965,0.0,0.0,2.458127844156106,12.313771388498754
13325,42,peak12,>= reserve,10,True,False,True,,41.02794507503792,17,17,240.0,1,466.1809935,7.105427357601002e-15,True,True,,41.02794507503793,17,17,240.0,1,466.18099350000006,6.394884621840902e-14,True,True,,43.49745889087816,10,10,240.0,1,466.1809935,2.1316282072803006e-14,True,True,,43.497458890878164,10,10,240.0,1,466.1809935,2.1316282072803006e-14,True,-7.105427357601002e-15,-1.7318506555971924e-14,-7.105427357601002e-15,-1.6335270010660508e-14,2.469513815840237,6.019101886101359
