AllocCPUS,CPUTimeRAW,DBIndex,ElapsedRaw,Eligible,End,ExitCode,JobID,JobIDRaw,JobName,NodeList,Partition,Priority,QOS,Reason,ReqMem,Restarts,SLUID,Start,State,Submit,TimelimitRaw,TotalCPU,attempt_key,case_id,classification,cohort,confirmed_preemption,eligible_to_start_seconds,registered_attempt_tag,registered_restart_count,registry_result_binding,reported_fleet,reported_physical_replay_validated,result_exists,result_path,result_sha256,scientific_budget_s,started,state_normalized
8,101504,3496625694215883776,12688,2026-09-14T21:47:33,2026-09-15T01:19:36,0:0,207005,207005,lpPool_c1_k08_integer_matched_zero_added,unicorn-cpu-01,default_partition,15010,normal,None,24G,0,s311M2HC03VK00,2026-09-14T21:48:08,COMPLETED,2026-09-14T21:47:33,270,00:00:00,s311M2HC03VK00|3496625694215883776|207005|2026-09-14T21:47:33|2026-09-14T21:48:08|0,c1_k08_integer_matched_zero_added,scheduler_completed,default_overnight_diagnostics_20260914,False,35.0,207005_r0,0,explicit_restart,9,True,True,/home/nc437/ladder-lite/lp_support_pool_diagnostic_20260914/cases/c1_k08_integer_matched_zero_added/attempts/207005_r0/result.json,51477c528772070f2d70b3ca0590c795dfeba8de7c39440254fedd8191ec6441,12600,True,COMPLETED
8,101224,3496625694215992320,12653,2026-09-14T21:47:34,2026-09-15T01:19:01,0:0,207006,207006,lpPool_c1_k08_integer_positive_added,sonic-cpu-01,default_partition,15010,normal,None,24G,0,s311M2HC03YX00,2026-09-14T21:48:08,COMPLETED,2026-09-14T21:47:34,270,00:00:00,s311M2HC03YX00|3496625694215992320|207006|2026-09-14T21:47:34|2026-09-14T21:48:08|0,c1_k08_integer_positive_added,scheduler_completed,default_overnight_diagnostics_20260914,False,34.0,207006_r0,0,explicit_restart,9,True,True,/home/nc437/ladder-lite/lp_support_pool_diagnostic_20260914/cases/c1_k08_integer_positive_added/attempts/207006_r0/result.json,4f80b8284ef2b4852a45a9ab7449cf72c52d90c5e55ca0d2d437c9a403f43868,12600,True,COMPLETED
8,101256,3496625694216095744,12657,2026-09-14T21:47:34,2026-09-15T01:19:05,0:0,207007,207007,lpPool_c1_k08_lpweight_matched_zero_added,sonic-cpu-02,default_partition,15010,normal,None,24G,0,s311M2HC042200,2026-09-14T21:48:08,COMPLETED,2026-09-14T21:47:34,270,00:00:00,s311M2HC042200|3496625694216095744|207007|2026-09-14T21:47:34|2026-09-14T21:48:08|0,c1_k08_lpweight_matched_zero_added,scheduler_completed,default_overnight_diagnostics_20260914,False,34.0,207007_r0,0,explicit_restart,9,True,True,/home/nc437/ladder-lite/lp_support_pool_diagnostic_20260914/cases/c1_k08_lpweight_matched_zero_added/attempts/207007_r0/result.json,8f613810e3279da1f0c6d73af4617102fc263c0b714c6dda4aa3201ac0085c42,12600,True,COMPLETED
8,101304,3496625694216205312,12663,2026-09-14T21:47:34,2026-09-15T01:19:11,0:0,207008,207008,lpPool_c1_k08_lpweight_positive_added,unicorn-cpu-87,default_partition,15010,normal,None,24G,0,s311M2HC045D00,2026-09-14T21:48:08,COMPLETED,2026-09-14T21:47:34,270,00:00:00,s311M2HC045D00|3496625694216205312|207008|2026-09-14T21:47:34|2026-09-14T21:48:08|0,c1_k08_lpweight_positive_added,scheduler_completed,default_overnight_diagnostics_20260914,False,34.0,207008_r0,0,explicit_restart,9,True,True,/home/nc437/ladder-lite/lp_support_pool_diagnostic_20260914/cases/c1_k08_lpweight_positive_added/attempts/207008_r0/result.json,025e6dd09478f0a35b1e644a78f5b1e484adb0d17f589ad5408a9285aecc1876,12600,True,COMPLETED
8,56,3496625694216379392,7,2026-09-14T21:47:34,2026-09-14T21:48:15,0:0,207009,207009,lpPool_c1_k08_support_only,unicorn-cpu-76,default_partition,15010,normal,None,24G,0,s311M2HC04AQ00,2026-09-14T21:48:08,COMPLETED,2026-09-14T21:47:34,270,00:00:00,s311M2HC04AQ00|3496625694216379392|207009|2026-09-14T21:47:34|2026-09-14T21:48:08|0,c1_k08_support_only,scheduler_completed,default_overnight_diagnostics_20260914,False,34.0,207009_r0,0,explicit_restart,9,True,True,/home/nc437/ladder-lite/lp_support_pool_diagnostic_20260914/cases/c1_k08_support_only/attempts/207009_r0/result.json,9a519042614ab2fbbfcf24ce499da7b6867b60889b724fb92206d1a78171630a,12600,True,COMPLETED
8,101424,3496625694216491008,12678,2026-09-14T21:47:34,2026-09-15T01:19:26,0:0,207010,207010,lpPool_c1_k10_integer_matched_zero_added,unicorn-cpu-76,default_partition,15010,normal,None,24G,0,s311M2HC04E400,2026-09-14T21:48:08,COMPLETED,2026-09-14T21:47:34,270,00:00:00,s311M2HC04E400|3496625694216491008|207010|2026-09-14T21:47:34|2026-09-14T21:48:08|0,c1_k10_integer_matched_zero_added,scheduler_completed,default_overnight_diagnostics_20260914,False,34.0,207010_r0,0,explicit_restart,11,True,True,/home/nc437/ladder-lite/lp_support_pool_diagnostic_20260914/cases/c1_k10_integer_matched_zero_added/attempts/207010_r0/result.json,0e0660854930bd4ad7b7ed0032d877b513b6e5ace7e7e6f16bcfd3f8f5ee51a3,12600,True,COMPLETED
8,101584,3496625694216597504,12698,2026-09-14T21:47:34,2026-09-15T01:19:46,0:0,207011,207011,lpPool_c1_k10_integer_positive_added,garg-cpu-02,default_partition,15010,normal,None,24G,0,s311M2HC04HC00,2026-09-14T21:48:08,COMPLETED,2026-09-14T21:47:34,270,00:00:00,s311M2HC04HC00|3496625694216597504|207011|2026-09-14T21:47:34|2026-09-14T21:48:08|0,c1_k10_integer_positive_added,scheduler_completed,default_overnight_diagnostics_20260914,False,34.0,207011_r0,0,explicit_restart,11,True,True,/home/nc437/ladder-lite/lp_support_pool_diagnostic_20260914/cases/c1_k10_integer_positive_added/attempts/207011_r0/result.json,d73dda50ec77e22332f2da2d8f4bd2f1c7cdf3c2da85262907fe4db950aeeb71,12600,True,COMPLETED
8,96,3496625694216706048,12,2026-09-14T21:47:34,2026-09-14T21:48:20,0:0,207012,207012,lpPool_c1_k10_support_only,garg-cpu-02,default_partition,15010,normal,None,24G,0,s311M2HC04MP00,2026-09-14T21:48:08,COMPLETED,2026-09-14T21:47:34,270,00:00:00,s311M2HC04MP00|3496625694216706048|207012|2026-09-14T21:47:34|2026-09-14T21:48:08|0,c1_k10_support_only,scheduler_completed,default_overnight_diagnostics_20260914,False,34.0,207012_r0,0,explicit_restart,12,True,True,/home/nc437/ladder-lite/lp_support_pool_diagnostic_20260914/cases/c1_k10_support_only/attempts/207012_r0/result.json,c6f51dee25a36803b7576a0083e116b0ec5bdb650e6b5a34ed30f9d5bca930ab,12600,True,COMPLETED
8,101072,3496625694216814592,12634,2026-09-14T21:47:34,2026-09-15T01:18:42,0:0,207013,207013,lpPool_c2_k08_lpweight_matched_zero_added,garg-cpu-02,default_partition,15010,normal,None,24G,0,s311M2HC04R000,2026-09-14T21:48:08,COMPLETED,2026-09-14T21:47:34,270,00:00:00,s311M2HC04R000|3496625694216814592|207013|2026-09-14T21:47:34|2026-09-14T21:48:08|0,c2_k08_lpweight_matched_zero_added,scheduler_completed,default_overnight_diagnostics_20260914,False,34.0,207013_r0,0,explicit_restart,9,True,True,/home/nc437/ladder-lite/lp_support_pool_diagnostic_20260914/cases/c2_k08_lpweight_matched_zero_added/attempts/207013_r0/result.json,3774c713d1ab2dcd50c0bbbcefdeafdde52f43d3a5a3bb15b428a9d5c23ca0b6,12600,True,COMPLETED
8,101032,3496625694216919040,12629,2026-09-14T21:47:35,2026-09-15T01:18:37,0:0,207014,207014,lpPool_c2_k08_lpweight_positive_added,sablab-cpu-02,default_partition,15010,normal,None,24G,0,s311M2HC04V600,2026-09-14T21:48:08,COMPLETED,2026-09-14T21:47:35,270,00:00:00,s311M2HC04V600|3496625694216919040|207014|2026-09-14T21:47:35|2026-09-14T21:48:08|0,c2_k08_lpweight_positive_added,scheduler_completed,default_overnight_diagnostics_20260914,False,33.0,207014_r0,0,explicit_restart,9,True,True,/home/nc437/ladder-lite/lp_support_pool_diagnostic_20260914/cases/c2_k08_lpweight_positive_added/attempts/207014_r0/result.json,89adddc1f44b9289beb41f4dc105e7d0667e0d0535cdc8699859319712d26eef,12600,True,COMPLETED
