case,cg_stop,cg_pricing_certified,cg_iterations,cg_seconds,rmp_route_weight,rmp_weighted_objective,pool_columns,integer_buses,fleet_proved_in_pool,charging_objective,station_capacity_audit,duplicate_trips,mip_sha256
e1_short_k2__capacity,pricing_deadline,False,13,28800.01956341497,2.8,280087.19279999996,36,3,True,94.97600000000966,True,1,7c03d64953996fc9e7f452a142fb063ba521c6ef1198a7fc4df72cb5a0ca42a8
e1_short_k2__combined,pricing_deadline,False,13,28800.022915151203,2.8,280087.19279999996,36,3,True,94.97600000000966,True,1,a9d99f621515eef46570aa833916f5014d84ca17e2aa83f9883bcb040460ff9c
e1_short_k3__capacity,pricing_deadline,False,3,28800.023731288966,16.0,1600127.456,38,16,True,127.45600000000559,True,3,2bc3cf70d57f708849b50556952837d4abe330e65e6af1f0dfe66ad087fdbeeb
e1_short_k3__combined,pricing_deadline,False,3,28800.022654387867,16.0,1600127.456,38,16,True,127.45600000000559,True,3,caa0dea09fa0c5a7b16633cbeffaf637aaf9bdbdf391672b3276ef40c518ccc4
k1_duty13406__capacity,pricing_deadline,False,20,28800.044694699347,1.0,100056.952,34,1,True,56.95200000000477,True,0,c7f82dce30149ba1527dcbdb1da58ebedffd148cf7ead7de5af9bea40bf3bf4a
