case,target_buses,integer_buses,saved_pool_fleet_bound,fleet_proved_in_saved_pool,cg_minutes,weighted_lp_objective,fractional_route_weight,cg_pricing_certified,cg_stop_reason,physical_route_replay,duplicate_removal_validated,shared_capacity_validated,cg_source,mip_source,mip_sha256
d02_g3,8,8,8.0,True,73.30175290654103,800353.082857142,7.999999999999991,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d02_g3/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d02_g3/mip/952033_r0/result.json,5139624cbf0e59b916f1725970a2e5bbab6c280cb03b0ad11b10eb36d0dec94c
d03_g0,8,9,8.000000000000004,False,84.84588574458225,800363.8363762498,8.000000000000021,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d03_g0/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d03_g0/mip/952696_r0/result.json,3da9af668bdcf2d54feb912c92058ec532655012f8584a9d630ff01d5dabbccc
d03_g1,8,9,9.0,True,91.82101965359567,800397.6918128566,8.000000000000057,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d03_g1/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d03_g1/mip/953359_r0/result.json,4b239a97cfd60b3a224d356251efc2380e418863310cb02cda87a98f7cdab3bb
d03_g2,8,8,8.0,True,113.9360173514889,800235.6160975916,7.999999999999957,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d03_g2/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d03_g2/mip/953430_r0/result.json,61aa2fa206a6edb9ba0b01186ccada97d6e0f93fbcfc283764b7e3dcdcb668c0
d03_g3,8,10,9.0,False,239.08059232941983,800643.8151378513,8.000000000000089,False,wall_limit,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d03_g3/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d03_g3/mip/958033_r0/result.json,b4759cea570955b4b38361a6dd977707ed745af6444e782f844a25b346b64c61
d04_g0,8,9,9.0,True,239.09081500803197,800844.3865619749,8.002029505719953,False,wall_limit,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d04_g0/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d04_g0/mip/959153_r0/result.json,61fba41209c7269650b38e86bf23b3b604858caace9cad68cdda7ab7952e4569
d04_g3,8,9,8.000000000000128,False,188.84211154740382,800381.1204444892,8.000000000000448,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d04_g3/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d04_g3/mip/964155_r0/result.json,d7a2890dbd7bfce59b343ef86ebee725430b354b084187790f8728b91735c7b3
d05_g0,8,9,8.000000000000034,False,158.4231847503921,800403.7535164178,8.000000000000034,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d05_g0/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d05_g0/mip/964190_r0/result.json,ec02fb44001eff44506aafb3221a61140544b900e1cf17ec443d99486752f24a
d05_g2,8,10,8.000000000000304,False,239.08075056447026,800541.3453875704,7.9999999999999485,False,wall_limit,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d05_g2/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d05_g2/mip/969794_r0/result.json,4a65023df531acf69fee77a9a0e718cb6ca993be36ffc2ca58b26a4491b31cf8
d06_g0,8,10,8.000000000000002,False,239.05651832510097,800322.1455454581,8.000000000000023,False,wall_limit,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d06_g0/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d06_g0/mip/971981_r0/result.json,33f6bef7a76d778777f5e66f3aa3730b4ec9489d93b48f33120214dd15a75648
d07_g2,8,9,8.000000000000023,False,201.318535265148,800260.7574732142,7.999999999999989,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d07_g2/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d07_g2/mip/979032_r0/result.json,69994b21eaa56015027355df3e3f71e779495221f2a484b78a009c4e81db87e2
d07_g3,8,8,8.0,True,179.9961577594358,800505.6981556889,8.000000000000004,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d07_g3/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d07_g3/mip/979033_r0/result.json,c53393f1003dbe3d08b3978a0895954ba7d20ee55dfce2717d607a5f49a119c0
d08_g0,8,9,9.0,True,50.88296385424522,800310.2146666714,8.000000000000048,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d08_g0/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d08_g0/mip/979034_r0/result.json,bd0c984fbf38a6a0716b1fe13191407a621819b0ca6ce9cc7912d5211c9230e2
d08_g1,8,9,9.0,True,239.13741803608525,800464.3195828045,8.000000000000089,False,wall_limit,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d08_g1/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d08_g1/mip/979035_r0/result.json,9e0ca2608e8edda2a0e6e7e6efea807dc62be4ebf1de63fcae7207aa1fc92ba0
d08_g2,8,10,8.00000000000005,False,184.10872587271734,800416.457930866,8.00000000000002,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d08_g2/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d08_g2/mip/979036_r0/result.json,ad3b2f52bd1329975405b86597a964905144526f24ff88c95d1e96fc70098f81
d08_g3,8,9,8.000000000000009,False,107.6663980240856,800301.5364791151,8.000000000000027,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d08_g3/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d08_g3/mip/979037_r0/result.json,8d81115906332638185949be656e1b058e56ce5f584f325c3e86cc6de348bce0
d09_g0,8,8,8.0,True,74.15396433779581,800313.1942346385,8.000000000000016,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d09_g0/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d09_g0/mip/979038_r0/result.json,39a0df3daafeb6739dd2f7339826d44c4c2b0d8832eec330aecaa3c377b925fe
d09_g1,8,9,8.000000000000055,False,126.7918059238155,800356.2386413004,7.999999999999981,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d09_g1/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d09_g1/mip/979039_r0/result.json,29f28b2c6bb41f31845e253e61f1ba81c395ef64405a56fb43fcde83991224d4
d09_g2,8,9,9.0,True,111.8258385406807,800388.1523036278,8.000000000000002,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d09_g2/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d09_g2/mip/979040_r0/result.json,fbcd551bf4f7d3f44e9549954465e9271f6a5e91aa2cf4bec71873679331757d
d09_g3,8,9,8.000000000000009,False,205.12962457968388,800388.7377020852,8.000000000000059,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d09_g3/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/d09_g3/mip/949624_r0/result.json,4941650610ba104cc12c8f5aecf4f5467ac8d3e83e39c2bd40a00421c563e9d8
w1_k07,7,8,8.0,True,53.64970807080002,700313.4570986059,7.000000000000007,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w1_k07/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w1_k07/mip/949636_r0/result.json,40ff159cf6f4dd677477adf37d23e043b351af58b4ac4091d1452db35517f808
w1_k08,8,9,9.0,True,49.486640045318445,800383.6879776368,7.999999999999996,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w1_k08/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w1_k08/mip/949638_r0/result.json,bf00821a6c80c6adb133bcc565c9872ea8fcaa75c06fe7f54b732e5d62551e54
w1_k09,9,10,9.000000000000028,False,67.94209687001226,900453.4955110403,9.0,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w1_k09/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w1_k09/mip/949680_r0/result.json,ef9f5a1ccce5060089883b2479b06e52e361294b6bf5568a9fbbd02939ef1bb7
w1_k10,10,11,11.0,True,91.18294111537203,1000511.2045748205,9.999999999999899,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w1_k10/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w1_k10/mip/949682_r0/result.json,7e25c2f7c3e133851c5b511547f44ffa5b35d66f4aaa32f79e73c47d038e82a3
w2_k09,9,10,9.000000000000004,False,64.02966338108915,900301.3529861263,8.999999999999979,True,certified,True,False,False,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w2_k09/cg.json,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w2_k09/mip/949694_r0/result.json,39a2ac2ec040e77f879f31c06c20f494f239579f2b0838cd89b60c54c4a03392
