646674|NNBody323|COMPLETED|00:07:58||8G|0:0|sonic-cpu-01|2025-12-06T21:40:40|2025-12-06T21:48:38|1
646674.batch|batch|COMPLETED|00:07:58|1332392K||0:0|sonic-cpu-01|2025-12-06T21:40:40|2025-12-06T21:48:38|1
646674.extern|extern|COMPLETED|00:07:58|||0:0|sonic-cpu-01|2025-12-06T21:40:40|2025-12-06T21:48:38|1
646675|NNBody323|COMPLETED|00:08:16||8G|0:0|joachims-cpu-01|2025-12-06T21:40:40|2025-12-06T21:48:56|1
646675.batch|batch|COMPLETED|00:08:16|1332244K||0:0|joachims-cpu-01|2025-12-06T21:40:40|2025-12-06T21:48:56|1
646675.extern|extern|COMPLETED|00:08:16|||0:0|joachims-cpu-01|2025-12-06T21:40:40|2025-12-06T21:48:56|1
646676|NNBody323|COMPLETED|00:08:55||8G|0:0|joachims-cpu-02|2025-12-06T21:40:40|2025-12-06T21:49:35|1
646676.batch|batch|COMPLETED|00:08:55|1332376K||0:0|joachims-cpu-02|2025-12-06T21:40:40|2025-12-06T21:49:35|1
646676.extern|extern|COMPLETED|00:08:55|||0:0|joachims-cpu-02|2025-12-06T21:40:40|2025-12-06T21:49:35|1
661577_38|ModelA_50|FAILED|00:00:02||40G|2:0|sds-cpu-01|2025-12-09T12:12:41|2025-12-09T12:12:43|4
661577_38.batch|batch|FAILED|00:00:02|5128K||2:0|sds-cpu-01|2025-12-09T12:12:41|2025-12-09T12:12:43|4
661577_38.extern|extern|COMPLETED|00:00:02|||0:0|sds-cpu-01|2025-12-09T12:12:41|2025-12-09T12:12:43|4
661577_40|ModelA_50|FAILED|00:00:02||40G|2:0|sds-cpu-01|2025-12-09T12:12:41|2025-12-09T12:12:43|4
661577_40.batch|batch|FAILED|00:00:02|4840K||2:0|sds-cpu-01|2025-12-09T12:12:41|2025-12-09T12:12:43|4
661577_40.extern|extern|COMPLETED|00:00:02|||0:0|sds-cpu-01|2025-12-09T12:12:41|2025-12-09T12:12:43|4
661577_41|ModelA_50|FAILED|00:00:02||40G|2:0|sds-cpu-01|2025-12-09T12:12:41|2025-12-09T12:12:43|4
661577_41.batch|batch|FAILED|00:00:02|4720K||2:0|sds-cpu-01|2025-12-09T12:12:41|2025-12-09T12:12:43|4
661577_41.extern|extern|COMPLETED|00:00:02|||0:0|sds-cpu-01|2025-12-09T12:12:41|2025-12-09T12:12:43|4
661577_42|ModelA_50|FAILED|00:00:02||40G|2:0|sds-cpu-01|2025-12-09T12:12:41|2025-12-09T12:12:43|4
661577_42.batch|batch|FAILED|00:00:02|5340K||2:0|sds-cpu-01|2025-12-09T12:12:41|2025-12-09T12:12:43|4
661577_42.extern|extern|COMPLETED|00:00:02|||0:0|sds-cpu-01|2025-12-09T12:12:41|2025-12-09T12:12:43|4
661577_43|ModelA_50|FAILED|00:00:02||40G|2:0|sds-cpu-01|2025-12-09T12:12:41|2025-12-09T12:12:43|4
661577_43.batch|batch|FAILED|00:00:02|5628K||2:0|sds-cpu-01|2025-12-09T12:12:41|2025-12-09T12:12:43|4
