case,chain,target,route_weight,numerical_integer_fleet_lb,original_buses,original_numerical_bound_matched,best_audited_buses,original_mip_sha256,best_mip_sha256,best_audited_numerical_bound_matched
w4_k19,4,19,18.999999999999872,19,19,True,19,eadbb989fdfc692067bc20370c0dc8fa8ae268ebe2c200a54b8b4792adad29a0,eadbb989fdfc692067bc20370c0dc8fa8ae268ebe2c200a54b8b4792adad29a0,True
w5_k19,5,19,18.999999999999698,19,20,False,20,519471dff75168b47d7f91a62bcf76f7d0c1174148c81ceac0114b1eb0104ae7,519471dff75168b47d7f91a62bcf76f7d0c1174148c81ceac0114b1eb0104ae7,False
w6_k19,6,19,19.00000000000018,19,19,True,19,94fb83297fa3e212a5b1e29c17bb878dcc0b7201279db2223d29ba27cf09e7a8,94fb83297fa3e212a5b1e29c17bb878dcc0b7201279db2223d29ba27cf09e7a8,True
w1_k20,1,20,19.99999999999968,20,21,False,21,dae346c7652b65af28220580dea6f7d24722437890e0894576c865a3ed7f04d1,dae346c7652b65af28220580dea6f7d24722437890e0894576c865a3ed7f04d1,False
w2_k20,2,20,19.999999999999897,20,21,False,21,51aec9eaf9299a4d76cfeab92a069596da463fe3215d6bff56f478588dce4b01,51aec9eaf9299a4d76cfeab92a069596da463fe3215d6bff56f478588dce4b01,False
w3_k20,3,20,19.99999999999998,20,21,False,21,e8dc643be57ef66022fcfeb86559c9ef54fac80c2a3f9a4ee70ea4873d3aacd2,e8dc643be57ef66022fcfeb86559c9ef54fac80c2a3f9a4ee70ea4873d3aacd2,False
w4_k20,4,20,19.999999999999904,20,20,True,20,3b803b1aabd3d1ca4300db46974bd9d4e72f4430f618eee77505a68d6d1d49b3,3b803b1aabd3d1ca4300db46974bd9d4e72f4430f618eee77505a68d6d1d49b3,True
w5_k20,5,20,19.999999999999932,20,20,True,20,b9deb9fddd1fa5af54f6628c8973b129c906d5194106c838e4f5fba4a8b1538c,b9deb9fddd1fa5af54f6628c8973b129c906d5194106c838e4f5fba4a8b1538c,True
w6_k20,6,20,19.999999999999712,20,20,True,20,46d39909f8039564204c013a22601d442d77ebbdc05c89acf1a2dbd284b19934,46d39909f8039564204c013a22601d442d77ebbdc05c89acf1a2dbd284b19934,True
w1_k21,1,21,20.999999999999286,21,21,True,21,5c54a70d1646731f4c6320fb35a373891aa358b87dfeb7e3450080e6db229938,5c54a70d1646731f4c6320fb35a373891aa358b87dfeb7e3450080e6db229938,True
w2_k21,2,21,20.999999999999943,21,21,True,21,6e9a4532459f87c518188998368e5c3d242ec029c250bf74ef71f121672eedb0,6e9a4532459f87c518188998368e5c3d242ec029c250bf74ef71f121672eedb0,True
w3_k21,3,21,21.000000000000288,21,22,False,22,b461301141ab5f3b5ae0779ee8784b502de66a6225135744fd2c4a6874a33898,b461301141ab5f3b5ae0779ee8784b502de66a6225135744fd2c4a6874a33898,False
w4_k21,4,21,21.000000000000252,21,22,False,22,bc5c4c38964caba46ec2243673bf205a42f51bfad7c429824b112577f1c7c124,bc5c4c38964caba46ec2243673bf205a42f51bfad7c429824b112577f1c7c124,False
w5_k21,5,21,21.000000000000103,21,21,True,21,eebe76c8dc7eab0306126af152587214b2b92ea1174b37d293193299838ec107,eebe76c8dc7eab0306126af152587214b2b92ea1174b37d293193299838ec107,True
w6_k21,6,21,20.99999999999962,21,21,True,21,f9058bc68cdf9a381d75c453845dde315e068d3c964cc1bc426338b2941c90fe,f9058bc68cdf9a381d75c453845dde315e068d3c964cc1bc426338b2941c90fe,True
w1_k22,1,22,21.9999999999995,22,23,False,23,25ac6f205c956bd5e8769d654b2a9b9f80236dc86ac78cb311c5e2fdc109b8e7,25ac6f205c956bd5e8769d654b2a9b9f80236dc86ac78cb311c5e2fdc109b8e7,False
w2_k22,2,22,22.000000000000234,22,22,True,22,a6cc1ae9b705f12896642d42e258a81883490229767d1e3b1e42f4ceaa1dcf43,a6cc1ae9b705f12896642d42e258a81883490229767d1e3b1e42f4ceaa1dcf43,True
w3_k22,3,22,22.00000000000019,22,23,False,23,356ece4bbf3cd1f62621e8ddf4613bddb1c40cbfa6b44d0abbf9425f561677d0,356ece4bbf3cd1f62621e8ddf4613bddb1c40cbfa6b44d0abbf9425f561677d0,False
w4_k22,4,22,21.999999999999705,22,23,False,23,3bab2bb31131d4e1d79f5029244334cb736dd1a43ca4ba7673204412bc4c303a,3bab2bb31131d4e1d79f5029244334cb736dd1a43ca4ba7673204412bc4c303a,False
w5_k22,5,22,21.999999999999492,22,22,True,22,2488cd83a70ed23d8962d7ab2dcdfdb79c8eb475fc6a09b1b327dbcca3cb016d,2488cd83a70ed23d8962d7ab2dcdfdb79c8eb475fc6a09b1b327dbcca3cb016d,True
w6_k22,6,22,22.00000000000021,22,22,True,22,d5347feb230611f77e8ed6d96ef05a66a95f7f6cf41a80de1dad6ad9bb1a4f13,d5347feb230611f77e8ed6d96ef05a66a95f7f6cf41a80de1dad6ad9bb1a4f13,True
w1_k23,1,23,23.000000000000046,23,23,True,23,032f8737e4bb5682e51e3e088cb0d56499c9a5ae1c06ae925f99bb97122997dc,032f8737e4bb5682e51e3e088cb0d56499c9a5ae1c06ae925f99bb97122997dc,True
w2_k23,2,23,23.000000000000437,23,25,False,25,43fe976bd8fc5f635ce59b7530c1c379f933c5ad97268cea08c890fdfa4df53c,43fe976bd8fc5f635ce59b7530c1c379f933c5ad97268cea08c890fdfa4df53c,False
w3_k23,3,23,23.000000000000416,23,24,False,24,62c116cd2d6884f4f6a89ad4afaece5d4c595fa5706a397d9b1c914f4b7092bf,62c116cd2d6884f4f6a89ad4afaece5d4c595fa5706a397d9b1c914f4b7092bf,False
w4_k23,4,23,22.999999999999527,23,23,True,23,6a8ecdfa525d9a1e9ea576e9a881e93c1ccbe6b8432e5301f6fb13916b1ef00f,6a8ecdfa525d9a1e9ea576e9a881e93c1ccbe6b8432e5301f6fb13916b1ef00f,True
w5_k23,5,23,22.999999999999652,23,23,True,23,75d1f4d9a872ce04fe708b799721d61bfefb471669ebcbdb61934f331bd2901e,75d1f4d9a872ce04fe708b799721d61bfefb471669ebcbdb61934f331bd2901e,True
w6_k23,6,23,23.000000000000377,23,24,False,24,b03de083b1fd186d258f10a0127fbbc760b0ad1b167aefd63661b2839d908397,b03de083b1fd186d258f10a0127fbbc760b0ad1b167aefd63661b2839d908397,False
w1_k24,1,24,24.00000000000045,24,24,True,24,58f160f9aab073c90b3ebaca830ba53dec6f5ededcd69dfd98903635dbf1bbd6,58f160f9aab073c90b3ebaca830ba53dec6f5ededcd69dfd98903635dbf1bbd6,True
w2_k24,2,24,23.999999999999822,24,25,False,25,c10622daeaee98931e61b37337f259552474a5a5c6ea44f670049fdbe24917ad,c10622daeaee98931e61b37337f259552474a5a5c6ea44f670049fdbe24917ad,False
w3_k24,3,24,24.000000000000398,24,24,True,24,0a79fea524b1fff3136154abd8cc640cbf3f3fdb94cd6a4d0cd7d46b47f0c9aa,0a79fea524b1fff3136154abd8cc640cbf3f3fdb94cd6a4d0cd7d46b47f0c9aa,True
w4_k24,4,24,23.999999999999844,24,25,False,25,4d723f0ebced563476f49c0272a1a81159f4a56f90f34cf22c2ca30d8f3d0ec1,4d723f0ebced563476f49c0272a1a81159f4a56f90f34cf22c2ca30d8f3d0ec1,False
w5_k24,5,24,23.99999999999947,24,24,True,24,63414b650427267714fcdb67e3844d93cbecd07dbc3c56a7971641cdcd02e4b8,63414b650427267714fcdb67e3844d93cbecd07dbc3c56a7971641cdcd02e4b8,True
w6_k24,6,24,24.000000000000046,24,24,True,24,bafc789d346c301faf290748f97dbc94079eef15fc2aa54fd9f1e0c8ce4bf127,bafc789d346c301faf290748f97dbc94079eef15fc2aa54fd9f1e0c8ce4bf127,True
w1_k25,1,25,24.999999999999144,25,25,True,25,7b9f094ea2f1a19f7db340329cf68e991f4d36f9f278c00251e1ba0c18aa2075,7b9f094ea2f1a19f7db340329cf68e991f4d36f9f278c00251e1ba0c18aa2075,True
w2_k25,2,25,25.00000000000041,25,26,False,26,7630ce663acd7fbf27314f33fd66691bdfef9c3d41b414109f5d155ccfaa9b00,7630ce663acd7fbf27314f33fd66691bdfef9c3d41b414109f5d155ccfaa9b00,False
w3_k25,3,25,24.999999999999968,25,26,False,26,ed2dc3749aff109f27d1f591c2dc5be872ba54d6bd930f9edadae6883ef89461,ed2dc3749aff109f27d1f591c2dc5be872ba54d6bd930f9edadae6883ef89461,False
w4_k25,4,25,24.9999999999998,25,26,False,26,8544285e1b84010eaaa0f8c65cba2b5bb8fb464cc0346e77f5701728c3e8c2cc,8544285e1b84010eaaa0f8c65cba2b5bb8fb464cc0346e77f5701728c3e8c2cc,False
w5_k25,5,25,25.00000000000019,25,26,False,25,6500f34f8d4594233a4527ed9b47dc8101e1bec76d426c621f1ed7b4e79dc321,3a7177cb77554ca3ca808c684e444813b1b12f87b8bdc6391c75b5c4ec626148,True
w6_k25,6,25,24.999999999999908,25,26,False,26,bd8ff76553f58743ddf7b137681dd525ff67e1d30a76d11483e621b8213a03f1,bd8ff76553f58743ddf7b137681dd525ff67e1d30a76d11483e621b8213a03f1,False
w1_k26,1,26,26.000000000000245,26,26,True,26,9721541b8f73920f1c13e899f9a53a5a040f74937e8a1ad697b33f36df54d545,9721541b8f73920f1c13e899f9a53a5a040f74937e8a1ad697b33f36df54d545,True
w2_k26,2,26,25.99999999999986,26,26,True,26,c1dad8e6a1c25b516f5877069986f679ca00213990c666fbdca445a3b53e4644,c1dad8e6a1c25b516f5877069986f679ca00213990c666fbdca445a3b53e4644,True
w3_k26,3,26,25.99999999999945,26,26,True,26,9b336bb2b53f8057d380b52aa2f19093fbeb5faf5d70a6662e9126450207220c,9b336bb2b53f8057d380b52aa2f19093fbeb5faf5d70a6662e9126450207220c,True
w4_k26,4,26,25.999999999999773,26,26,True,26,401d596f96ec1190f6550368d33271d445134f7520b1baab7026d9e7e52389ad,401d596f96ec1190f6550368d33271d445134f7520b1baab7026d9e7e52389ad,True
w5_k26,5,26,25.999999999999723,26,26,True,26,d1bfe1008782024b740d074d04621e97dae66b8d0e44a69d41d0e22892e737ff,d1bfe1008782024b740d074d04621e97dae66b8d0e44a69d41d0e22892e737ff,True
w6_k26,6,26,25.99999999999989,26,26,True,26,a4475febf07870b15668036f209f7eb702629a285a6508f513e46293d3bae102,a4475febf07870b15668036f209f7eb702629a285a6508f513e46293d3bae102,True
w1_k27,1,27,26.99999999999997,27,28,False,27,8b6b01a98fe0e82e670c59a5cbf2cac75b89addce23337483e83a5addcc86b63,a826cbf5df9077b511e0dbf94e2b9c16b0b45553dec38cd171bd5ca7216e24a4,True
w2_k27,2,27,26.99999999999987,27,27,True,27,329d9edc53544269d9e742db71bfe7099c22c3cc627222f7fee551fb7ee4f257,329d9edc53544269d9e742db71bfe7099c22c3cc627222f7fee551fb7ee4f257,True
w3_k27,3,27,26.99999999999958,27,27,True,27,3eb1c66a4d2254e57212c490debde5e8e0f6aa0aa6f952c7b6b119c7a430c52f,3eb1c66a4d2254e57212c490debde5e8e0f6aa0aa6f952c7b6b119c7a430c52f,True
w4_k27,4,27,26.999999999999908,27,27,True,27,feb25ca4af0f4b4a2c6353b2dfa7916122af15f49db5a536e6c35d1a2392e901,feb25ca4af0f4b4a2c6353b2dfa7916122af15f49db5a536e6c35d1a2392e901,True
w5_k27,5,27,25.999999999999716,26,29,False,29,3e58a9d8a5485cf02668a60bf65e965e9108dfedadc1e47c6312c8d7740125bf,3e58a9d8a5485cf02668a60bf65e965e9108dfedadc1e47c6312c8d7740125bf,False
w6_k27,6,27,26.999999999999925,27,27,True,27,52ec5158e78ba27cf6e4296e6ce45b24a4ee6c5ade1f72e7b8dc1904ec835369,52ec5158e78ba27cf6e4296e6ce45b24a4ee6c5ade1f72e7b8dc1904ec835369,True
w1_k28,1,28,27.999999999999872,28,31,False,28,598e4c7f9f83c62a5531927886f1f3de54ff6fa7d973a72b1162f7d13cc69a75,ab5b7fe8ac23e508e4aafc8de5d2587261a1bf2a6fbde2cb60fe39ccfd7f189a,True
w2_k28,2,28,28.000000000000405,28,28,True,28,a66fa36e29904ff36ade72d3043235491c8665fad9e97c20a005a43bca219784,a66fa36e29904ff36ade72d3043235491c8665fad9e97c20a005a43bca219784,True
w3_k28,3,28,28.00000000000012,28,29,False,28,8ef6e4eff1790817f1e73a6e38c4ba317d3a5bbc8e5f7dcadae7ba074e191ab6,5471dffc6183f138c2a5bbeba4d533b967e8a0b3725724e3e24ffa62a9c766d7,True
w4_k28,4,28,27.999999999999822,28,29,False,28,a4d00428910e2987d68a23b97a6f379003d930a8781806155500e5ffbe5015e2,0599c36ad8b6f43d02a398fc1ebde051d2fc336eddf18071f65da371bc03e719,True
w5_k28,5,28,26.999999999999158,27,34,False,31,ace5040181deb115f965755a5acb6826cae9fc08db976fe824b441dd4aa4c5b7,67674419970658e8124ac13626927d339f6791fa4113a7c78d4fdfb0fb132d2c,False
w6_k28,6,28,28.000000000000636,28,28,True,28,9715b2c2f7934b29f3f491d1f5d6cfc41070cff520cf3b08bb609792cc48bf06,9715b2c2f7934b29f3f491d1f5d6cfc41070cff520cf3b08bb609792cc48bf06,True
w1_k29,1,29,28.999999999999996,29,30,False,29,592362d25d38c83570361c03a26ccbb632eb8e9ec77e8490e2b84a1ec1ec48a5,e4647d0692f2d23b9f8cd2044754789e8900eaa284464b84418847c5e701875f,True
w2_k29,2,29,28.99999999999993,29,30,False,29,6e4ffcfe153ade8862a0af6d61f31412b5540cb06e647a60b2efa4ac7982e9de,7b904fd97e7ac3d33ff834b536eceb1fd7a51bd78209eb315fe5c0fe96c393cd,True
w3_k29,3,29,28.999999999999655,29,29,True,29,70c8193fedff53cd5e5f8542a4f9183d16fecbe361237b3804c524b495aa97b0,70c8193fedff53cd5e5f8542a4f9183d16fecbe361237b3804c524b495aa97b0,True
w4_k29,4,29,29.00000000000086,29,29,True,29,7e38c5fafc11b5a681e4ce8f766ae1510505f22e4be0d0a9e57f5e530581ba23,7e38c5fafc11b5a681e4ce8f766ae1510505f22e4be0d0a9e57f5e530581ba23,True
w5_k29,5,29,28.000000000000465,28,35,False,30,57e0ce4a4767535449715c3fdba3dd210af2cc153e9e01676ffb2e77e9330365,3cd0ccefe0c17285a8bd5a8cd96e12ff857892074f48faaccb848d1e55f21539,False
w6_k29,6,29,28.99999999999958,29,30,False,29,9769a243798fdf531b36f99f611a8f2aa332650045fa34464a8ad0311ff0ef55,29a1c3fca0d98ae8b70a29ae1bb2bc961ca733ca6d3c2ab4d5017c721c0ec8b3,True
w1_k30,1,30,29.99999999999985,30,31,False,30,19ad634de1ddb1eeff9ca92491d119917e295efd8897cb53ed3a6627546b4931,c305aea53c2a3f34af509f76c2c18788e648e6a8a997af51c0ea18aadfdc54f4,True
