case,chain,target_k,new_buses,old_bounded_buses,old_comparison_source,old_fleet_proven,old_fleet_bound,cg_certified,cg_minutes,cg_iterations,weighted_lp_objective,fractional_route_weight,minimum_reduced_cost,accepted_inherited_routes,import_minutes,cg_path,cg_payload_sha256,old_mip_path,old_mip_sha256,mip_fleet_bound,mip_fleet_proven,mip_pool_columns,mip_physical_replay_validated,mip_duplicate_trip_removal_validated,mip_cross_route_charger_capacity_validated,mip_runtime_s,mip_status_name,mip_path,mip_sha256,input_sha256,stage1_runtime_s,stage1_status_name,stage2_status_name,stage2_fleet_constraint
w1_k07,1,7,7,8,overnight_extension_20260912,True,8.0,True,49.14579652828785,550,700313.4570986115,7.000000000000063,-4.3533932014838683e-10,59910,5.049764477112331,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w1_k07/cg.json,8ccb5f3921d0b6f789ae369740327ac04ea9e270e45bef2703cc3d5b76236795,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w1_k07/mip/949636_r0/result.json,40ff159cf6f4dd677477adf37d23e043b351af58b4ac4091d1452db35517f808,7.0,True,74019,True,False,False,3601.0013036727905,TIME_LIMIT,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w1_k07/mip/41576_r0/result.json,51b9be3d1e73be60f3d9b2891e4eccc0f4f983677bd124c10d5b181c3a99363a,c1ddecd62cc584d309a486886062f26c4dc8adc2221fc621a47d9c30713304d6,23.303578853607178,OPTIMAL,TIME_LIMIT,at_most
w1_k08,1,8,8,9,overnight_extension_20260912,True,9.0,True,23.972495051162937,177,800383.6879776382,8.000000000000009,-1.0789169557767764e-09,74019,7.093580845301039,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w1_k08/cg.json,b357de6793e84e4056d242768afc4848251a06cfa491313b2a978b44b23c1910,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w1_k08/mip/949638_r0/result.json,bf00821a6c80c6adb133bcc565c9872ea8fcaa75c06fe7f54b732e5d62551e54,8.0,True,78053,True,False,False,3602.4443945884705,TIME_LIMIT,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w1_k08/mip/41578_r0/result.json,a419ef451a44fe51c519dd083a70059fc690aef45587ba2a0d8e02c1a2daa83d,cca5b6ca0c9af9eeb20adb414e300a130471e9e802ef6543a85b9d3ba2860f9d,31.147420406341553,OPTIMAL,TIME_LIMIT,at_most
w1_k09,1,9,9,10,overnight_extension_20260912,False,9.000000000000028,True,26.721889864412756,203,900453.4955110442,9.000000000000039,-3.867189235506885e-09,78053,6.747451853527067,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w1_k09/cg.json,8c05f3a2a04baac6d7af5f4c7a04c99b20615457ba8abbb2d954b49154c49986,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w1_k09/mip/949680_r0/result.json,ef9f5a1ccce5060089883b2479b06e52e361294b6bf5568a9fbbd02939ef1bb7,9.0,True,81921,True,False,False,3601.5823743343353,TIME_LIMIT,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w1_k09/mip/41580_r0/result.json,c2b26d39df2b4b2847d2494b9667faa051d90ac36f7150936a728d5d1f61b84e,9bf82e7707f52cad1513b770af6883663ffd77fd16a37119a72b12c81ec38569,97.29859733581543,OPTIMAL,TIME_LIMIT,at_most
w1_k10,1,10,10,11,overnight_extension_20260912,True,11.0,True,17.63162288633175,91,1000511.2045748269,9.999999999999963,-6.247313777407726e-10,81921,7.174666922795586,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w1_k10/cg.json,bcffd7f57dd487713d73f1081fbeff0d5f8ad869a8b50e6a5cda05df6bcc87b7,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w1_k10/mip/949682_r0/result.json,7e25c2f7c3e133851c5b511547f44ffa5b35d66f4aaa32f79e73c47d038e82a3,10.0,True,84209,True,False,False,3601.2113251686096,TIME_LIMIT,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w1_k10/mip/41582_r0/result.json,83caff3a1b29a4c27b2eef90315fa229f3cfb7055ec8aae5e8522179f2471872,c54f31750af49fb66f0bf21995d02d01a5520e37f13152bc95b4aff17ecef1f3,87.87695956230164,OPTIMAL,TIME_LIMIT,at_most
w1_k11,1,11,11,13,overnight_extension_20260912,False,11.000000000000039,True,42.696223070953664,288,1100537.0610886754,11.0,-1.0877840850298526e-09,84209,7.489823297496574,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w1_k11/cg.json,8abec3062f170945aa62287617d84e54bce5f4bed9c58d59229ad0338d5fc430,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w1_k11/mip/949684_r0/result.json,6ffbf27c7493d439beb99fcf6d38faa65ab5a4c69ca018e97e5504ce6dbd1bf6,11.0,True,91701,True,False,False,3601.7319548130035,TIME_LIMIT,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w1_k11/mip/41584_r0/result.json,903e9dee8e45d7126b45e8b63d95213370c3be1b393af301e667f5ffb9994469,a34cf88096ef586419a247660df1f8b8cc40823c47ff72c96169495b6c54c844,19.35008931159973,OPTIMAL,TIME_LIMIT,at_most
w1_k12,1,12,12,13,overnight_extension_20260912,False,12.00000000000018,True,26.846811995461273,133,1200608.9416128676,12.000000000000007,-1.164920604423969e-09,91701,8.155666348695133,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w1_k12/cg.json,d06b70a5b9fc27e9df7063940e31365f3e050d5eeec9158175244b02320572d5,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w1_k12/mip/949686_r0/result.json,ec9a4474a4efd0c165976d31bd2af79efbc091f8e411e08d23c84b21cd6353c2,12.0,True,94578,True,False,False,3601.8065509796143,TIME_LIMIT,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w1_k12/mip/41586_r0/result.json,3dace868c578ab26a26066ea0142b186b95ec65024f2e30a27d950acada9ae76,1215b5185757fff3d1504ada00e6778422446bf4c1cf92ff47f2049a4be12311,243.04493403434753,OPTIMAL,TIME_LIMIT,at_most
w1_k13,1,13,13,15,overnight_extension_20260912,False,13.000000000000064,True,70.56650216834,366,1300648.3686726105,12.999999999999858,-3.372892187769594e-09,94578,8.899335743533447,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w1_k13/cg.json,49e9d51611be4515a2f414720ea591eb5de2af198d4547e7cb74b38d1ec47a27,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w1_k13/mip/949688_r0/result.json,5a73d9a4f97a38637c9e504ff25b0fd649d4b98dafb67ae1696eac3309298014,13.0,True,104368,True,False,False,3601.7322738170624,TIME_LIMIT,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w1_k13/mip/41588_r0/result.json,81739c86d30ab404205aaa4407fcc20a60d4aeeb56d4fe8aa9ea4e92e256c0f8,6dc56dc3deb893ef86905dad78343749875741c72c894621978a98fef2fefde0,44.54881024360657,OPTIMAL,TIME_LIMIT,at_most
w1_k14,1,14,14,16,overnight_extension_20260912,False,14.000000000000027,True,75.02362302848293,345,1400650.097333925,14.000000000000028,-1.1928083409884493e-08,104368,10.391698526715238,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w1_k14/cg.json,4f923a7781672394849dd4f12372d513a0950b04909fa7a447941c7466d2db39,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w1_k14/mip/949690_r0/result.json,40afbe89a16c23d1080eb633d134e460458fe386b7d758736309eb5258a729a8,14.0,True,113762,True,False,False,3603.7967462539673,TIME_LIMIT,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w1_k14/mip/41590_r0/result.json,3f9edad1e5c0bff17a3e1715c82dabbfce69a93dafbcef4e25b666c53951fbcf,75f5d73b49599396552df68484abb8f8a52f037e4aa4be5b882749f1634a1b7d,563.7947542667389,OPTIMAL,TIME_LIMIT,at_most
w1_k15,1,15,15,18,overnight_extension_20260912,False,15.000000000002274,True,156.30250362565664,601,1500717.3733261311,15.000000000000268,-6.214520453795558e-09,113762,17.676764281035865,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w1_k15/cg.json,c1551959e8fcf34225062005f1bb8afb910c7cf4e281cb95f33be81ffe752b08,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w1_k15/mip/949692_r0/result.json,445110583cf12ff721fec5283a3382fb84f6e16a6eafb1b8af487f0b6e8a6dcf,15.0,True,130468,True,False,False,3602.9004530906677,TIME_LIMIT,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w1_k15/mip/41592_r0/result.json,09872dfb4720d683e77b1110a6baad67047af9abe2255394380cdd3f0dee0a7d,00e65586e3f6732d476adb184af9ae1c55f8d160798fbb629e47ebcaf5906390,111.33647322654724,OPTIMAL,TIME_LIMIT,at_most
w2_k09,2,9,9,10,overnight_extension_20260912,False,9.000000000000004,True,32.47639080351607,468,900301.352986131,9.000000000000023,-1.7648007499815321e-09,42732,3.211069668266767,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w2_k09/cg.json,7e0064b7fcb066d327c97108cc8c6a098024c7eded6c985da1b88029c1a93c7b,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w2_k09/mip/949694_r0/result.json,39a2ac2ec040e77f879f31c06c20f494f239579f2b0838cd89b60c54c4a03392,9.0,True,53744,True,False,False,3602.0346932411194,TIME_LIMIT,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w2_k09/mip/41593_r0/result.json,b10ac87f10054e2769eb7b41537f5dddd0397b8d7933d203c12a08bc76a2305f,13571e9cfa59d55b54246e92dba53c023e6550dd2938fc04239a9952f6a54177,17.52887511253357,OPTIMAL,TIME_LIMIT,at_most
