branch	sha	tracking	main_only_commits	branch_only_commits	fully_merged_in_main	unique_vs_other_local_branches	commits_not_on_any_origin_ref	same_name_origin_sha	existing_worktrees	prunable_worktrees
codex/research-register-20260915	4a0c2b2c76d5ab150acebc70bd725266c8aef835		4	264	False	0	0		['/Users/nadan/Documents/projects/demandresponse/.codex-work/research-register-20260915']	[]
codex/review-fdl-cg-20260916	daac18d5598902c28baa6c43e58942930fc733bc		10	386	False	2	2		['/Users/nadan/Documents/projects/demandresponse/.codex-work/review-fdl-cg-20260916']	[]
codex/review-fdl-mip-20260916	0c51b1fa491492212f5d875d1c082b476db0f1c3		10	383	False	2	2		['/Users/nadan/Documents/projects/demandresponse/.codex-work/review-fdl-mip-20260916']	[]
codex/review-strict-chain-20260916	50ceb6c095a580f79f87b53bef536cac31f81963		10	391	False	0	0		['/Users/nadan/Documents/projects/demandresponse/.codex-work/review-strict-chain-20260916']	[]
codex/small-exact-threshold-20260903	9bdbb17d14f068745b198d4ade81e062addc62b4	[behind 22]	10	349	False	0	0		[]	['/private/tmp/evsp-small-threshold-0903']
codex/spatial-tariff-recipe-20260925	4a8b497e668be9962bca5906a8b69116fa634882		10	389	False	2	2		['/Users/nadan/Documents/projects/demandresponse/.codex-work/spatial-tariff-recipe-20260925']	[]
codex/stage2-cap-recovery-20260910	2d797b897c8a89dcdb3eae36351ac6a8655e59d2		10	382	False	0	1		['/Users/nadan/Documents/projects/demandresponse/.codex-work/stage2_cap_recovery_20260910']	[]
codex/storage-cleanup-20260912	b1129bf45f176f24c58f17ba7dee32c1f1827758		4	42	False	6	0	b1129bf45f176f24c58f17ba7dee32c1f1827758	[]	[]
codex/strict-graph-reuse-20260922	fedf421461f94727e6b1292a0e7789ab76ed8587		10	393	False	0	0	fedf421461f94727e6b1292a0e7789ab76ed8587	['/Users/nadan/Documents/projects/demandresponse/.codex-work/strict-graph-reuse-20260922']	[]
codex/strict-graph-validation-20260922	3bb32c1a84af73c97689dfc9f5ad43136cfcead9		10	395	False	1	0	3bb32c1a84af73c97689dfc9f5ad43136cfcead9	['/Users/nadan/Documents/projects/demandresponse/.codex-work/strict-graph-validation-20260922']	[]
codex/strict-lineage-gate-20260922	34d39caff534c089fbffed397f5a42b223b590ad		10	394	False	0	0	34d39caff534c089fbffed397f5a42b223b590ad	['/Users/nadan/Documents/projects/demandresponse/.codex-work/strict-lineage-gate-20260922']	[]
codex/strict-packed-20260921	35770aae2c08e7d5a356cc3b673e67608e5b1036		10	392	False	0	0		['/Users/nadan/Documents/projects/demandresponse/.codex-work/strict-packed-20260921']	[]
codex/strict-successors-20260921	550bc5b061b05b82247e4f2f94793c3563c98087		10	394	False	2	0	550bc5b061b05b82247e4f2f94793c3563c98087	['/Users/nadan/Documents/projects/demandresponse/.codex-work/strict-successors-20260921']	[]
codex/terminal-energy-fair-comparison-20260910	2424369f4b5c40198a22698b7a460d6aa8129169		10	376	False	0	0	2424369f4b5c40198a22698b7a460d6aa8129169	['/private/tmp/evsp-terminal-energy-20260910']	['/private/tmp/evsp-terminal-energy-20260910']
codex/terminal-replay-compat-20260910	4400dbb3f28471ffcd4a4628cb2487ea0a8ff6d8		10	380	False	0	0		['/Users/nadan/Documents/projects/demandresponse/.codex-work/terminal-replay-compat-20260910']	[]
codex/terminal-replay-compat-2424369-20260910	5cdb8138c29faef9d5bf949175cb1e815a0b4220		10	377	False	0	0	5cdb8138c29faef9d5bf949175cb1e815a0b4220	['/Users/nadan/Documents/projects/demandresponse/.codex-work/terminal-replay-compat-2424369-20260910']	[]
codex/warm-chain-p5-20260910	689b882789119bf6a6686157c757db39286ee6db		10	384	False	2	3		['/Users/nadan/Documents/projects/demandresponse/.codex-work/warm-chain-p5-20260910']	[]
codex/warm-multichain-p1246-20260910	58a69ad83017254fe290e7018bec4d527a67c116		4	18	False	12	12		[]	['/private/tmp/evsp-warm-multichain-p1246']
codex/week-cleanup-20260921	24fbda8100f612c45477c28a92747e00cf7cb42a		10	389	False	1	2		['/Users/nadan/Documents/projects/demandresponse/.codex-work/week-cleanup-20260921']	[]
codex/week-evidence-20260921	d04b11876cb38866b524c3793c8aff996545e3b3		4	301	False	37	0	d04b11876cb38866b524c3793c8aff996545e3b3	['/Users/nadan/Documents/projects/demandresponse/.codex-work/week-evidence-20260921']	[]
codex/zero-charge-start-fee-20260913	06b5cb86d6c24df0ec0a5ca7189fa9552f527dd0		10	385	False	2	0	06b5cb86d6c24df0ec0a5ca7189fa9552f527dd0	['/Users/nadan/Documents/projects/demandresponse/.codex-work/zero-charge-start-fee-20260913']	[]
codex/zero-fee-terminal-cg	2c7445ac6449eb7d338c83f8320574da042a65b5		10	387	False	0	0	2c7445ac6449eb7d338c83f8320574da042a65b5	['/Users/nadan/Documents/projects/demandresponse/.codex-work/zero-fee-terminal-cg']	[]
cursor/nested-threshold-auditor-20260904	9bdbb17d14f068745b198d4ade81e062addc62b4		10	349	False	0	0		['/Users/nadan/Documents/projects/evsp-dr-nested-auditor']	[]
issue1-fix-readme	1e58a9e7865962bf7f1caeb5854cde2c6bda3bed		31	1	False	1	1		[]	[]
issue10	d34cde44cda9e13977fc39c0aa93dd6246899228		8	0	True	0	0		[]	[]
issue11	37d2e5d6a255ba50f5f46d6e1c589dc3cb12780d		14	1	False	1	0	37d2e5d6a255ba50f5f46d6e1c589dc3cb12780d	[]	[]
issue14	a5f63e34869d51c850738f7eec382bc94f36570c		4	3	False	3	3		[]	[]
issue14-BattSoCChargingFix	1f53b517a2592b39a1ba1e0c37d9551f6c822801	[gone]	10	9	False	1	1		[]	[]
issue14-prev_ver	be4defe73ce18df587d8f121275ea8e849e8b614	[gone]	10	2	False	0	0		[]	[]
issue15	62256692319f74f266fa2bad4db2a008ef97a901		10	13	False	0	0		[]	[]
