case,arm,route_index,route_schedule_sha256,failed_before,repair_stage,repaired,independent_replay_passed,before_min_soc_kwh,after_min_soc_kwh,after_terminal_kwh,old_charged_kwh,new_charged_kwh,net_added_kwh,gross_added_kwh,gross_reduced_kwh,added_full_power_equivalent_minutes,added_outside_original_windows_min,total_start_shift_min,total_end_shift_min,old_electricity_cost,new_electricity_cost,electricity_cost_change,old_charge_starts,new_charge_starts,start_fee,charging_objective_change,continuous_outside_original_event_grid,unresolved_reason
c1_k05,base,0,c23f65a76772409bbe0d30b1aa38e3cf9b93499f96261df64a54e760aada1a61,True,existing_intervals,True,True,-0.7899994999999933,5.684341886080802e-14,5.684341886080802e-14,346.4499975,347.239997,0.7899995000000217,0.789999500000004,0,0.197499875000001,0.0,0.0,0.0,34.367839751999995,34.4462077024,0.07836795040000766,6,6,5,0.07836795040000766,True,
c1_k05,base,1,388c6aeb20600e69e16d1b3a851250bd6d9aaaaaee671fbdf3a7f59bde38b9c5,True,existing_intervals,True,True,-2.0199989999999914,-7.105427357601002e-15,2.0000000000000284,262.9899985,265.0099975,2.0199989999999843,2.0199989999999985,0,0.5049997499999996,0.0,0.0,0.0,26.088607851200003,26.288991752,0.20038390079999857,2,2,5,0.20038390079999857,True,
c1_k05,base,2,220776eb48648a68c081eec25ef99a12cf5d7818c59f2779eccba55d74601202,False,unchanged,True,True,0.4010014000000055,0.4010014000000055,9.305003100000032,357.71299336000004,357.71299336000004,0.0,0,0,0.0,0.0,0.0,0.0,35.485128941312,35.485128941312,0.0,3,3,5,0.0,False,
c1_k05,base,3,729b3448beee86957e39151fc1416fed39cf24fbd11285a2ac78f3acd7c87462,False,unchanged,True,True,1.687000899999994,1.687000899999994,13.19599984000002,249.59899666,249.59899666,0.0,0,0,0.0,0.0,0.0,0.0,24.760220468672,24.760220468672,0.0,2,2,5,0.0,False,
c1_k05,base,4,0714d303a137c0824a4730b554dbc3a35d7617ed135762635e186c6fcb70bd34,True,existing_intervals,True,True,-0.8899994999999974,4.707345624410664e-14,4.707345624410664e-14,301.37199350000003,302.2619930000001,0.8899995000000445,0.8899995000000587,0,0.22249987500001467,0.0,0.0,0.0,29.8961017552,29.984389705600005,0.08828795040000514,3,3,5,0.08828795040000514,True,
c1_k05,warm,0,388c6aeb20600e69e16d1b3a851250bd6d9aaaaaee671fbdf3a7f59bde38b9c5,True,existing_intervals,True,True,-2.0199989999999914,-7.105427357601002e-15,2.0000000000000284,262.9899985,265.0099975,2.0199989999999843,2.0199989999999985,0,0.5049997499999996,0.0,0.0,0.0,26.088607851200003,26.288991752,0.20038390079999857,2,2,5,0.20038390079999857,True,
c1_k05,warm,1,d324aa498cb8e21a69ec0185f6605feccdff8f9338fa06bffeb89d0b77bd2edb,True,existing_intervals,True,True,-3.0899995000000002,2.5757174171303632e-14,2.5757174171303632e-14,197.219998,200.3099975,3.0899995000000047,3.089999500000012,0,0.772499875000003,0.0,0.0,0.0,19.564223801599997,19.870751752,0.30652795040000314,5,5,5,0.30652795040000314,True,
c1_k05,warm,2,d5e7e181911cda212f309d675871aba61cc0f100d760fb1c3e0fc3f06055cb2a,True,existing_intervals,True,True,-1.5600000000000023,-5.684341886080802e-14,-5.684341886080802e-14,429.86799262,431.42799261999994,1.5599999999999454,1.5599999999999596,0,0.3899999999999899,0.0,0.0,0.0,42.642904867904,42.797656867903996,0.1547519999999949,5,5,5,0.1547519999999949,True,
c1_k05,warm,3,3baffce7d51c461c98b13fd0e18b35c3c9b963999b8cf2150ba77180dd0be8c8,False,unchanged,True,True,10.542001299999988,10.542001299999988,10.542001299999988,185.27099756,185.27099756,0.0,0,0,0.0,0.0,0.0,0.0,18.378882957952,18.378882957952,0.0,1,1,5,0.0,False,
c1_k05,warm,4,5355cdb752ca8852a88384fa66b0035a4129a715fe96ced7a2640b9eb27430fa,False,unchanged,True,True,1.6230024999999841,1.6230024999999841,9.305003100000004,436.3509938,436.3509938,0.0,0,0,0.0,0.0,0.0,0.0,43.286018584960004,43.286018584960004,0.0,3,3,5,0.0,False,
