case,arm,routes,failed_before,fixed_existing_intervals,fixed_retimed_visits,unresolved,whole_solution_energy_valid,net_added_kwh,gross_added_kwh,electricity_cost_change,charging_objective_change,added_outside_original_windows_min
c1_k05,base,5,3,3,0,0,True,3.6999980000000505,3.699998000000061,0.3670398016000114,0.3670398016000114,0.0
c1_k05,warm,5,3,3,0,0,True,6.669998499999934,6.66999849999997,0.6616638511999966,0.6616638511999966,0.0
c1_k08,base,9,3,3,0,0,True,4.039997999999969,7.12999750000003,0.40076780160000425,0.40076780160000425,0.0
c1_k08,warm,8,5,5,0,0,True,8.182997759999978,8.182997760000006,0.8117533777919981,0.8117533777919981,0.0
c1_k10,base,11,6,6,0,0,True,5.289994500000319,5.289994500000205,0.5247674544000134,0.5247674544000134,0.0
c1_k10,warm,10,6,6,0,0,True,6.989994500000137,6.989994500000034,0.6934074544000026,0.6934074544000026,0.0
c1_k15,base,18,10,10,0,0,True,18.652990800000225,18.652990800000318,1.8503766873600327,1.8503766873600327,0.0
c1_k15,warm,15,8,8,0,0,True,17.88799620000009,17.88799620000011,1.774489223040007,1.774489223040007,0.0
c2_k05,base,5,1,1,0,0,True,3.089999500000033,3.089999500000019,0.30652795040000314,0.30652795040000314,0.0
c2_k05,warm,5,2,2,0,0,True,3.2099985000000117,3.2099985000000046,0.3184318512000033,0.3184318512000033,0.0
c2_k08,base,9,1,1,0,0,True,3.08999950000009,3.089999500000033,0.30652795040000314,0.30652795040000314,0.0
c2_k08,warm,8,2,2,0,0,True,5.278998799999982,5.2789987999999575,0.5236766809600013,0.5236766809600013,0.0
c2_k10,base,12,3,3,0,0,True,3.6899965000000066,3.689996500000035,0.3660476528000096,0.3660476528000096,0.0
c2_k10,warm,10,2,2,0,0,True,5.109998500000017,5.109998500000046,0.5069118511999946,0.5069118511999946,0.0
c2_k15,base,17,6,6,0,0,True,6.722993100000224,6.722993100000227,0.6669209155200129,0.6669209155200129,0.0
c2_k15,warm,15,6,6,0,0,True,12.3329971,12.622996599999958,1.2234333123200045,1.2234333123200045,0.0
c3_k05,base,5,0,0,0,0,True,0.0,0,0.0,0.0,0.0
c3_k05,warm,5,0,0,0,0,True,0.0,0,0.0,0.0,0.0
c3_k08,base,9,2,2,0,0,True,3.979998999999964,3.9799989999999568,0.3948159008000012,0.3948159008000012,0.0
c3_k08,warm,8,1,1,0,0,True,1.0600000000000023,1.0600000000000023,0.10515200000000391,0.10515200000000391,0.0
c3_k10,base,11,3,2,1,0,True,3.2299975000000245,3.229997499999996,0.3204157519999953,0.3204157519999953,0.0024993749999566717
c3_k10,warm,10,1,1,0,0,True,1.0599999999999454,1.0599999999999952,0.1051519999999968,0.1051519999999968,0.0
c3_k15,base,18,5,5,0,0,True,10.52999449999993,10.529994499999987,1.0445754544000003,1.0445754544000003,0.0
c3_k15,warm,15,5,5,0,0,True,10.809996500000182,10.80999650000009,1.072351652800009,1.072351652800009,0.0
c4_k05,base,5,3,3,0,0,True,7.7299975000000245,7.729997500000053,0.7668157520000065,0.7668157520000065,0.0
c4_k05,warm,5,3,3,0,0,True,7.429997499999956,7.4299974999999705,0.7370557519999963,0.7370557519999963,0.0
c4_k08,base,9,3,3,0,0,True,6.659996999999976,6.659996999999969,0.6606717023999948,0.6606717023999948,0.0
c4_k08,warm,8,4,4,0,0,True,8.819997,8.819997,0.8749437023999995,0.8749437023999995,0.0
c4_k10,base,11,5,5,0,0,True,5.549996500000077,7.099995000000106,0.5505596528000183,0.5505596528000183,0.0
c4_k10,warm,10,4,4,0,0,True,7.249996500000009,7.249996500000066,0.719199652800004,0.719199652800004,0.0
c4_k15,base,19,6,6,0,0,True,9.009992499999953,9.009992499999967,0.8937912560000036,0.8937912560000036,0.0
c4_k15,warm,15,6,6,0,0,True,13.671994700000027,13.671994700000091,1.3562618742400154,1.3562618742400154,0.0
c5_k05,base,6,4,4,0,0,True,6.669994500000058,6.669994500000058,0.6616634544000171,0.6616634544000171,0.0
c5_k05,warm,5,2,2,0,0,True,4.639997999999935,4.63999799999992,0.46028780159998917,0.46028780159998917,0.0
c5_k08,base,9,5,5,0,0,True,4.649995500000102,8.219993000000116,0.46127955360002204,0.46127955360002204,0.0
c5_k08,warm,8,5,5,0,0,True,8.809996500000068,8.809996500000096,0.8739516528000166,0.8739516528000166,0.0
c5_k10,base,11,7,7,0,0,True,11.339993000000163,11.339993000000177,1.1249273056000142,1.1249273056000142,0.0
