k,chain,fleet,pool_fleet_bound,optimal_scope,cg_wall_s,mip_wall_s,physical_replay_validated,overcovered_trips,source,sha256
5,3,5,5.0,full_pool_lexicographic,505.88839823636226,3.5400333967991173,True,0,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k05_p3__cover__event_2p5_event5__1h2stage.json,024eb1466b203a3590682be76495f230c3962405730ef999761ad598e458ca51
5,4,5,5.0,full_pool_lexicographic,1207.3673140408937,19.31737076700665,True,3,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k05_p4_cover_event_2p5_event5/default1h_a02/result.json,182da0c112c80ceab37c32bc6ef95b074aa325545092afac3083f20ff0c4d5da
5,5,6,6.0,full_pool_lexicographic,756.3219959374983,89.93634329992346,True,12,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k05_p5__cover__event_2p5_event5__1h2stage.json,eb68854beaf4068673c7ca4958b628527d7fbf6b7166055f27d2bf55e5e8a9b4
5,6,5,5.0,full_pool_lexicographic,877.3147749572527,1.8364926578942686,True,0,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k05_p6_cover_event_2p5_event5/default1h_a02/result.json,50e278dd1ce6b43b73ad57a5f51c19fc41fad8ff78c07ce636c9b015f6fe43b6
6,1,6,6.0,full_pool_lexicographic,5126.875455494737,189.06133771897294,True,6,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k06_p1_cover_event_2p5_event5/default1h_a02/result.json,c9fa7142df571e6173135c4c80152906a4ca7364e168625c828f2407c022d6dc
6,2,7,7.0,full_pool_lexicographic,1025.0487670074217,640.8240374840098,True,11,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k06_p2_cover_event_2p5_event5/default1h_a02/result.json,fac1aafd31d957334df7c56eefda4cdfba8933e73fa569fa2170dd837f9e22c7
6,3,6,6.0,full_pool_lexicographic,851.9269055768382,770.2655006990535,True,18,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k06_p3_cover_event_2p5_event5/default1h_a02/result.json,1f83833c5277d7ed0d40eb034b0a2e7f44449b8b670f484f395f5ea8b2f91080
6,4,6,6.0,full_pool_lexicographic,1937.2602428209502,26.971424079034477,True,4,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k06_p4_cover_event_2p5_event5/default1h_a02/result.json,426ece25df391d574f23db5a8c7463de55dda49f2a3945c431628b24dc6c805a
6,5,7,7.0,full_pool_lexicographic,1800.2502342066728,880.6875443242025,True,16,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k06_p5_cover_event_2p5_event5/default1h_a02/result.json,fa2c005bcb4811626c9aa9fa33e0723ae82e8a4e74af438f610c3990046381fe
6,6,6,6.0,full_pool_lexicographic,915.4600921894889,9.40145530202426,True,0,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k06_p6_cover_event_2p5_event5/default1h_a02/result.json,90206e02705e7d4ddad177e45ed4ef39185f321769dc66d3a24cc22f61150f26
7,1,8,8.0,fleet_only,3859.5573706140276,3600.9019987098873,True,25,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k07_p1_cover_event_2p5_event5/default1h_a02/result.json,a71ffcc229b5c9308923aeafa3174b1e1dcdc48f7acc564417ccc8142b23ff82
7,2,7,7.0,full_pool_lexicographic,1571.2052865503356,1824.2628862669226,True,19,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k07_p2_cover_event_2p5_event5/default1h_a02/result.json,b946b1ac55c08683e52fac9d2084a92ea2568b0158705fefc31fa3a831f158cb
7,3,8,8.0,fleet_only,983.4428992017638,3600.665949943941,True,30,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k07_p3_cover_event_2p5_event5/default1h_a02/result.json,7bd75042141a6b419c5605dade6d151c8ab1e7d9d4e07c75f9579213f9b8ccd2
7,4,8,8.0,full_pool_lexicographic,1731.209656740306,1186.6229515401646,True,17,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k07_p4_cover_event_2p5_event5/default1h_a02/result.json,d77208ee37d9e29f211ebd9300742ac33274a3db5919711e2abf14f7f5355777
7,5,8,8.0,fleet_only,2275.1164352926426,3600.7350461906753,True,25,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k07_p5_cover_event_2p5_event5/default1h_a02/result.json,6402ae46ced4ff9d07f161f336a813df8068d94b927faa89ab57b914e0d26ff9
7,6,7,7.0,full_pool_lexicographic,1180.9807958640158,10.012843699194491,True,1,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k07_p6_cover_event_2p5_event5/default1h_a02/result.json,183d09da70e7116860184932b7b27ced8627b58f29df966d32ae8791185c3877
8,1,9,9.0,fleet_only,4891.556541520869,3602.89286695607,True,40,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k08_p1__cover__event_2p5_event5__1h2stage.json,9fdbbfde4d49cc1b5aa8876b42c54e8ee8907964d52997dfa7f584f87afc2ad9
8,2,9,8.000000000000005,none,2743.0239054297563,3600.923454470001,True,35,/home/nc437/ladder-lite/covering_complement75_20260911_21fbecb/mip_attempts/fresh_k08_p2_cover_event_2p5_event5/default1h_a02/result.json,09cfd527aebb20ddae1c5d280fe494320b3fddae0bf389bccf5f7e35919ac7ee
