case,route_order,route_index,station,station_base,start_min,end_min,kwh
"Practice 30-bus, g=300",7,961,JON_A_0,JON_A,862.0,888.8038002,134.01900099999997
"Practice 30-bus, g=300",7,961,7880C_0,7880C,1014.0,1020.71119976,33.5559988
"Practice 30-bus, g=300",8,1065,PARX_0,PARX,0.0,6.0,30.0
"Practice 30-bus, g=300",8,1065,JON_A_0,JON_A,17.0,73.56,282.8
"Practice 30-bus, g=300",8,1065,3127L_0,3127L,401.0,412.72499992,58.624999599999995
"Practice 30-bus, g=300",8,1065,3127L_0,3127L,520.0,523.93879968,19.693998400000027
"Practice 30-bus, g=300",8,1065,3127L_0,3127L,648.0,676.31039964,141.55199819999999
"Practice 30-bus, g=300",8,1065,3127L_0,3127L,964.0,965.83400006,9.17000029999997
"Practice 30-bus, g=300",8,1065,3127L_0,3127L,1014.0,1019.82639996,29.131999800000003
"Practice 30-bus, g=300",8,1065,7880C_0,7880C,1141.0,1175.59360006,172.9680003
"Practice 30-bus, g=300",9,1090,PARX_0,PARX,0.0,6.0,30.0
"Practice 30-bus, g=300",9,1090,JON_A_0,JON_A,17.0,73.56,282.8
"Practice 30-bus, g=300",9,1090,3127L_0,3127L,401.0,412.72499992,58.624999599999995
"Practice 30-bus, g=300",9,1090,3127L_0,3127L,520.0,523.93879968,19.693998400000027
"Practice 30-bus, g=300",9,1090,3127L_0,3127L,648.0,670.31039964,111.55199819999999
"Practice 30-bus, g=300",9,1090,3127L_0,3127L,728.0,730.00859986,10.042999299999991
"Practice 30-bus, g=300",9,1090,3127L_0,3127L,788.0,790.00859986,10.042999299999991
"Practice 30-bus, g=300",9,1090,3127L_0,3127L,908.0,918.01719972,50.08599859999998
"Practice 30-bus, g=300",9,1090,3127L_0,3127L,964.0,965.9855999,9.927999499999999
"Practice 30-bus, g=300",9,1090,3127L_0,3127L,1014.0,1019.82639996,29.131999800000003
"Practice 30-bus, g=300",9,1090,JON_A_0,JON_A,1145.0,1194.68880006,248.4440003
"Practice 30-bus, g=300",10,1339,PARX_0,PARX,0.0,60.0,300.0
"Practice 30-bus, g=300",10,1339,3127L_0,3127L,409.0,422.03679978,65.18399889999998
"Practice 30-bus, g=300",10,1339,PARX_0,PARX,642.0,663.1865995,105.93299750000006
"Practice 30-bus, g=300",10,1339,3127L_0,3127L,822.0,835.80580004,69.02900019999998
"Practice 30-bus, g=300",10,1339,3127L_0,3127L,928.0,947.74379974,98.71899869999999
"Practice 30-bus, g=300",10,1339,7880C_0,7880C,1250.0,1261.08099954,55.40499769999997
"Practice 30-bus, g=300",11,1403,PARX_0,PARX,0.0,60.0,300.0
"Practice 30-bus, g=300",11,1403,7880C_0,7880C,383.0,391.8682,44.34100000000001
"Practice 30-bus, g=300",11,1403,7880C_0,7880C,504.0,511.43079984,37.15399919999999
"Practice 30-bus, g=300",11,1403,3127L_0,3127L,742.0,755.53319962,67.6659981
"Practice 30-bus, g=300",11,1403,3127L_0,3127L,822.0,830.73379974,43.6689987
"Practice 30-bus, g=300",11,1403,PARX_0,PARX,1122.0,1175.00059986,265.0029993
"Practice 30-bus, g=300",12,1775,PARX_0,PARX,0.0,60.0,300.0
"Practice 30-bus, g=300",12,1775,3127L_0,3127L,623.0,646.44279954,117.2139977
"Practice 30-bus, g=300",12,1775,3127L_0,3127L,712.0,732.44059982,102.2029991
"Practice 30-bus, g=300",12,1775,7880C_0,7880C,915.0,930.82299974,79.1149987
"Practice 30-bus, g=300",12,1775,JON_A_0,JON_A,1214.0,1242.55599996,142.7799998
"Practice 30-bus, g=300",13,1802,PARX_0,PARX,0.0,42.0,210.0
"Practice 30-bus, g=300",13,1802,3127L_0,3127L,653.0,691.55779958,192.7889979
"Practice 30-bus, g=300",13,1802,3127L_0,3127L,751.0,780.78819996,148.94099980000001
"Practice 30-bus, g=300",13,1802,3127L_0,3127L,1285.0,1317.80199928,164.00999639999998
"Practice 30-bus, g=300",14,2186,PARX_0,PARX,0.0,60.0,300.0
"Practice 30-bus, g=300",14,2186,PARX_0,PARX,752.0,801.5865995,247.9329975
"Practice 30-bus, g=300",14,2186,3127L_0,3127L,989.0,1004.77059952,78.85299759999998
"Practice 30-bus, g=300",15,2330,PARX_0,PARX,0.0,60.0,300.0
"Practice 30-bus, g=300",15,2330,7880C_0,7880C,773.0,814.35359944,206.76799719999997
"Practice 30-bus, g=300",15,2330,PARX_0,PARX,1337.0,1353.2411994,81.20599699999998
"Practice 30-bus, g=300",16,2574,PARX_0,PARX,0.0,42.0,210.0
"Practice 30-bus, g=300",16,2574,7880C_0,7880C,699.0,758.26999974,296.34999869999996
"Practice 30-bus, g=300",16,2574,3127L_0,3127L,882.0,894.53859988,62.69299939999999
"Practice 30-bus, g=300",16,2574,7880C_0,7880C,1313.0,1323.967199544,54.83599771999998
"Practice 30-bus, g=300",16,2574,3127L_0,3127L,1405.0,1411.76019988,33.80099940000001
"Practice 30-bus, g=300",17,2626,PARX_0,PARX,0.0,48.0,240.0
"Practice 30-bus, g=300",17,2626,PARX_0,PARX,667.0,723.18759982,280.93799909999996
"Practice 30-bus, g=300",17,2626,3127L_0,3127L,908.0,920.63019974,63.1509987
"Practice 30-bus, g=300",17,2626,3127L_0,3127L,1275.0,1302.69779988,138.4889994
"Practice 30-bus, g=300",18,2949,PARX_0,PARX,0.0,42.0,210.0
"Practice 30-bus, g=300",18,2949,PARX_0,PARX,692.0,749.4469997799999,287.2349989
"Practice 30-bus, g=300",18,2949,JON_A_0,JON_A,884.0,895.3391998,56.695999
"Practice 30-bus, g=300",19,3030,PARX_0,PARX,0.0,54.0,270.0
"Practice 30-bus, g=300",19,3030,7880C_0,7880C,722.0,726.37819972,21.89099859999999
"Practice 30-bus, g=300",19,3030,JON_A_0,JON_A,789.0,843.38819992,271.9409996
"Practice 30-bus, g=300",20,3317,PARX_0,PARX,0.0,42.0,210.0
"Practice 30-bus, g=300",20,3317,7880C_0,7880C,653.0,709.027799332,280.13899666000003
"Practice 30-bus, g=300",20,3317,JON_A_0,JON_A,894.0,912.40859994,92.04299969999997
"Practice 30-bus, g=300",21,3497,PARX_0,PARX,0.0,48.0,240.0
"Practice 30-bus, g=300",21,3497,JON_A_0,JON_A,786.0,845.293199412,296.46599706
"Practice 30-bus, g=300",22,3607,PARX_0,PARX,0.0,42.0,210.0
"Practice 30-bus, g=300",22,3607,PARX_0,PARX,642.0,699.38379982,286.91899909999995
"Practice 30-bus, g=300",22,3607,JON_A_0,JON_A,867.0,888.39059994,106.95299969999999
"Practice 30-bus, g=300",22,3607,7880C_0,7880C,1326.0,1352.984599892,134.92299945999994
"Practice 30-bus, g=300",23,3888,PARX_0,PARX,0.0,36.0,180.0
"Practice 30-bus, g=300",23,3888,7880C_0,7880C,683.0,739.06019962,280.30099809999996
"Practice 30-bus, g=300",23,3888,PARX_0,PARX,1049.0,1049.17499998,0.8749999000000059
"Practice 30-bus, g=300",24,4084,PARX_0,PARX,0.0,42.0,210.0
"Practice 30-bus, g=300",24,4084,JON_A_0,JON_A,745.0,803.46479998,292.3239999
"Practice 30-bus, g=300",25,4613,PARX_0,PARX,0.0,54.0,270.0
"Practice 30-bus, g=300",25,4613,PARX_0,PARX,379.0,380.54880006,7.74400030000001
"Practice 30-bus, g=300",25,4613,3127L_0,3127L,747.0,790.42879986,217.14399930000002
"Practice 43-bus, g=300",0,6,PARX_0,PARX,0.0,60.0,300.0
"Practice 43-bus, g=300",0,6,JON_A_0,JON_A,306.0,312.93319996,34.66599980000001
"Practice 43-bus, g=300",0,6,PARX_0,PARX,512.0,519.246400032,36.23200015999987
"Practice 43-bus, g=300",0,6,JON_A_0,JON_A,614.0,644.203400004,151.01700001999995
"Practice 43-bus, g=300",0,6,JON_A_0,JON_A,944.0,970.480400088,132.40200043999982
"Practice 43-bus, g=300",1,67,PARX_0,PARX,0.0,60.0,300.0
"Practice 43-bus, g=300",1,67,JON_A_0,JON_A,614.0,644.147800028,150.73900013999983
"Practice 43-bus, g=300",1,67,JON_A_0,JON_A,822.0,851.39160004,146.9580001999999
"Practice 43-bus, g=300",2,328,PARX_0,PARX,0.0,48.0,240.0
"Practice 43-bus, g=300",2,328,JON_A_0,JON_A,634.0,662.576400166,142.88200082999998
"Practice 43-bus, g=300",2,328,JON_A_0,JON_A,722.0,743.47000008,107.35000040000001
"Practice 43-bus, g=300",2,328,JON_A_0,JON_A,842.0,868.00060006,130.00300030000002
"Practice 43-bus, g=300",3,466,PARX_0,PARX,0.0,54.0,270.0
"Practice 43-bus, g=300",3,466,JON_A_0,JON_A,594.0,624.198800192,150.99400096000002
"Practice 43-bus, g=300",3,466,JON_A_0,JON_A,766.0,792.39039968,131.95199839999998
"Practice 43-bus, g=300",3,466,7880C_0,7880C,833.0,844.90179996,59.50899979999997
"Practice 43-bus, g=300",3,466,3127L_0,3127L,924.0,936.24099998,61.20499989999999
"Practice 43-bus, g=300",4,647,PARX_0,PARX,0.0,60.0,300.0
"Practice 43-bus, g=300",4,647,JON_A_0,JON_A,454.0,467.66220008,68.31100039999998
"Practice 43-bus, g=300",4,647,JON_A_0,JON_A,514.0,524.52420006,52.62100030000002
"Practice 43-bus, g=300",4,647,7880C_0,7880C,563.0,574.48659992,57.43299959999996
"Practice 43-bus, g=300",4,647,7880C_0,7880C,623.0,629.71539992,33.576999599999965
"Practice 43-bus, g=300",4,647,7880C_0,7880C,743.0,751.72399978,43.619998899999985
"Practice 43-bus, g=300",4,647,7880C_0,7880C,803.0,809.71539992,33.57699960000002
"Practice 43-bus, g=300",4,647,7880C_0,7880C,864.0,870.71539992,33.57699960000002
"Practice 43-bus, g=300",4,647,JON_A_0,JON_A,906.0,911.6019999600001,28.009999800000003
"Practice 43-bus, g=300",4,647,3127L_0,3127L,944.0,956.4816,62.40799999999999
"Practice 43-bus, g=300",4,647,JON_A_0,JON_A,1004.0,1010.44979992,32.24899960000005
"Practice 43-bus, g=300",5,733,PARX_0,PARX,0.0,60.0,300.0
"Practice 43-bus, g=300",5,733,JON_A_0,JON_A,454.0,467.66220008,68.31100039999998
"Practice 43-bus, g=300",5,733,7880C_0,7880C,623.0,633.7261999,53.63099950000003
"Practice 43-bus, g=300",5,733,7880C_0,7880C,803.0,812.4393997,47.19699849999999
"Practice 43-bus, g=300",5,733,JON_A_0,JON_A,854.0,889.33780002,176.68900010000002
"Practice 43-bus, g=300",5,733,JON_A_0,JON_A,976.0,988.17720006,60.88600029999995
"Practice 43-bus, g=300",5,733,JON_A_0,JON_A,1074.0,1086.80299988,64.01499939999997
"Practice 43-bus, g=300",6,782,PARX_0,PARX,0.0,60.0,300.0
"Practice 43-bus, g=300",6,782,3127L_0,3127L,470.0,491.64259998,108.21299989999997
"Practice 43-bus, g=300",6,782,7880C_0,7880C,563.0,574.8579998,59.28999900000002
"Practice 43-bus, g=300",6,782,7880C_0,7880C,803.0,813.15479962,50.77399810000003
"Practice 43-bus, g=300",7,802,PARX_0,PARX,0.0,60.0,300.0
"Practice 43-bus, g=300",7,802,PARX_0,PARX,485.0,505.7929997,103.96499850000006
"Practice 43-bus, g=300",7,802,JON_A_0,JON_A,534.0,542.61580006,43.07900030000002
"Practice 43-bus, g=300",7,802,JON_A_0,JON_A,692.0,700.96299974,44.81499869999996
"Practice 43-bus, g=300",7,802,3127L_0,3127L,964.0,975.88840024,59.44200119999999
"Practice 43-bus, g=300",7,802,3127L_0,3127L,1161.0,1190.21819994,146.0909997
"Practice 43-bus, g=300",7,802,7880C_0,7880C,1282.0,1295.69899978,68.4949989
"Practice 43-bus, g=300",8,1002,PARX_0,PARX,0.0,60.0,300.0
"Practice 43-bus, g=300",8,1002,7880C_0,7880C,352.0,362.17820006,50.89100029999997
"Practice 43-bus, g=300",8,1002,7880C_0,7880C,534.0,542.14619976,40.73099880000001
"Practice 43-bus, g=300",8,1002,7880C_0,7880C,653.0,661.10419998,40.52099989999999
"Practice 43-bus, g=300",8,1002,7880C_0,7880C,713.0,719.71539992,33.57699960000002
