case,target,previous_bounded_fleet,new_full_pool_fleet,fleet_bound,fleet_proven_in_pool,cg_minutes,cg_certified,weighted_lp_objective,cg_iterations,min_reduced_cost,replayed_routes,import_seconds,final_pool_columns,stage1_optimize_seconds,stage2_status,physical_replay,duplicate_removal,shared_capacity,mip_sha256,mip_path,old_mip_sha256,old_mip_path,cg_path,cg_payload_sha256,input_sha256,inherited_source_status_sha256,old_inherited_source_status_sha256,old_weighted_lp_objective,weighted_lp_difference,same_saved_parent_pool,old_fleet_proven_in_pool,old_fleet_bound
w3_k11,11,12,11,11.0,True,15.599344112180795,True,1100375.858688106,208,-3.3642693075819352e-09,35495,144.76491074450314,41079,31.332163333892822,TIME_LIMIT,True,False,False,43d3d0d437bcdca54d567e2c29dbdb12307fc7a0bd3e8f076b4af01b32060c9d,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w3_k11/mip/41606_r0/result.json,6dec136ef8cca302e5fb12b6d5885890ca7f117ab0e00e6ba5bc0446c1ed268d,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w3_k11/mip/949708_r0/result.json,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w3_k11/cg.json,e6f27ace9484740de500c59f59fd46a54289175cc81ae6743166611a40ebeb56,d44ae4a734a62fb603359e97f3d8b187c2cb0bd10c5e00bf20e33f1b321d0dc1,3b9d794ebca3bdae5e7cd9a49ff37729d6195eb7b2cb3ef47c0addaee43af61e,3b9d794ebca3bdae5e7cd9a49ff37729d6195eb7b2cb3ef47c0addaee43af61e,1100375.8586881026,3.4924596548080444e-09,True,False,11.000000000000066
w4_k10,10,11,10,10.0,True,18.834954842956115,True,1000426.2710758079,222,-1.6841346095475274e-09,40954,198.8880043812096,45886,3.790797710418701,TIME_LIMIT,True,False,False,60598fefe6e21f833b1afb38c434916cf86e00ef7802eb8b94c4b4ea7af1516f,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w4_k10/mip/41615_r0/result.json,b24376dcf3deae8463de06e72b9d4e749fd363c643db844a3945016ba262deed,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w4_k10/mip/949718_r0/result.json,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w4_k10/cg.json,9316c2c042fe358de5bb443866bfe7dfa6bc67346d8c3182b550a60e42119e05,c186ded0e8b4d7834e0ba51f7ce14cc525fa7b62d38c255ca1ecd1afca9dbf08,4cb8815524abb8c8bff6a6dbaf78e2ce71f585a769fe32026d7013d8dbd5123f,4cb8815524abb8c8bff6a6dbaf78e2ce71f585a769fe32026d7013d8dbd5123f,1000426.2710758074,4.656612873077393e-10,True,True,11.0
w6_k11,11,11,11,11.0,True,19.30739268857675,True,1100399.028786939,319,-1.497821866536242e-09,33879,150.68548098113388,41681,7.425925016403198,TIME_LIMIT,True,False,False,b21491dbd79a724e3626926e43ced0cf1f2970e4e8276449817c02a9b50451a6,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w6_k11/mip/41635_r0/result.json,ea1cc46f860ff4f0ffb9c0334a5feaf1337093d4e7094e19a3ff5d1cb7dac036,/home/nc437/ladder-lite/overnight_extension_20260912/cases/w6_k11/mip/949740_r0/result.json,/home/nc437/ladder-lite/full_pool_recovery_20260912/cases/w6_k11/cg.json,2d8a76ef32d618b7832df9c7c0dbfa114e0b6143e6e6becb85c0be9fba5b1013,9199478f9fc6d2771233763af0f16d780f629bb72268203b0dabc466be94661f,e234d6a5921c163be8748503ee2ac70412e41eff7e9eaa8c4d63d2d3a831ce7e,e234d6a5921c163be8748503ee2ac70412e41eff7e9eaa8c4d63d2d3a831ce7e,1100399.0287869393,-2.3283064365386963e-10,True,True,11.0
