case_id,chain,target,treatment,validation_only,total_budget_s,fleet_budget_s,input_sha256,execution_commit,new_cg_run,new_pricing_certificate,initialization_policy,known_donor_fleet_upper_bound,donor_bound_is_solver_incumbent,donor_child_cg_minutes,construction_minutes,union_columns,buses,pool_fleet_bound,target_excluded_in_saved_pool,fleet_proved,pool_columns,total_mip_minutes,fleet_search_minutes,charging_status,individual_route_replay,duplicate_removal_validated,shared_capacity_validated,mip_path,mip_sha256,target_matched_by_solver,native_greedy_start,source_status_sha256,source_journal_sha256,unchanged_control_ordered_pool_verified
c1_k15_union,1,15,union,False,12600,10800,00e65586e3f6732d476adb184af9ae1c55f8d160798fbb629e47ebcaf5906390,871d057e1067411f09581e37d78f7c1ca43f68bb,False,False,Frozen native greedy; realized start depends on pool,16,False,316.0464100821254,0.9992398960826298,100861,16,15.00000000000003,False,False,100861,210.23156059777054,180.08802075472195,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/compact_pool_union_20260915/cases/c1_k15_union/mip_result.json,d3880d093edee172bb4aed30a6709348444d29e6055c0fb0000651a96b12d5c9,False,"{""assigned_variable_count"": 100861, ""assignment_complete"": true, ""expected_full_objective"": 11900614.855999999, ""kind"": ""greedy_pool_partition"", ""selected_variable_count"": 119, ""solver_acceptance"": {""accepted"": true, ""messages"": [""Loaded user MIP start with objective 119""], ""rejection_observed"": false, ""status"": ""accepted""}, ""source"": null, ""source_sha256"": null, ""validated"": true, ""validated_bus_count"": 119}",cf2ffc64e9ae2ccce6cc62a29609dba7c6d2ef48a962e7de051331ad97dff2e7,74eba68adf28cb552fd98d1021b16fa6c0309c5889a1b8e4031e9d0b8c4bf33a,
c1_k20_union,1,20,union,False,12600,10800,81dccf8079752af8b04f5044655e4c8c039e43c513493d7a539cdeaec61e32dc,871d057e1067411f09581e37d78f7c1ca43f68bb,False,False,Frozen native greedy; realized start depends on pool,21,False,478.4348608724307,0.5466360144627591,62122,21,21.0,True,True,62122,210.14298219796424,149.74468897638533,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/compact_pool_union_20260915/cases/c1_k20_union/mip_result.json,a084ff0298b7edba57d9c881963669e122550ad12edb45e96f19e219c376fcb4,False,"{""assigned_variable_count"": 62122, ""assignment_complete"": true, ""expected_full_objective"": 21800810.416, ""kind"": ""greedy_pool_partition"", ""selected_variable_count"": 218, ""solver_acceptance"": {""accepted"": true, ""messages"": [""Loaded user MIP start with objective 218""], ""rejection_observed"": false, ""status"": ""accepted""}, ""source"": null, ""source_sha256"": null, ""validated"": true, ""validated_bus_count"": 218}",672f71c87793748bd7d1e2549bbf8dd4ac9e923d3c41c64e3c58d3f6f5284726,73c9ae895cbe9df21afbe1fd677d9d0f631cc41fbb767eed10c4263073b629b5,
c2_k20_union,2,20,union,False,12600,10800,b15f27cbfeac70f414938253ff50484455726983ce86a4adc9369c68edf485e4,871d057e1067411f09581e37d78f7c1ca43f68bb,False,False,Frozen native greedy; realized start depends on pool,21,False,410.45609716610437,0.967886411305517,105042,21,20.000000000000043,False,False,105042,210.12186429840125,180.08636146653444,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/compact_pool_union_20260915/cases/c2_k20_union/mip_result.json,971fb4ba22479511a30fbb1b37afadc67ee3b0738346d1a0911a268404848fdc,False,"{""assigned_variable_count"": 105042, ""assignment_complete"": true, ""expected_full_objective"": 18400777.104, ""kind"": ""greedy_pool_partition"", ""selected_variable_count"": 184, ""solver_acceptance"": {""accepted"": true, ""messages"": [""Loaded user MIP start with objective 184""], ""rejection_observed"": false, ""status"": ""accepted""}, ""source"": null, ""source_sha256"": null, ""validated"": true, ""validated_bus_count"": 184}",307b8b34a16b489a2a3fd4abbced322699075f92ef2d6f86d5ad32f5f82b1507,c6c0e7c399dbe565452cafc67e2f803f5f3682f5d1b273ec27ea6baa8c7cc032,
c2_k20_control,2,20,control,False,12600,10800,b15f27cbfeac70f414938253ff50484455726983ce86a4adc9369c68edf485e4,871d057e1067411f09581e37d78f7c1ca43f68bb,False,False,Frozen native greedy; realized start depends on pool,21,False,410.45609716610437,0.967886411305517,105042,21,20.000000000000078,False,False,54090,210.0903099950791,180.04373288596204,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/compact_pool_union_20260915/cases/c2_k20_control/mip_result.json,684dca8367e6d6a32dea5e9521b6d5d08b1784e292358e64f981cf5c2b1fdf0c,False,"{""assigned_variable_count"": 54090, ""assignment_complete"": true, ""expected_full_objective"": 20200752.552, ""kind"": ""greedy_pool_partition"", ""selected_variable_count"": 202, ""solver_acceptance"": {""accepted"": true, ""messages"": [""Loaded user MIP start with objective 202""], ""rejection_observed"": false, ""status"": ""accepted""}, ""source"": null, ""source_sha256"": null, ""validated"": true, ""validated_bus_count"": 202}",1ddbc14e586ca27e83d8efbc3d66ef5b174d8f94f6c10a7ce979b9e65a8b2e18,a29b436bfe3cac1702100d75a39aaf092b14da3a34dcc916adace12a9f403d6d,True
c2_k25_union,2,25,union,False,12600,10800,6c2b55b601a64a7453c6517bac6b0d7eaf16fd1a79c0d88b4c68194844e40aa3,871d057e1067411f09581e37d78f7c1ca43f68bb,False,False,Frozen native greedy; realized start depends on pool,26,False,478.28822622054724,0.9168784450196351,116470,26,25.0,False,False,116470,210.0963125056005,180.08137608221733,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/compact_pool_union_20260915/cases/c2_k25_union/mip_result.json,2238e34911cca88b0b6a088512ede0027e3c9a8345c980b7f47260eaf4a0ff97,False,"{""assigned_variable_count"": 116470, ""assignment_complete"": true, ""expected_full_objective"": 24400906.632, ""kind"": ""greedy_pool_partition"", ""selected_variable_count"": 244, ""solver_acceptance"": {""accepted"": true, ""messages"": [""Loaded user MIP start with objective 244""], ""rejection_observed"": false, ""status"": ""accepted""}, ""source"": null, ""source_sha256"": null, ""validated"": true, ""validated_bus_count"": 244}",4d8cf69d3929878f099a261665f2ae016dfb5aee0cbf5179bb5bb496cf065923,7b87743efd94d45d35468b4ee2956e219da32089fe69fc62483d990d8bf5566d,
c2_k25_control,2,25,control,False,12600,10800,6c2b55b601a64a7453c6517bac6b0d7eaf16fd1a79c0d88b4c68194844e40aa3,871d057e1067411f09581e37d78f7c1ca43f68bb,False,False,Frozen native greedy; realized start depends on pool,26,False,478.28822622054724,0.9168784450196351,116470,26,25.000000000000057,False,False,59435,210.0865045541005,180.03866378920307,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/compact_pool_union_20260915/cases/c2_k25_control/mip_result.json,c644369938810e725acf331334e40b6a778359dbbe7a0958f8bb811db60b3bbb,False,"{""assigned_variable_count"": 59435, ""assignment_complete"": true, ""expected_full_objective"": 26400853.192, ""kind"": ""greedy_pool_partition"", ""selected_variable_count"": 264, ""solver_acceptance"": {""accepted"": true, ""messages"": [""Loaded user MIP start with objective 264""], ""rejection_observed"": false, ""status"": ""accepted""}, ""source"": null, ""source_sha256"": null, ""validated"": true, ""validated_bus_count"": 264}",0128b19b5f75c6ec4540f44d52c628b2b2b4bf2fb3e66fd9b0f79926def9094a,40b6c216ee2f27a30a877f885311f053f0ad896b7fa26fc48440c86ed0a23e29,True
c3_k20_union,3,20,union,False,12600,10800,d6d00c93ee1322c7c375d15803617696c644e1542e0c5f2b081fcf71a7c1c7bb,871d057e1067411f09581e37d78f7c1ca43f68bb,False,False,Frozen native greedy; realized start depends on pool,23,False,213.40535595163237,0.5767619023642813,86980,23,20.00000000000007,False,False,86980,210.07129178049897,180.05879960953413,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/compact_pool_union_20260915/cases/c3_k20_union/mip_result.json,d7d18d38b7757b18e99b9e3b1ff6ebf26487b212b740a59a5fbd03049e7db878,False,"{""assigned_variable_count"": 86980, ""assignment_complete"": true, ""expected_full_objective"": 21200558.16, ""kind"": ""greedy_pool_partition"", ""selected_variable_count"": 212, ""solver_acceptance"": {""accepted"": true, ""messages"": [""Loaded user MIP start with objective 212""], ""rejection_observed"": false, ""status"": ""accepted""}, ""source"": null, ""source_sha256"": null, ""validated"": true, ""validated_bus_count"": 212}",826acebcb57a03bd697ea3192ba95708d90b6b61efe38a08a8c8da0327f84b78,3e17c4293bf90312419d04d41ab6ceb2945c10dc9375a12fe0ac04b5fb7d7259,
c3_k20_control,3,20,control,False,12600,10800,d6d00c93ee1322c7c375d15803617696c644e1542e0c5f2b081fcf71a7c1c7bb,871d057e1067411f09581e37d78f7c1ca43f68bb,False,False,Frozen native greedy; realized start depends on pool,23,False,213.40535595163237,0.5767619023642813,86980,23,20.000000000000043,False,False,42569,210.06191661518145,180.03013926871353,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/compact_pool_union_20260915/cases/c3_k20_control/mip_result.json,267f8632df38c7c763b8ad4f3c5427e729b4db04b9b78facff76c53f61523fbb,False,"{""assigned_variable_count"": 42569, ""assignment_complete"": true, ""expected_full_objective"": 20000596.144, ""kind"": ""greedy_pool_partition"", ""selected_variable_count"": 200, ""solver_acceptance"": {""accepted"": true, ""messages"": [""Loaded user MIP start with objective 200""], ""rejection_observed"": false, ""status"": ""accepted""}, ""source"": null, ""source_sha256"": null, ""validated"": true, ""validated_bus_count"": 200}",4e4f288997551533b31b593c69a02a649077ad06bfbff57e8714f02c14b8bee1,68ebd86ad7673914a76a12e1ecabe147bf6c83873a38fa345ac247f8fe479756,True
c4_k25_union,4,25,union,False,12600,10800,86894981fc7618414b4c5683c87e18198b0c6d40561ab55af72b2044458a6e07,871d057e1067411f09581e37d78f7c1ca43f68bb,False,False,Frozen native greedy; realized start depends on pool,26,False,478.25394628598974,0.8155918648156028,100510,26,25.00000000000247,False,False,100510,210.1339809486138,180.07658959046628,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/compact_pool_union_20260915/cases/c4_k25_union/mip_result.json,e8163eef613782b09e0e44fdda4bcfba8c7b79e48f1971f07943585f06bd8007,False,"{""assigned_variable_count"": 100510, ""assignment_complete"": true, ""expected_full_objective"": 31100776.864, ""kind"": ""greedy_pool_partition"", ""selected_variable_count"": 311, ""solver_acceptance"": {""accepted"": true, ""messages"": [""Loaded user MIP start with objective 311""], ""rejection_observed"": false, ""status"": ""accepted""}, ""source"": null, ""source_sha256"": null, ""validated"": true, ""validated_bus_count"": 311}",eb89babc16c88c8b0efacaa57e3ef6ddef27ebacbb6285b0b50dde28b19c84d2,db66a8825fcf76f5463d56a4243f4037a3c66a5c755b244025a19265021f2c5c,
c5_k20_union,5,20,union,False,12600,10800,bb72c5c500fc9fbe0d14bcb3d7ac5f49956c5b8cd630955ac3da99c23c4db779,871d057e1067411f09581e37d78f7c1ca43f68bb,False,False,Frozen native greedy; realized start depends on pool,21,False,478.12210532755904,0.8626652021038657,144659,21,20.000000000000107,False,False,144659,210.07851070161755,180.1343662255366,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/compact_pool_union_20260915/cases/c5_k20_union/mip_result.json,0eaa064190b2809e51d0a1a9b8d4ca289cf43a51bf1d1b6731435baf9ca81b04,False,"{""assigned_variable_count"": 144659, ""assignment_complete"": true, ""expected_full_objective"": 21400602.432, ""kind"": ""greedy_pool_partition"", ""selected_variable_count"": 214, ""solver_acceptance"": {""accepted"": true, ""messages"": [""Loaded user MIP start with objective 214""], ""rejection_observed"": false, ""status"": ""accepted""}, ""source"": null, ""source_sha256"": null, ""validated"": true, ""validated_bus_count"": 214}",5f1509323e5d049cd6c900ddfd10d3fbe94fade6bc3cde90e88721258b4786a6,80acbd277ed046ea1221af211eea60cc8d4e604c4e8ba08300c12a45395e2e3b,
c5_k20_control,5,20,control,False,12600,10800,bb72c5c500fc9fbe0d14bcb3d7ac5f49956c5b8cd630955ac3da99c23c4db779,871d057e1067411f09581e37d78f7c1ca43f68bb,False,False,Frozen native greedy; realized start depends on pool,21,False,478.12210532755904,0.8626652021038657,144659,21,20.000000000000057,False,False,72790,210.0758799458466,180.0487221486168,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/compact_pool_union_20260915/cases/c5_k20_control/mip_result.json,a9623aa291e93a2f7685b387ce7dadbf7428d5a0ebe178f972b9a5228b060e32,False,"{""assigned_variable_count"": 72790, ""assignment_complete"": true, ""expected_full_objective"": 21200575.608, ""kind"": ""greedy_pool_partition"", ""selected_variable_count"": 212, ""solver_acceptance"": {""accepted"": true, ""messages"": [""Loaded user MIP start with objective 212""], ""rejection_observed"": false, ""status"": ""accepted""}, ""source"": null, ""source_sha256"": null, ""validated"": true, ""validated_bus_count"": 212}",572f50624bffb8f4c8eb54cc61e52fd03905ca7d8f2dfa6b2e0677ed37683345,5a08696558b3e92b3b0573d577f47fd17d469b98271171fb733294f58faa2a2f,True
c5_k25_union,5,25,union,False,12600,10800,c16a85cdc05d7cbf0ecd4ac0de2e295d9cddf3800b961cb9f3e1e4fca446a908,871d057e1067411f09581e37d78f7c1ca43f68bb,False,False,Frozen native greedy; realized start depends on pool,26,False,478.4374415611072,0.6038752956859147,97881,26,25.000000000000018,False,False,97881,210.1249162566848,180.07470920028476,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/compact_pool_union_20260915/cases/c5_k25_union/mip_result.json,54b57b3c0844c8798b0060d11e846f22944a8f1cbf426804237a7af466508d8a,False,"{""assigned_variable_count"": 97881, ""assignment_complete"": true, ""expected_full_objective"": 34400574.12, ""kind"": ""greedy_pool_partition"", ""selected_variable_count"": 344, ""solver_acceptance"": {""accepted"": true, ""messages"": [""Loaded user MIP start with objective 344""], ""rejection_observed"": false, ""status"": ""accepted""}, ""source"": null, ""source_sha256"": null, ""validated"": true, ""validated_bus_count"": 344}",47b488e817dc0a971507076f4ad2a43c5dd1210d677059c4e13a047502acbede,44181c29003ba07793606855e103f2f310752c3ff98690e8e88701485b7fc715,
