run_id,instance_family,scale,target_fleet,trip_count,instance_sha256,trip_set_sha256,tariff_sha256,algorithm_family,implementation,method,master_sense,initialization,treatment,replicate,seed,elapsed_s,iteration,restricted_master_route_weight,artificial_mass,certified_lp_bound,certified_lp_bound_scope,target_gap,normalized_target_gap,target_gap_basis,best_reduced_cost,pricing_certified,mip_incumbent_fleet,mip_finite_pool_bound,mip_finite_pool_gap,mip_fleet_proven,mip_partitioning,mip_proof_scope,physical_validation_status,stopping_reason,censored,censoring_reason,source_artifact_ids
legacy-dp-10b-rnd001,first_n_stress,10,,,,,,heuristic_dp_historical,legacy_dp,legacy_dp,,,,RND001,,170181.926531315,565,,,,,,,,-1.85167999206176,,,,,,,,not_an_integer_schedule,,,,legacy-pricing-10b-rnd001
legacy-dp-10b-rnd002,first_n_stress,10,,,,,,heuristic_dp_historical,legacy_dp,legacy_dp,,,,RND002,,127549.6702106,529,,,,,,,,-2.48913115297827,,,,,,,,not_an_integer_schedule,,,,legacy-pricing-10b-rnd002
legacy-dp-20bus-200cols,legacy_first_n_stress,20,,,,,,heuristic_dp_historical,legacy_dp,legacy_dp,,,,legacy-20,,43151.90507555008,187,,,,,,,,-140913.18739992025,,,,,,,,not_an_integer_schedule,,,,legacy-pricing-20bus
legacy-dp-30bus-200cols,legacy_first_n_stress,30,,,,,,heuristic_dp_historical,legacy_dp,legacy_dp,,,,legacy-30,,6983.3054366111755,33,,,,,,,,-794531.5262469478,,,,,,,,not_an_integer_schedule,,,,legacy-pricing-30bus
legacy-dp-43bus-200cols,legacy_first_n_stress,43,,,,,,heuristic_dp_historical,legacy_dp,legacy_dp,,,,legacy-43,,5590.786427497864,19,,,,,,,,-1800498.8062003718,,,,,,,,not_an_integer_schedule,,,,legacy-pricing-43bus
