cohort,lp_weight_group,cases,selected_routes,mean_case_jaccard,median_case_jaccard,min_case_jaccard,max_case_jaccard,mean_route_jaccard,median_route_jaccard,exact_giro_tripsets,routes_at_least_09,routes_at_least_08,mean_distinct_duties_per_route
original_1h,LP_weight_k,93,2228,0.6444731992871647,0.6485457573247725,0.4017536872597912,0.7869016577393277,0.6488724371556933,0.7272727272727273,256,715,991,3.592908438061041
original_1h,LP_weight_k_minus_1,9,321,0.4618183090635266,0.4798050507628304,0.28087771363019903,0.6617753827499081,0.45698919776443225,0.32857142857142857,13,51,69,5.934579439252336
longer_3h_fleet,LP_weight_k,17,503,0.6516377689720174,0.6492426169387066,0.5249000556546827,0.7959456008699657,0.6537915152518955,0.7272727272727273,60,161,213,3.6998011928429424
longer_3h_fleet,LP_weight_k_minus_1,9,289,0.5449699895829332,0.5393586874500125,0.3571138537313757,0.7269934928696863,0.5401589551192759,0.5517241379310345,29,64,84,5.2145328719723185
