campaign,k,chain,fleet,pool_bound,fleet_proven,cg_minutes,mip_seconds,overcovered_trips,selected_physical_replay,duplicate_removal_validated,shared_capacity_validated,scope,source_path,sha256
covering_rerun9,8,1,9,9.0,True,81.52594235868115,3602.89286695607,40,True,False,False,fleet_only,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k08_p1__cover__event_2p5_event5__1h2stage.json,9fdbbfde4d49cc1b5aa8876b42c54e8ee8907964d52997dfa7f584f87afc2ad9
covering_rerun9,8,3,9,9.0,True,22.210948980556957,3600.6073105118703,25,True,False,False,fleet_only,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k08_p3__cover__event_2p5_event5__1h2stage.json,d3931df7d56dafa3c7a40e322af0665578523a4ee5aee74d5ee1fe41ee4515c2
covering_rerun9,8,5,9,9.0,True,41.65892143282884,3600.797697380185,16,True,False,False,fleet_only,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k08_p5__cover__event_2p5_event5__1h2stage.json,b49e40ca566d69f84c9ff6c645015b3c8eb95ac467c0b6c65bf154565e795fb9
covering_rerun9,10,1,11,11.0,True,127.23875132616764,3603.1702974149957,30,True,False,False,fleet_only,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k10_p1__cover__event_2p5_event5__1h2stage.json,7b8c024c2efa5bc4df991f95650435a6f4ffbd1bc7afeccf349ad935bd2606ae
covering_rerun9,10,3,11,10.000000000000009,False,48.938516747318985,3600.9968587330077,58,True,False,False,none,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k10_p3__cover__event_2p5_event5__1h2stage.json,58ae7a287860f14ee523de52086c3cc011e904aecbade026851d024fd44d65d6
covering_rerun9,10,5,11,11.0,True,64.40960135025283,3600.8171324499417,46,True,False,False,fleet_only,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k10_p5__cover__event_2p5_event5__1h2stage.json,2a7c0710421025867b9e8871081effdc601f79d77cfef4626665561aef46acf6
warm_multichain_p1246,2,1,2,2.0,True,3.734621155774221,1.8194828610867262,1,True,False,False,full_pool_lexicographic,/home/nc437/ladder-lite/nested_warm_multichain_p1246_k2_10_20260910_ecb60c1/p1/mip/M__k02_p1__warm_cover__event_2p5_event5__1h2stage.json,8382f6d358f50f78d6206e4c2a85c8b915049e53ab4324d4703da0467f5758c0
warm_multichain_p1246,3,1,3,3.0,True,48.30929988574547,2.6665697519201785,0,True,True,False,full_pool_lexicographic,/home/nc437/ladder-lite/nested_warm_multichain_p1246_k2_10_20260910_ecb60c1/p1/mip/M__k03_p1__warm_cover__event_2p5_event5__1h2stage.json,2ba73cb854345f0e2be4b10675c0d5f1adf88f1f349eba45206a2cdbd05fa86b
warm_multichain_p1246,2,2,2,2.0,True,0.05421556012006477,0.13547463901340961,0,True,True,False,full_pool_lexicographic,/home/nc437/ladder-lite/nested_warm_multichain_p1246_k2_10_20260910_ecb60c1/p2/mip/M__k02_p2__warm_cover__event_2p5_event5__1h2stage.json,9287bcc1dec0f7253a0a897ab8a2752b3345b69406d90ebee0ba8f1ef703d913
warm_multichain_p1246,3,2,3,3.0,True,2.102028190984856,0.6925717419944704,1,True,False,False,full_pool_lexicographic,/home/nc437/ladder-lite/nested_warm_multichain_p1246_k2_10_20260910_ecb60c1/p2/mip/M__k03_p2__warm_cover__event_2p5_event5__1h2stage.json,8c66a712caa91d5e9e39d0d2f5e1ab450e030ddf1f718f5c899a7f61bca02baa
warm_multichain_p1246,4,2,4,4.0,True,3.5028239829077696,0.5128320900257677,0,True,True,False,full_pool_lexicographic,/home/nc437/ladder-lite/nested_warm_multichain_p1246_k2_10_20260910_ecb60c1/p2/mip/M__k04_p2__warm_cover__event_2p5_event5__1h2stage.json,f2a87050e9949db1b67adee812b058d3f31ddfcf8ab255f8cc477c7b05ce47f0
warm_multichain_p1246,5,2,5,5.0,True,28.476077108465446,24.809454981936142,14,True,False,False,full_pool_lexicographic,/home/nc437/ladder-lite/nested_warm_multichain_p1246_k2_10_20260910_ecb60c1/p2/mip/M__k05_p2__warm_cover__event_2p5_event5__1h2stage.json,75494ba42ddae48df42dffc74ff0b4d8042e824f83241b20084c407ffb3b6bfa
warm_multichain_p1246,2,4,2,2.0,True,0.33825456101913004,0.21283622295595706,0,True,True,False,full_pool_lexicographic,/home/nc437/ladder-lite/nested_warm_multichain_p1246_k2_10_20260910_ecb60c1/p4/mip/M__k02_p4__warm_cover__event_2p5_event5__1h2stage.json,b44bd87b99ecf3f0ca831fa965fb1d33be5952d0fd2fe26fba1c9a9b4ce36dec
warm_multichain_p1246,3,4,3,3.0,True,2.87453854312577,0.1867914549075067,0,True,True,False,full_pool_lexicographic,/home/nc437/ladder-lite/nested_warm_multichain_p1246_k2_10_20260910_ecb60c1/p4/mip/M__k03_p4__warm_cover__event_2p5_event5__1h2stage.json,3be5cadd6798c155ad0b81a9d966ffa982dd1ade25f28def6879ec12504180a2
warm_multichain_p1246,4,4,4,4.0,True,2.093985022457006,0.669855928979814,1,True,False,False,full_pool_lexicographic,/home/nc437/ladder-lite/nested_warm_multichain_p1246_k2_10_20260910_ecb60c1/p4/mip/M__k04_p4__warm_cover__event_2p5_event5__1h2stage.json,620b23a7178e8e843990d993b7d2ece229b74aefd34f189a19f16ce99ff7181c
warm_multichain_p1246,5,4,5,5.0,True,14.85151981706731,8.701056932797655,4,True,False,False,full_pool_lexicographic,/home/nc437/ladder-lite/nested_warm_multichain_p1246_k2_10_20260910_ecb60c1/p4/mip/M__k05_p4__warm_cover__event_2p5_event5__1h2stage.json,9c943fb6bd48e4b6dbc06177e5f8a251141b0a8396b5083482f5adf498cb4585
warm_multichain_p1246,2,6,2,2.0,True,0.152691279258579,0.1415226310491562,0,True,True,False,full_pool_lexicographic,/home/nc437/ladder-lite/nested_warm_multichain_p1246_k2_10_20260910_ecb60c1/p6/mip/M__k02_p6__warm_cover__event_2p5_event5__1h2stage.json,905b4444a9318c2be251c486fcd2333bef81d139e434feeedf1a5889aba025b1
warm_multichain_p1246,3,6,3,3.0,True,0.9537195967626758,0.18272456107661128,0,True,True,False,full_pool_lexicographic,/home/nc437/ladder-lite/nested_warm_multichain_p1246_k2_10_20260910_ecb60c1/p6/mip/M__k03_p6__warm_cover__event_2p5_event5__1h2stage.json,cb61297ca0a450c988cbdd7cd0c15e2c2039bacc5573cab5b94f54a65e7cec59
warm_multichain_p1246,4,6,4,4.0,True,2.443144259167214,0.3493006608914584,0,True,True,False,full_pool_lexicographic,/home/nc437/ladder-lite/nested_warm_multichain_p1246_k2_10_20260910_ecb60c1/p6/mip/M__k04_p6__warm_cover__event_2p5_event5__1h2stage.json,8dca9f834b67071d9948454e60c5102227ab491332698fc171f2172c455a82ef
warm_multichain_p1246,5,6,5,5.0,True,11.450698492691542,0.8457632218487561,0,True,True,False,full_pool_lexicographic,/home/nc437/ladder-lite/nested_warm_multichain_p1246_k2_10_20260910_ecb60c1/p6/mip/M__k05_p6__warm_cover__event_2p5_event5__1h2stage.json,fe3c703ecedde3325075f9a9e7d31c9421d017b22701fc22afdcf674a903cc48
warm_multichain_p1246,6,6,6,6.0,True,23.65747802486876,2.7798992849420756,0,True,True,False,full_pool_lexicographic,/home/nc437/ladder-lite/nested_warm_multichain_p1246_k2_10_20260910_ecb60c1/p6/mip/M__k06_p6__warm_cover__event_2p5_event5__1h2stage.json,12007b783840f23961d17a1eb4ae393f76e810aa6116fe95737d74e36191b40e
