route_index,station,start_min,end_min
35,4808,319,325
35,4808,455,462
35,4808,597,604
35,4808,727,734
35,4808,859,866
35,4808,992,998
35,4808,1128,1136
35,2190L,376,398
35,2190L,522,539
35,2190L,659,669
35,2190L,789,800
35,2190L,922,929
35,2190L,1057,1071
35,2190L,1189,1235
36,4808,319,325
36,4808,455,462
36,4808,597,604
36,4808,727,734
36,4808,859,866
36,4808,992,998
36,4808,1128,1136
36,2190L,376,398
36,2190L,522,539
36,2190L,659,669
36,2190L,789,800
36,2190L,922,929
36,2190L,1057,1071
36,2190L,1189,1222
37,4808,319,325
37,4808,455,462
37,4808,597,604
37,4808,727,734
37,4808,859,866
37,4808,992,998
37,2190L,376,398
37,2190L,522,539
37,2190L,659,669
37,2190L,789,800
37,2190L,922,929
37,2190L,1057,1071
38,4808,319,325
38,4808,455,462
38,4808,597,604
38,4808,727,734
38,4808,859,866
38,4808,992,998
38,4808,1128,1136
38,2190L,376,398
38,2190L,522,539
38,2190L,659,669
38,2190L,789,800
38,2190L,922,929
38,2190L,1057,1071
39,2190L,387,408
39,2190L,532,580
39,2190L,699,709
39,2190L,830,840
39,2190L,964,978
39,2190L,1189,1235
39,4808,465,472
39,4808,637,644
39,4808,767,774
39,4808,899,906
39,4808,1041,1047
39,4808,1124,1136
40,2190L,387,408
40,2190L,532,559
40,2190L,699,709
40,2190L,830,840
40,2190L,964,978
40,2190L,1189,1225
40,4808,465,472
40,4808,637,644
40,4808,767,774
40,4808,899,906
40,4808,1041,1047
40,4808,1124,1136
41,4808,319,325
41,4808,455,472
41,4808,597,604
41,4808,727,734
41,4808,859,866
41,4808,944,947
41,4808,1080,1087
41,2190L,376,398
41,2190L,659,669
41,2190L,789,800
41,2190L,1006,1020
42,4808,319,325
42,4808,455,472
42,4808,597,604
42,4808,727,734
42,4808,859,866
42,4808,944,947
42,4808,1080,1087
42,2190L,376,398
42,2190L,532,539
42,2190L,659,669
42,2190L,789,800
42,2190L,1006,1020
43,4808,319,336
43,4808,455,462
43,4808,597,604
43,4808,727,734
43,4808,899,906
43,4808,1041,1047
43,2190L,522,539
43,2190L,659,669
43,2190L,789,840
43,2190L,964,978
44,4808,319,336
44,4808,455,462
44,4808,597,604
44,4808,727,734
44,4808,899,906
44,4808,1041,1047
44,2190L,387,398
44,2190L,522,539
44,2190L,659,669
44,2190L,789,821
44,2190L,964,978
45,4808,319,325
45,4808,398,411
45,4808,539,546
45,4808,697,704
45,4808,859,866
45,4808,992,998
45,4808,1128,1136
45,2190L,469,480
45,2190L,602,640
45,2190L,759,800
45,2190L,922,929
45,2190L,1057,1071
45,2190L,1189,1235
46,4808,319,325
46,4808,398,411
46,4808,539,546
46,4808,697,704
46,4808,859,866
46,4808,992,998
46,4808,1128,1136
46,2190L,469,480
46,2190L,602,636
46,2190L,759,785
46,2190L,922,929
46,2190L,1057,1071
46,2190L,1189,1220
47,4808,455,462
47,4808,597,604
47,4808,727,734
47,4808,859,866
47,4808,992,998
47,2190L,522,539
47,2190L,659,669
47,2190L,789,800
47,2190L,922,929
47,2190L,1057,1071
48,2190L,387,398
48,2190L,522,539
48,2190L,659,669
48,2190L,789,800
48,2190L,922,929
48,2190L,1057,1071
48,4808,455,462
48,4808,597,604
48,4808,727,734
48,4808,859,866
48,4808,992,998
49,4808,455,462
49,4808,597,604
49,4808,727,734
49,4808,899,906
49,4808,1041,1047
49,2190L,659,669
49,2190L,789,840
49,2190L,964,978
50,2190L,376,398
50,2190L,522,539
50,2190L,659,669
50,2190L,789,820
50,2190L,964,978
50,4808,455,462
50,4808,597,604
50,4808,727,734
50,4808,899,906
50,4808,1041,1047
51,4808,319,336
51,4808,539,546
51,4808,624,644
51,4808,767,774
51,4808,940,947
51,4808,1080,1087
51,2190L,469,480
51,2190L,699,709
51,2190L,830,878
51,2190L,1006,1020
52,4808,319,336
52,4808,539,546
52,4808,624,644
52,4808,767,774
52,4808,940,947
52,4808,1080,1087
52,2190L,469,480
52,2190L,699,709
52,2190L,830,866
52,2190L,1006,1020
53,2190L,341,408
53,2190L,699,709
53,2190L,1006,1020
53,4808,465,472
53,4808,637,644
53,4808,767,774
53,4808,899,947
53,4808,1080,1087
54,2190L,341,376
54,2190L,532,558
54,2190L,699,709
54,2190L,830,840
54,2190L,1006,1020
54,4808,465,472
54,4808,637,644
54,4808,767,774
54,4808,899,929
54,4808,1080,1087
55,2190L,341,398
55,2190L,619,640
55,2190L,1006,1020
55,2190L,1141,1235
55,4808,455,472
55,4808,697,704
55,4808,781,856
55,4808,940,947
55,4808,1080,1087
56,2190L,341,376
56,2190L,532,539
56,2190L,619,640
56,2190L,759,789
56,2190L,1006,1020
56,2190L,1141,1170
56,4808,455,472
56,4808,697,704
56,4808,940,947
56,4808,1080,1087
57,2190L,341,408
57,2190L,659,669
57,2190L,789,800
57,2190L,964,978
57,4808,465,472
57,4808,554,604
57,4808,727,734
57,4808,1041,1047
58,2190L,341,376
58,2190L,659,669
58,2190L,789,800
58,2190L,964,978
58,4808,465,472
58,4808,554,588
58,4808,727,734
58,4808,859,888
58,4808,1041,1047
59,2190L,341,408
59,2190L,1006,1020
59,4808,637,704
59,4808,940,947
59,4808,1080,1087
60,2190L,341,376
60,2190L,487,516
60,2190L,759,779
60,2190L,1006,1020
60,4808,637,657
60,4808,940,947
60,4808,1080,1087
61,2190L,387,408
61,2190L,532,580
61,2190L,699,709
61,2190L,830,878
61,2190L,1006,1020
61,4808,767,774
61,4808,940,947
61,4808,1080,1087
62,2190L,387,408
62,2190L,532,559
62,2190L,699,709
62,2190L,830,861
62,2190L,1006,1020
62,4808,465,472
62,4808,637,644
62,4808,767,774
62,4808,940,947
62,4808,1080,1087
63,4808,455,462
63,4808,767,774
63,4808,1041,1047
63,4808,1124,1136
63,2190L,699,709
63,2190L,964,978
64,4808,455,462
64,4808,597,623
64,4808,767,774
64,4808,852,889
64,4808,1041,1047
64,4808,1124,1136
64,2190L,522,539
64,2190L,699,709
64,2190L,964,978
65,2190L,469,480
65,2190L,561,580
65,4808,637,644
66,2190L,469,480
66,2190L,561,580
66,2190L,699,734
66,4808,637,644
67,4808,319,411
67,4808,491,546
67,4808,940,947
67,2190L,602,640
67,2190L,1006,1071
67,2190L,1150,1235
68,4808,319,346
68,4808,491,520
68,4808,940,947
68,2190L,602,622
68,2190L,719,748
68,2190L,1006,1032
68,2190L,1150,1179
69,2190L,602,640
69,2190L,1141,1235
69,4808,940,998
69,4808,1080,1087
70,4808,455,462
70,4808,1080,1087
70,2190L,602,640
70,2190L,719,751
70,2190L,962,991
