schedule_id,pair_id,arm,original_duty,source_index,from_visit,to_visit,event_index,kind,source_trip_id,internal_trip_id,from_code,to_code,start_min,end_min,duration_min,energy_consumed_kwh
duty_13401_original,duty_13401,original,13401,,0,1,1,deadhead,,,PARX,2190,248.0,267.0,19.0,28.0
duty_13401_original,duty_13401,original,13401,,1,2,2,service,0,0,2190,4808,267.0,319.0,52.0,41.7299995
duty_13401_original,duty_13401,original,13401,,2,3,4,service,6,3,4808,2190,325.0,376.0,51.0,42.5
duty_13401_original,duty_13401,original,13401,,3,4,5,deadhead,,,2190,ET_R,376.0,377.0,1.0,0.200000003
duty_13401_original,duty_13401,original,13401,,4,5,7,deadhead,,,ET_R,2190,407.0,408.0,1.0,0.200000003
duty_13401_original,duty_13401,original,13401,,5,6,8,service,22,8,2190,4808,408.0,465.0,57.0,41.7299995
duty_13401_original,duty_13401,original,13401,,6,7,10,service,35,13,4808,2190,472.0,532.0,60.0,42.5
duty_13401_original,duty_13401,original,13401,,7,8,11,deadhead,,,2190,ET_R,532.0,533.0,1.0,0.200000003
duty_13401_original,duty_13401,original,13401,,8,9,13,deadhead,,,ET_R,2190,573.0,574.0,1.0,0.200000003
duty_13401_original,duty_13401,original,13401,,9,10,14,deadhead,,,2190,2190L,574.0,575.0,1.0,0.400000006
duty_13401_original,duty_13401,original,13401,,10,11,16,deadhead,,,2190L,2190,580.0,580.0,0.0,0.0
duty_13401_original,duty_13401,original,13401,,11,12,17,service,56,20,2190,4808,580.0,637.0,57.0,41.7299995
duty_13401_original,duty_13401,original,13401,,12,13,19,service,69,25,4808,2190,644.0,699.0,55.0,42.5
duty_13401_original,duty_13401,original,13401,,13,14,20,deadhead,,,2190,2190L,699.0,700.0,1.0,0.400000006
duty_13401_original,duty_13401,original,13401,,14,15,22,deadhead,,,2190L,2190,709.0,709.0,0.0,0.0
duty_13401_original,duty_13401,original,13401,,15,16,23,service,82,30,2190,4808,709.0,767.0,58.0,41.7299995
duty_13401_original,duty_13401,original,13401,,16,17,25,service,95,34,4808,2190,774.0,830.0,56.0,42.5
duty_13401_original,duty_13401,original,13401,,17,18,26,deadhead,,,2190,ET_R,830.0,831.0,1.0,0.200000003
duty_13401_original,duty_13401,original,13401,,18,19,28,deadhead,,,ET_R,2190L,871.0,872.0,1.0,0.200000003
duty_13401_original,duty_13401,original,13401,,19,20,30,deadhead,,,2190L,2190,878.0,878.0,0.0,0.0
duty_13401_original,duty_13401,original,13401,,20,21,31,service,116,41,2190,4808,878.0,940.0,62.0,41.7299995
duty_13401_original,duty_13401,original,13401,,21,22,33,service,129,46,4808,2190,947.0,1006.0,59.0,42.5
duty_13401_original,duty_13401,original,13401,,22,23,35,deadhead,,,2190,2190L,1008.0,1009.0,1.0,0.400000006
duty_13401_original,duty_13401,original,13401,,23,24,37,deadhead,,,2190L,2190,1020.0,1020.0,0.0,0.0
