case_id,trip_count,station_count,route_count,lp_agrees,integer_agrees,agreement,cg_pool_columns,bnp_nodes,arc_variables,wall_s
random_0095,10,1,152,True,True,True,60,7,963,0.11984248400403885
random_0096,12,1,1454,True,False,False,125,18,2015,0.735930955997901
random_0097,12,1,564,True,True,True,105,6,1267,0.38732709400210297
random_0098,8,2,51,True,True,True,19,1,674,0.04341844400187256
random_0099,12,1,332,True,True,True,84,1,1272,0.13793491900287336
random_0100,11,1,929,True,True,True,138,4,1741,0.3981897959965863
random_0101,9,2,103,True,True,True,21,1,1558,0.19276950399944326
random_0102,11,1,71,True,True,True,34,1,606,0.03471370400075102
random_0103,10,1,751,True,True,True,30,1,1923,0.21192630999576068
random_0104,8,2,62,True,True,True,32,1,798,0.04751385800045682
random_0105,12,1,292,True,True,True,79,1,1057,0.1064133369945921
random_0106,14,2,12967,True,False,False,66,2,5429,1.7961111059994437
random_0107,13,1,235,True,True,True,88,6,1606,0.13800360699679004
random_0108,11,1,258,True,True,True,47,1,886,0.08769692599889822
random_0109,13,1,1505,True,False,False,129,3,1795,0.304884787001356
random_0110,11,2,1469,True,True,True,123,7,2581,0.5492403420066694
random_0111,14,2,5505,True,True,True,236,5,5679,1.3031012540013762
random_0112,12,2,574,True,True,True,122,3,2594,0.3664117599983001
random_0113,13,1,5255,True,True,True,132,3,2894,0.6421009699988645
random_0114,12,2,1314,True,True,True,129,7,3246,0.8205907920055324
random_0115,11,1,131,True,True,True,62,1,954,0.08441320699785138
random_0116,12,2,1375,True,True,True,41,1,2613,0.33374007800011896
random_0117,13,1,3748,True,True,True,150,7,2158,0.5672117819995037
random_0118,8,2,105,True,True,True,31,1,1124,0.12165986999752931
random_0119,10,1,340,True,True,True,37,4,1463,0.2649379600043176
random_0120,9,1,65,True,True,True,28,1,429,0.02585184599593049
random_0121,8,1,57,True,True,True,35,3,417,0.033611512000788935
random_0122,14,2,5661,True,True,True,173,13,3890,1.400052771998162
random_0123,11,1,767,True,True,True,126,4,1553,0.3190167959983228
random_0124,8,1,196,True,True,True,61,5,1082,0.25120397100545233
random_0125,13,1,113,True,True,True,51,1,989,0.06423444399842992
random_0126,13,2,2407,True,False,False,110,4,4236,1.289187738999317
random_0127,12,2,1001,True,True,True,104,8,3564,0.9528208069968969
random_0128,12,2,597,True,True,True,55,5,2414,0.2908862809999846
random_0129,11,1,1121,True,True,True,134,2,1838,0.5005128210032126
random_0130,10,1,593,True,True,True,71,7,1906,0.5538287750023301
random_0131,8,2,230,True,True,True,24,1,1475,0.20083550999697763
random_0132,8,1,117,True,True,True,52,4,897,0.1050489449989982
random_0133,12,1,2505,True,True,True,69,1,1957,0.26695090899738716
random_0134,13,1,1148,True,True,True,72,3,1698,0.2239626760056126
random_0135,10,1,276,True,True,True,80,3,1245,0.2398729100023047
random_0136,10,1,139,True,True,True,71,2,516,0.06607760299812071
random_0137,11,2,1239,True,False,False,77,4,3381,0.42790558299748227
random_0138,10,1,138,True,True,True,30,1,865,0.05880185500427615
random_0139,9,2,306,True,False,False,42,3,2044,0.26081369599705795
random_0140,10,2,937,True,True,True,77,8,3075,0.5936597939944477
random_0141,8,2,205,True,True,True,54,3,1296,0.24668308700347552
random_0142,12,2,399,True,True,True,92,5,1956,0.30742032999842195
random_0143,10,2,183,True,True,True,53,3,1241,0.1283121860033134
random_0144,14,2,4228,True,True,True,215,4,2837,0.8371549189978396
random_0145,14,1,8303,True,False,False,287,8,3642,1.4357710380063509
random_0146,8,1,82,True,True,True,43,1,562,0.04584451499977149
random_0147,10,2,439,True,True,True,70,3,1896,0.42284006199770374
random_0148,12,2,3152,True,False,False,170,8,4493,0.8428741829993669
random_0149,8,2,51,True,True,True,22,1,723,0.03420528299466241
random_0150,12,2,428,True,True,True,69,5,2040,0.3871782069982146
random_0151,10,1,43,True,True,True,27,3,229,0.02946745000372175
random_0152,8,1,102,True,True,True,39,3,719,0.09203722100210143
random_0153,9,1,388,True,True,True,60,5,1307,0.3721144570008619
random_0154,12,2,2292,True,True,True,46,2,4283,0.5440782219957327
random_0155,9,2,372,True,True,True,73,5,1899,0.3120936509949388
random_0156,11,1,757,True,True,True,51,1,1085,0.08997664100024849
random_0157,11,2,550,True,True,True,41,1,2713,0.425637224005186
random_0158,9,1,38,True,True,True,29,1,801,0.05828337199636735
random_0159,9,2,357,True,True,True,31,1,1860,0.16302006299520144
random_0160,14,1,978,True,True,True,172,4,1557,0.28170632899855264
random_0161,8,1,48,True,True,True,19,1,481,0.035880082003131974
random_0162,13,1,2725,True,False,False,112,4,2412,0.43384262199833756
random_0163,10,1,240,True,True,True,45,3,999,0.09379807799996343
random_0164,14,1,1389,True,True,True,104,10,2008,0.4185315919967252
random_0165,12,2,1008,True,False,False,91,5,2761,0.30332858500332804
random_0166,13,1,304,True,True,True,77,1,1297,0.11178387800464407
random_0167,11,1,115,True,True,True,47,2,718,0.051236334002169315
random_0168,13,2,5497,True,True,True,146,10,4476,0.9533718559978297
random_0169,8,2,136,True,True,True,61,3,1150,0.11777620799693977
random_0170,9,1,61,True,True,True,38,2,381,0.05860040300467517
random_0171,9,1,93,True,True,True,25,4,532,0.06221916800132021
random_0172,12,2,806,True,True,True,81,3,3247,0.5356487250028295
random_0173,8,1,67,True,True,True,29,2,528,0.05813295699772425
random_0174,14,1,2613,True,False,False,131,8,2506,0.7726925970055163
random_0175,13,2,1732,True,True,True,100,1,3105,0.4537971909958287
random_0176,14,2,1384,True,False,False,113,4,3503,0.794012088997988
random_0177,9,1,105,True,True,True,48,5,832,0.16962750700622564
random_0178,8,1,30,True,True,True,24,2,389,0.0359737840044545
random_0179,11,1,809,True,True,True,142,3,1523,0.22154032600519713
random_0180,11,1,129,True,False,False,49,6,1044,0.11885047700343421
random_0181,13,1,1014,True,False,False,107,4,1335,0.206443887000205
random_0182,13,1,683,True,True,True,107,6,1469,0.3512090479998733
random_0183,11,1,145,True,True,True,41,2,1035,0.0775112609990174
random_0184,8,2,191,True,True,True,31,3,1858,0.19313004899595398
random_0185,12,2,1721,True,True,True,45,1,3555,0.4365978810019442
random_0186,12,2,238,True,True,True,61,2,1312,0.09118742200371344
random_0187,11,2,127,True,True,True,30,1,1459,0.11998370700166561
random_0188,11,1,42,True,True,True,27,3,578,0.047161255999526475
random_0189,14,1,3586,True,True,True,170,7,2637,0.6709832069973345
random_0190,8,2,182,True,True,True,20,1,1735,0.19359672199789202
random_0191,10,2,491,True,True,True,71,7,1976,0.35770953499741154
random_0192,12,1,605,True,True,True,152,1,1646,0.23900437099655392
random_0193,10,2,822,True,True,True,63,6,2772,0.8821637669971096
random_0194,12,2,788,True,True,True,42,1,2323,0.3551825850008754
random_0195,11,2,1238,True,True,True,146,2,1957,0.46653293700364884
random_0196,13,2,1958,True,True,True,147,4,3087,0.7778734999956214
random_0197,11,2,1390,True,True,True,108,5,3212,0.6784412060005707
random_0198,13,1,3332,True,False,False,173,7,2664,1.146626533001836
random_0199,12,2,580,True,True,True,69,1,2775,0.30698911099898396
random_0200,13,1,1361,True,True,True,129,4,2258,0.397588817999349
random_0201,12,2,1685,True,True,True,36,2,2728,0.24616917099774582
random_0202,9,1,57,True,True,True,33,4,564,0.06061037999461405
random_0203,8,2,175,True,True,True,65,2,1406,0.21799332099908497
random_0204,14,1,3708,True,True,True,72,4,2981,0.4901797019992955
random_0205,11,2,503,True,True,True,79,1,1522,0.16844373100320809
random_0206,9,2,223,True,True,True,29,1,1996,0.26538161899952684
random_0207,10,2,219,True,True,True,63,1,1499,0.15665512700070394
random_0208,12,1,411,True,True,True,78,5,954,0.11399559399433201
random_0209,8,1,32,True,True,True,16,1,289,0.02073759499762673
random_0210,14,1,1236,True,False,False,86,7,2640,0.5019341770021128
random_0211,12,1,82,True,True,True,46,2,924,0.06621317799726967
random_0212,10,1,407,True,True,True,31,1,1334,0.10533877499983646
random_0213,14,1,6349,True,False,False,196,7,3524,0.9162179920022027
random_0214,9,1,53,True,True,True,27,1,422,0.026785110996570438
random_0215,13,1,1459,True,False,False,153,4,1958,0.34463510399655206
random_0216,9,1,141,True,True,True,47,1,1030,0.1021113949973369
random_0217,13,1,1472,True,False,False,160,3,1590,0.2962138180009788
random_0218,11,2,1915,True,True,True,138,8,4793,0.9468282550005824
random_0219,9,1,114,True,True,True,29,3,520,0.06301445200369926
random_0220,9,1,130,True,True,True,62,7,702,0.11675770500005456
random_0221,10,2,832,True,True,True,79,7,2993,0.8867415150016313
random_0222,11,1,215,True,True,True,61,1,935,0.06376099699991755
random_0223,10,2,338,True,False,False,57,2,2164,0.31277610400138656
random_0224,8,1,255,True,True,True,21,1,1393,0.1740583049977431
random_0225,8,1,206,True,True,True,33,2,935,0.12112409999826923
random_0226,13,1,4326,True,True,True,198,7,3441,0.8064842800013139
