case,arm,scenario,routes,failed_routes,below_reserve_routes,over_capacity_routes,min_soc_kwh,whole_solution_valid,mixed_routes,unmapped_routes
c2_k15,warm,all_18E1_capacity_sensitivity,15,6,6,0,-3.0899994999999763,False,2,0
c2_k15,warm,all_18E2_capacity_sensitivity,15,4,4,0,-0.5199994999999831,False,2,0
c2_k15,warm,saved_240_control,15,0,0,0,0.470000500000026,True,2,0
c2_k15,warm,source_group_or_conservative_mixed,15,5,5,0,-3.0899994999999763,False,2,0
c3_k05,base,all_18E1_capacity_sensitivity,5,0,0,0,2.1010019,True,0,0
c3_k05,base,all_18E2_capacity_sensitivity,5,0,0,0,4.671001899999993,True,0,0
c3_k05,base,saved_240_control,5,0,0,0,5.661001900000002,True,0,0
c3_k05,base,source_group_or_conservative_mixed,5,0,0,0,4.671001899999993,True,0,0
c3_k05,warm,all_18E1_capacity_sensitivity,5,0,0,0,0.5540014000000042,True,0,0
c3_k05,warm,all_18E2_capacity_sensitivity,5,0,0,0,3.1240013999999974,True,0,0
c3_k05,warm,saved_240_control,5,0,0,0,4.1140014000000065,True,0,0
c3_k05,warm,source_group_or_conservative_mixed,5,0,0,0,3.1240013999999974,True,0,0
c3_k08,base,all_18E1_capacity_sensitivity,9,2,2,0,-3.0899995000000047,False,3,0
c3_k08,base,all_18E2_capacity_sensitivity,9,1,1,0,-0.5199995000000115,False,3,0
c3_k08,base,saved_240_control,9,0,0,0,0.4700004999999976,True,3,0
c3_k08,base,source_group_or_conservative_mixed,9,2,2,0,-3.0899995000000047,False,3,0
c3_k08,warm,all_18E1_capacity_sensitivity,8,1,1,0,-1.0599999999999739,False,1,0
c3_k08,warm,all_18E2_capacity_sensitivity,8,0,0,0,1.5100000000000193,True,1,0
c3_k08,warm,saved_240_control,8,0,0,0,2.5000000000000284,True,1,0
c3_k08,warm,source_group_or_conservative_mixed,8,1,1,0,-1.0599999999999739,False,1,0
c3_k10,base,all_18E1_capacity_sensitivity,11,3,3,0,-1.5499984999999583,False,3,0
c3_k10,base,all_18E2_capacity_sensitivity,11,0,0,0,1.0200015000000349,True,3,0
c3_k10,base,saved_240_control,11,0,0,0,2.010001500000044,True,3,0
c3_k10,base,source_group_or_conservative_mixed,11,3,3,0,-1.5499984999999583,False,3,0
c3_k10,warm,all_18E1_capacity_sensitivity,10,1,1,0,-1.0600000000000023,False,2,0
c3_k10,warm,all_18E2_capacity_sensitivity,10,0,0,0,1.509999999999991,True,2,0
c3_k10,warm,saved_240_control,10,0,0,0,2.5,True,2,0
c3_k10,warm,source_group_or_conservative_mixed,10,1,1,0,-1.0600000000000023,False,2,0
c3_k15,base,all_18E1_capacity_sensitivity,18,5,5,0,-3.0899994999999763,False,3,0
c3_k15,base,all_18E2_capacity_sensitivity,18,2,2,0,-0.5199994999999831,False,3,0
c3_k15,base,saved_240_control,18,0,0,0,0.470000500000026,True,3,0
c3_k15,base,source_group_or_conservative_mixed,18,5,5,0,-3.0899994999999763,False,3,0
c3_k15,warm,all_18E1_capacity_sensitivity,15,5,5,0,-3.5600000000000023,False,4,0
c3_k15,warm,all_18E2_capacity_sensitivity,15,2,2,0,-0.9900000000000091,False,4,0
c3_k15,warm,saved_240_control,15,0,0,0,0.0,True,4,0
c3_k15,warm,source_group_or_conservative_mixed,15,5,5,0,-3.5600000000000023,False,4,0
c4_k05,base,all_18E1_capacity_sensitivity,5,3,3,0,-3.0899994999999763,False,2,0
c4_k05,base,all_18E2_capacity_sensitivity,5,1,1,0,-0.5199994999999831,False,2,0
c4_k05,base,saved_240_control,5,0,0,0,0.470000500000026,True,2,0
c4_k05,base,source_group_or_conservative_mixed,5,3,3,0,-3.0899994999999763,False,2,0
c4_k05,warm,all_18E1_capacity_sensitivity,5,3,3,0,-3.089999500000033,False,2,0
c4_k05,warm,all_18E2_capacity_sensitivity,5,2,2,0,-0.5199995000000399,False,2,0
c4_k05,warm,saved_240_control,5,0,0,0,0.4700004999999692,True,2,0
c4_k05,warm,source_group_or_conservative_mixed,5,3,3,0,-3.089999500000033,False,2,0
c4_k08,base,all_18E1_capacity_sensitivity,9,3,3,0,-2.7899994999999933,False,2,0
c4_k08,base,all_18E2_capacity_sensitivity,9,1,1,0,-0.21999950000000013,False,2,0
c4_k08,base,saved_240_control,9,0,0,0,0.770000500000009,True,2,0
c4_k08,base,source_group_or_conservative_mixed,9,3,3,0,-2.7899994999999933,False,2,0
c4_k08,warm,all_18E1_capacity_sensitivity,8,4,4,0,-2.3199989999999957,False,0,0
c4_k08,warm,all_18E2_capacity_sensitivity,8,0,0,0,0.2500009999999975,True,0,0
c4_k08,warm,saved_240_control,8,0,0,0,1.2400010000000066,True,0,0
c4_k08,warm,source_group_or_conservative_mixed,8,3,3,0,-2.3199989999999957,False,0,0
c4_k10,base,all_18E1_capacity_sensitivity,11,5,5,0,-2.319998999999939,False,6,0
c4_k10,base,all_18E2_capacity_sensitivity,11,0,0,0,0.2500010000000543,True,6,0
c4_k10,base,saved_240_control,11,0,0,0,1.2400010000000634,True,6,0
c4_k10,base,source_group_or_conservative_mixed,11,5,5,0,-2.319998999999939,False,6,0
c4_k10,warm,all_18E1_capacity_sensitivity,10,4,4,0,-2.7899994999999933,False,2,0
c4_k10,warm,all_18E2_capacity_sensitivity,10,1,1,0,-0.21999950000000013,False,2,0
c4_k10,warm,saved_240_control,10,0,0,0,0.770000500000009,True,2,0
c4_k10,warm,source_group_or_conservative_mixed,10,4,4,0,-2.7899994999999933,False,2,0
c4_k15,base,all_18E1_capacity_sensitivity,19,6,6,0,-2.3199989999999957,False,2,0
c4_k15,base,all_18E2_capacity_sensitivity,19,0,0,0,0.2500009999999975,True,2,0
c4_k15,base,saved_240_control,19,0,0,0,1.2400010000000066,True,2,0
c4_k15,base,source_group_or_conservative_mixed,19,6,6,0,-2.3199989999999957,False,2,0
c4_k15,warm,all_18E1_capacity_sensitivity,15,6,6,0,-3.0899995000000047,False,5,0
c4_k15,warm,all_18E2_capacity_sensitivity,15,2,2,0,-0.5199995000000115,False,5,0
c4_k15,warm,saved_240_control,15,0,0,0,0.4700004999999976,True,5,0
c4_k15,warm,source_group_or_conservative_mixed,15,6,6,0,-3.0899995000000047,False,5,0
c5_k05,base,all_18E1_capacity_sensitivity,6,4,4,0,-2.319998999999939,False,2,0
c5_k05,base,all_18E2_capacity_sensitivity,6,0,0,0,0.2500010000000543,True,2,0
c5_k05,base,saved_240_control,6,0,0,0,1.2400010000000634,True,2,0
c5_k05,base,source_group_or_conservative_mixed,6,4,4,0,-2.319998999999939,False,2,0
c5_k05,warm,all_18E1_capacity_sensitivity,5,2,2,0,-2.3199989999999673,False,2,0
c5_k05,warm,all_18E2_capacity_sensitivity,5,0,0,0,0.2500010000000259,True,2,0
c5_k05,warm,saved_240_control,5,0,0,0,1.240001000000035,True,2,0
c5_k05,warm,source_group_or_conservative_mixed,5,2,2,0,-2.3199989999999673,False,2,0
c5_k08,base,all_18E1_capacity_sensitivity,9,5,5,0,-2.3199989999999957,False,3,0
c5_k08,base,all_18E2_capacity_sensitivity,9,0,0,0,0.2500009999999975,True,3,0
c5_k08,base,saved_240_control,9,0,0,0,1.2400010000000066,True,3,0
c5_k08,base,source_group_or_conservative_mixed,9,5,5,0,-2.3199989999999957,False,3,0
c5_k08,warm,all_18E1_capacity_sensitivity,8,5,5,0,-3.5600000000000023,False,4,0
c5_k08,warm,all_18E2_capacity_sensitivity,8,1,1,0,-0.9900000000000091,False,4,0
c5_k08,warm,saved_240_control,8,0,0,0,0.0,True,4,0
c5_k08,warm,source_group_or_conservative_mixed,8,5,5,0,-3.5600000000000023,False,4,0
c5_k10,base,all_18E1_capacity_sensitivity,11,7,7,0,-2.3199989999999957,False,4,0
c5_k10,base,all_18E2_capacity_sensitivity,11,0,0,0,0.2500009999999975,True,4,0
c5_k10,base,saved_240_control,11,0,0,0,1.2400010000000066,True,4,0
c5_k10,base,source_group_or_conservative_mixed,11,7,7,0,-2.3199989999999957,False,4,0
c5_k10,warm,all_18E1_capacity_sensitivity,10,5,5,0,-2.3199989999999957,False,5,0
c5_k10,warm,all_18E2_capacity_sensitivity,10,0,0,0,0.2500009999999975,True,5,0
c5_k10,warm,saved_240_control,10,0,0,0,1.2400010000000066,True,5,0
c5_k10,warm,source_group_or_conservative_mixed,10,5,5,0,-2.3199989999999957,False,5,0
c5_k15,base,all_18E1_capacity_sensitivity,16,10,10,0,-3.08899930000004,False,5,0
c5_k15,base,all_18E2_capacity_sensitivity,16,1,1,0,-0.518999300000047,False,5,0
c5_k15,base,saved_240_control,16,0,0,0,0.4710006999999621,True,5,0
c5_k15,base,source_group_or_conservative_mixed,16,9,9,0,-2.3199989999999957,False,5,0
c5_k15,warm,all_18E1_capacity_sensitivity,15,8,8,0,-3.0899995000000047,False,3,0
c5_k15,warm,all_18E2_capacity_sensitivity,15,2,2,0,-0.5199995000000115,False,3,0
c5_k15,warm,saved_240_control,15,0,0,0,0.4700004999999976,True,3,0
c5_k15,warm,source_group_or_conservative_mixed,15,7,7,0,-3.0899995000000047,False,3,0
c6_k05,base,all_18E1_capacity_sensitivity,5,3,3,0,-2.0199989999999843,False,0,0
c6_k05,base,all_18E2_capacity_sensitivity,5,0,0,0,0.5500010000000088,True,0,0
c6_k05,base,saved_240_control,5,0,0,0,1.540001000000018,True,0,0
c6_k05,base,source_group_or_conservative_mixed,5,2,2,0,-2.0199989999999843,False,0,0
c6_k05,warm,all_18E1_capacity_sensitivity,5,2,2,0,-2.0199989999999843,False,0,0
c6_k05,warm,all_18E2_capacity_sensitivity,5,0,0,0,0.5500010000000088,True,0,0
c6_k05,warm,saved_240_control,5,0,0,0,1.540001000000018,True,0,0
c6_k05,warm,source_group_or_conservative_mixed,5,2,2,0,-2.0199989999999843,False,0,0
c6_k08,base,all_18E1_capacity_sensitivity,8,4,4,0,-2.7899994999999933,False,2,0
c6_k08,base,all_18E2_capacity_sensitivity,8,1,1,0,-0.21999950000000013,False,2,0
c6_k08,base,saved_240_control,8,0,0,0,0.770000500000009,True,2,0
c6_k08,base,source_group_or_conservative_mixed,8,4,4,0,-2.7899994999999933,False,2,0
