chain,arm,route_occurrences,failures_23901,failures_23644
1,base,43,2,22
1,warm,38,6,22
2,base,43,3,11
2,warm,38,7,12
3,base,43,3,10
3,warm,38,2,7
4,base,44,2,17
4,warm,38,5,17
5,base,42,1,26
5,warm,38,3,20
6,base,44,2,15
6,warm,38,4,16
