cell_id,scale,selection_replicate,duty_id,trip_count,known_partition_continuously_feasible,known_partition_in_primary_expanded_space,fixed_sequence_pricing_certified,first_feasible_soc_step,first_feasible_block_min,nonrepresentability_reason,primary_soc_step,primary_block_min,adaptive_sensitivity_run,instance_file_sha256,ordered_trip_id_set_sha256,solver_local_trip_index_sha256,ordered_trip_sequence_sha256,trip_identity_schema
k03_s3,3,3,13319,27,True,False,True,1.0,5,no fixed-duty transition 32->33,15.0,10,True,2532b4fb13b6c22968578a3abd6d909986116318a08a3506ed7e41b41aa43f95,58b741176a2a04a2fdbd97f6b53fa4af47845d2c7b2f16728bc6a75f3d2b9f15,c0edbccd404124dae80b80f600e8459f8bc3f3508e1901301a4101765178e9d2,5081087f90b625605596d7b21aefe13e7434daf388be109ea8bdfcac5868aa18,evsp-dr-trip-identity-v1
k03_s3,3,3,13323,8,True,True,True,15.0,10,,15.0,10,True,2532b4fb13b6c22968578a3abd6d909986116318a08a3506ed7e41b41aa43f95,58b741176a2a04a2fdbd97f6b53fa4af47845d2c7b2f16728bc6a75f3d2b9f15,c0edbccd404124dae80b80f600e8459f8bc3f3508e1901301a4101765178e9d2,5081087f90b625605596d7b21aefe13e7434daf388be109ea8bdfcac5868aa18,evsp-dr-trip-identity-v1
k03_s3,3,3,13414,12,True,True,True,15.0,10,,15.0,10,True,2532b4fb13b6c22968578a3abd6d909986116318a08a3506ed7e41b41aa43f95,58b741176a2a04a2fdbd97f6b53fa4af47845d2c7b2f16728bc6a75f3d2b9f15,c0edbccd404124dae80b80f600e8459f8bc3f3508e1901301a4101765178e9d2,5081087f90b625605596d7b21aefe13e7434daf388be109ea8bdfcac5868aa18,evsp-dr-trip-identity-v1
k05_s1,5,1,13302,50,True,False,True,1.0,5,no fixed-duty transition 24->26,15.0,10,True,fc10ac0707becb960364e76b8c1e1c414d5d5639cbc3b7dadaf67a77e03f5322,adfd3e457bb5cc0949c75e89d4864afed439e1c5fd8059e2fa3653013683b01c,7de95596d3401a0a888332041962b3f5908ac53503c5e0b6dfa8e2634ff034c1,3663cb70ac1b0580bd0a75dc54e52ec9fc145def081eeb794963675961294609,evsp-dr-trip-identity-v1
k05_s1,5,1,13408,11,True,False,True,1.0,5,no fixed-duty transition 32->39,15.0,10,True,fc10ac0707becb960364e76b8c1e1c414d5d5639cbc3b7dadaf67a77e03f5322,adfd3e457bb5cc0949c75e89d4864afed439e1c5fd8059e2fa3653013683b01c,7de95596d3401a0a888332041962b3f5908ac53503c5e0b6dfa8e2634ff034c1,3663cb70ac1b0580bd0a75dc54e52ec9fc145def081eeb794963675961294609,evsp-dr-trip-identity-v1
k05_s1,5,1,13410,15,True,False,True,1.0,5,no fixed-duty transition 49->55,15.0,10,True,fc10ac0707becb960364e76b8c1e1c414d5d5639cbc3b7dadaf67a77e03f5322,adfd3e457bb5cc0949c75e89d4864afed439e1c5fd8059e2fa3653013683b01c,7de95596d3401a0a888332041962b3f5908ac53503c5e0b6dfa8e2634ff034c1,3663cb70ac1b0580bd0a75dc54e52ec9fc145def081eeb794963675961294609,evsp-dr-trip-identity-v1
k05_s1,5,1,13411,14,True,False,False,,,no fixed-duty transition 46->53;blocked_through_1kwh_5min,15.0,10,True,fc10ac0707becb960364e76b8c1e1c414d5d5639cbc3b7dadaf67a77e03f5322,adfd3e457bb5cc0949c75e89d4864afed439e1c5fd8059e2fa3653013683b01c,7de95596d3401a0a888332041962b3f5908ac53503c5e0b6dfa8e2634ff034c1,3663cb70ac1b0580bd0a75dc54e52ec9fc145def081eeb794963675961294609,evsp-dr-trip-identity-v1
k05_s1,5,1,13412,15,True,True,True,15.0,10,,15.0,10,True,fc10ac0707becb960364e76b8c1e1c414d5d5639cbc3b7dadaf67a77e03f5322,adfd3e457bb5cc0949c75e89d4864afed439e1c5fd8059e2fa3653013683b01c,7de95596d3401a0a888332041962b3f5908ac53503c5e0b6dfa8e2634ff034c1,3663cb70ac1b0580bd0a75dc54e52ec9fc145def081eeb794963675961294609,evsp-dr-trip-identity-v1
k05_s2,5,2,13307,15,True,True,True,15.0,10,,15.0,10,True,6ffea0b8cd3a9d15846946f6828705dd3431b7bafc69bd572ca30ed4530d5cb8,ea0d8ab992af9a5197f384a8d54ac8e13e9087ce95d54e45c8b1230c34738518,e6c8b83a0a38c978d199f8542337640f7820a9567ac11561b69eed207dae19e9,1bd163a55ec517b12a7649b034f615ad9a00a0bb54b2922c1676c7c32cdd2a1b,evsp-dr-trip-identity-v1
k05_s2,5,2,13315,31,True,False,True,1.0,5,no fixed-duty transition 36->39,15.0,10,True,6ffea0b8cd3a9d15846946f6828705dd3431b7bafc69bd572ca30ed4530d5cb8,ea0d8ab992af9a5197f384a8d54ac8e13e9087ce95d54e45c8b1230c34738518,e6c8b83a0a38c978d199f8542337640f7820a9567ac11561b69eed207dae19e9,1bd163a55ec517b12a7649b034f615ad9a00a0bb54b2922c1676c7c32cdd2a1b,evsp-dr-trip-identity-v1
k05_s2,5,2,13326,21,True,False,True,1.0,5,no fixed-duty transition 57->61,15.0,10,True,6ffea0b8cd3a9d15846946f6828705dd3431b7bafc69bd572ca30ed4530d5cb8,ea0d8ab992af9a5197f384a8d54ac8e13e9087ce95d54e45c8b1230c34738518,e6c8b83a0a38c978d199f8542337640f7820a9567ac11561b69eed207dae19e9,1bd163a55ec517b12a7649b034f615ad9a00a0bb54b2922c1676c7c32cdd2a1b,evsp-dr-trip-identity-v1
