case_id,origin,chain,target_k,original_buses,original_bound,original_fleet_proven,longer_buses,longer_bound,longer_fleet_proven,outcome,individual_route_replay,original_fleet_stage_minutes,longer_fleet_stage_minutes,original_stage1_budget_s,longer_stage1_budget_s,longer_total_budget_s,original_start_bus_count,longer_start_bus_count,same_ordered_mip_pool,same_input_hashes,ordered_mip_pool_sha256,original_result_path,original_result_sha256,longer_result_path,longer_result_sha256,execution_commit,snapshot_sha256
c5_k10_fresh_longmip,fresh,5,10,11,10.00000000000002,False,11,11.0,True,proved pool limit above target,True,30.014003853003185,77.79012486934661,1800.0,10800.0,12600,58,58,True,True,2c9829b275daa17aaead97d42a2a453d19d799871d51f3a17a482a8965018612,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c5_k10/mip_base/135682_r0/result.json,db16ef1735444a8c6cc8da16d5f8a2bd884b302a0fce13abd27e6a931547acdf,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c5_k10_fresh_longmip/mip_result.json,bd94e7c8e96fc74eb3500171083163e9839bc0969b4c8efdf48286e0a39d77c8,871d057e1067411f09581e37d78f7c1ca43f68bb,7e6b1e25fa4aa01cd25e510e752b2ce099f71a425c9c85a0b91f0b77b9eeb140
c5_k15_fresh_longmip,fresh,5,15,16,15.0000000000001,False,16,15.0000000000001,False,fleet gap open,True,30.037141998608906,180.04047940969468,1800.0,10800.0,12600,76,76,True,True,2d49380b27cf4fa2e150949ff9fa39aa369cc25056e67960f21729f4dc60c75b,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c5_k15/mip_base/135687_r0/result.json,5d205a87cbc701a70b282578f901adb299315a0d1fed0c9cb973755ec6474d20,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c5_k15_fresh_longmip/mip_result.json,09c336fc8cffe30df19289fb86ee9cb6c48c51b19fe58c331f8d9e048a8f7ad8,871d057e1067411f09581e37d78f7c1ca43f68bb,7e6b1e25fa4aa01cd25e510e752b2ce099f71a425c9c85a0b91f0b77b9eeb140
c6_k10_fresh_longmip,fresh,6,10,11,10.000000000000018,False,11,11.0,True,proved pool limit above target,True,30.01274038553238,46.090219529469806,1800.0,10800.0,12600,58,58,True,True,f629b8967ed1d1a7d979e4f6aac81e1385b989ea944c0a1939af5ac046e9fde5,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c6_k10/mip_base/135703_r0/result.json,8a312f1c7c75342a84de16915c731e92496c9e796b7155779219cfb39cc9fe9d,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c6_k10_fresh_longmip/mip_result.json,446434bd0088deb26360230688e6934f79ecb89193ee9d7c6698ff445c7f8008,871d057e1067411f09581e37d78f7c1ca43f68bb,7e6b1e25fa4aa01cd25e510e752b2ce099f71a425c9c85a0b91f0b77b9eeb140
c6_k15_fresh_longmip,fresh,6,15,20,15.00000000000002,False,18,15.000000000000023,False,fleet gap open,True,30.03960302670797,180.045583152771,1800.0,10800.0,12600,147,147,True,True,7ec4c899a16b27fe10081ec506b89a3dfef0134355b54352728e05e4c7f9d189,/home/nc437/ladder-lite/cumulative_budget_20260913/cases/c6_k15/mip_base/135708_r0/result.json,86680de39a5ec353b7bb45b3b47fbfc71a375ff2aa7b51212e29f8786cf657cf,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c6_k15_fresh_longmip/mip_result.json,4eb66f4b0326c6313d4cb4648dd8746ebb80b04f85d24ab51517569a748bf6dc,871d057e1067411f09581e37d78f7c1ca43f68bb,7e6b1e25fa4aa01cd25e510e752b2ce099f71a425c9c85a0b91f0b77b9eeb140
w2_k17_extension_longmip,extension,2,17,18,17.0,False,17,17.0,True,target matched,True,30.076845773061116,25.21369969447454,1800.0,10800.0,12600,107,107,True,True,60862667ec8a287ed0ca523dc6eaf5d4245e9d324b31614023c71ff222622e84,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k17/mip/133932_r0/result.json,a7c7ed6c28a326906884ef15a884f5bdd516f74c78d328b4ad4c385921ae05bc,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/w2_k17_extension_longmip/mip_result.json,0d86fa947d93ffbe13f94d30cf17740e1f1544caa21d3b8910c59cd4264b0dfb,871d057e1067411f09581e37d78f7c1ca43f68bb,7e6b1e25fa4aa01cd25e510e752b2ce099f71a425c9c85a0b91f0b77b9eeb140
w2_k18_extension_longmip,extension,2,18,19,18.0,False,18,18.0,True,target matched,True,30.171984120210013,10.03578330675761,1800.0,10800.0,12600,129,129,True,True,835b47f33f35e5a08f7c80095ba4e8329a549c8186130f53a6447cf318cbdd68,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k18/mip/133934_r0/result.json,d3f5a54e4af58d4b4847915097578f9c0b79efeb535a9930e64e3e5428326c0b,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/w2_k18_extension_longmip/mip_result.json,0f3e01203725e4b92a3b50d178e7ff6c894c54938b9b08eca09bb10421cf84fb,871d057e1067411f09581e37d78f7c1ca43f68bb,7e6b1e25fa4aa01cd25e510e752b2ce099f71a425c9c85a0b91f0b77b9eeb140
w2_k19_extension_longmip,extension,2,19,20,19.00000000000001,False,19,19.0,True,target matched,True,30.15736973285675,17.40641967058182,1800.0,10800.0,12600,137,137,True,True,f7150ed0382534b7455a9b5926e8599ab8e31ff1ec49781fc5b3ad1867a0f061,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k19/mip/133936_r0/result.json,fc1f2a0831a059414e6e6cf5277397aa895c2254275c9fb487758aaf7295318f,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/w2_k19_extension_longmip/mip_result.json,83b1fd882bb48813d281018756467a87133722ef765225853b12ad5336e84ae8,871d057e1067411f09581e37d78f7c1ca43f68bb,7e6b1e25fa4aa01cd25e510e752b2ce099f71a425c9c85a0b91f0b77b9eeb140
w2_k20_extension_longmip,extension,2,20,21,20.000000000000007,False,20,20.0,True,target matched,True,30.16129262447357,20.998239620526633,1800.0,10800.0,12600,144,144,True,True,828de0b13f67e385101da00ee59c5b591aa8054aedd825c10d6deae7d46a1805,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k20/mip/133938_r0/result.json,51aec9eaf9299a4d76cfeab92a069596da463fe3215d6bff56f478588dce4b01,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/w2_k20_extension_longmip/mip_result.json,5acb9ae6875ab4d8639acd9bec754091aa6005803a5492f71b4344daa5fce994,871d057e1067411f09581e37d78f7c1ca43f68bb,7e6b1e25fa4aa01cd25e510e752b2ce099f71a425c9c85a0b91f0b77b9eeb140
w3_k19_extension_longmip,extension,3,19,20,19.000000000000004,False,19,19.0,True,target matched,True,30.064095493157705,45.28472174803416,1800.0,10800.0,12600,133,133,True,True,b8449756052b1b4d08940bb7f40bd4da0e4565eafcb21822ee8f61017541f486,/home/nc437/ladder-lite/chain_extension_20260913/cases/w3_k19/mip/133956_r0/result.json,829d04d22bdb86125ba5b6a2bf732952f11044c45b2fc297657e2ce522842258,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/w3_k19_extension_longmip/mip_result.json,a3720faaaa6fb222da21222ff89cf96dd7df546a1e4e4ed1a2a6eaae729871f7,871d057e1067411f09581e37d78f7c1ca43f68bb,7e6b1e25fa4aa01cd25e510e752b2ce099f71a425c9c85a0b91f0b77b9eeb140
w3_k20_extension_longmip,extension,3,20,21,20.0,False,20,20.0,True,target matched,True,30.064093911647795,19.76637213230133,1800.0,10800.0,12600,132,132,True,True,54600ca29b122d8d4d1d362a07cd6322a0f654a43494df3273572a9930bd8d4e,/home/nc437/ladder-lite/chain_extension_20260913/cases/w3_k20/mip/133958_r0/result.json,e8dc643be57ef66022fcfeb86559c9ef54fac80c2a3f9a4ee70ea4873d3aacd2,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/w3_k20_extension_longmip/mip_result.json,1de3846dc659acf862e1d645b5336d37b4dab298290532418562df7d1d48ca3a,871d057e1067411f09581e37d78f7c1ca43f68bb,7e6b1e25fa4aa01cd25e510e752b2ce099f71a425c9c85a0b91f0b77b9eeb140
w3_k21_extension_longmip,extension,3,21,22,21.000000000000068,False,21,21.0,True,target matched,True,30.14473054011663,47.423546020189924,1800.0,10800.0,12600,147,147,True,True,d25fe5cd4a74fc66d624a23df337ffa026b16ee0cd416353e6ce1c8e44bf6b96,/home/nc437/ladder-lite/chain_extension_20260913/cases/w3_k21/mip/133960_r0/result.json,b461301141ab5f3b5ae0779ee8784b502de66a6225135744fd2c4a6874a33898,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/w3_k21_extension_longmip/mip_result.json,e600b8de2257159e54488907fc5f12d21a0408cdaf879e8d46caa49c409d52fd,871d057e1067411f09581e37d78f7c1ca43f68bb,7e6b1e25fa4aa01cd25e510e752b2ce099f71a425c9c85a0b91f0b77b9eeb140
w5_k19_extension_longmip,extension,5,19,20,19.0,False,19,19.0,True,target matched,True,30.140119715531668,16.69518615802129,1800.0,10800.0,12600,123,123,True,True,e0d67659fa2ef0f3a6fe0cf18718ed0d9fe7a14f64a3f5ed467403b9aebbe03e,/home/nc437/ladder-lite/chain_extension_20260913/cases/w5_k19/mip/133996_r0/result.json,519471dff75168b47d7f91a62bcf76f7d0c1174148c81ceac0114b1eb0104ae7,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/w5_k19_extension_longmip/mip_result.json,5cc8f290cf4dca4578f017ab7d1fe3dbf162ef4e42aab0f4a1ddf37594f2e247,871d057e1067411f09581e37d78f7c1ca43f68bb,7e6b1e25fa4aa01cd25e510e752b2ce099f71a425c9c85a0b91f0b77b9eeb140
w6_k18_extension_longmip,extension,6,18,19,18.00000000000004,False,18,18.0,True,target matched,True,30.161628691355386,13.493807617823283,1800.0,10800.0,12600,123,123,True,True,90570b59d64e12f78f7ac4ccc5e7e04e6fa6449621a880ba981dfab39a298a47,/home/nc437/ladder-lite/chain_extension_20260913/cases/w6_k18/mip/134066_r0/result.json,fd996be14dc52e9801f002c2af01c2974a931bb430f7eb135784334ca7ed3958,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/w6_k18_extension_longmip/mip_result.json,3be13c9a982bb3b1a6a4d3b43f1549ec68bbeed718222de88340290aeda98d49,871d057e1067411f09581e37d78f7c1ca43f68bb,7e6b1e25fa4aa01cd25e510e752b2ce099f71a425c9c85a0b91f0b77b9eeb140
