case_id,stage,chain,target_k,treatment,cg_minutes,cg_certified,weighted_lp_objective,fractional_route_count,integer_buses,pool_fleet_bound,fleet_proven_in_pool,individual_route_replay,source_path,source_sha256,input_sha256,execution_commit,snapshot_sha256
c2_k08_c200,cg,2,8,c200,40.42198648658038,True,800235.9144683707,7.99999999999997,,,,,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c2_k08_c200/cg.json,facde2be1fc30948ab804e4b22e781dee6a1c0e67eafd87dfb65a971844a9139,c1dbe1dd15d20979799c68d01430a5fd0eddc2ca3ced3f46bd8522123e6c480d,e091a4dba549510238507ef5e5367abea958bd30,03d1f29511e724a3770c807c7cba3a8efc1f08fca59faf58d28e1532bbe33a57
c2_k08_complementary,cg,2,8,complementary,26.767098756243165,True,800235.9144683577,8.000000000000014,,,,,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c2_k08_complementary/cg.json,c71af03e0bc8ca7abd2954032e2f31a9cbfcd680028f75fa0c45264efec36c04,c1dbe1dd15d20979799c68d01430a5fd0eddc2ca3ced3f46bd8522123e6c480d,e091a4dba549510238507ef5e5367abea958bd30,03d1f29511e724a3770c807c7cba3a8efc1f08fca59faf58d28e1532bbe33a57
c2_k10_complementary,cg,2,10,complementary,75.0957096874481,True,1000371.1457444405,10.00000000000003,,,,,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c2_k10_complementary/cg.json,2e88a4f3a4cab63dfa68339de2ca3c3108d426bce27268c9fe025f7b4fadd04b,969e49b79b454241e1f4116e405aebdf117dc6adac5497854cf4d7196166a6d6,e091a4dba549510238507ef5e5367abea958bd30,03d1f29511e724a3770c807c7cba3a8efc1f08fca59faf58d28e1532bbe33a57
c3_k08_c200,cg,3,8,c200,25.359503960803462,True,800212.6874707585,8.00000000000001,,,,,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c3_k08_c200/cg.json,1e31a90222023aea6c0b6a82c7279102d56d69f679bc0d83ba30ef4526fab57a,9d1d4ed1ab86dfa3ae09541180d1a67e612d5473d9964db36b08e9ebce72cd2b,e091a4dba549510238507ef5e5367abea958bd30,03d1f29511e724a3770c807c7cba3a8efc1f08fca59faf58d28e1532bbe33a57
c3_k08_complementary,cg,3,8,complementary,23.477086025686003,True,800212.6874705985,8.000000000000101,,,,,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c3_k08_complementary/cg.json,dd700ce62a972179e6a37d9e37d5ab1e4ba2fafda572d5d59e7a0852a3b95902,9d1d4ed1ab86dfa3ae09541180d1a67e612d5473d9964db36b08e9ebce72cd2b,e091a4dba549510238507ef5e5367abea958bd30,03d1f29511e724a3770c807c7cba3a8efc1f08fca59faf58d28e1532bbe33a57
c3_k10_c200,cg,3,10,c200,49.93566421029391,True,1000316.8231857865,10.00000000000004,,,,,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c3_k10_c200/cg.json,74b55d88739a4b9865eeafb5af621762accb2bb07b4436c38150fb8fa79246de,0a24efed4fe106a7a0e1d7038964c976e3a46ea62027e1ce879bc151f3a2b18d,e091a4dba549510238507ef5e5367abea958bd30,03d1f29511e724a3770c807c7cba3a8efc1f08fca59faf58d28e1532bbe33a57
c3_k10_complementary,cg,3,10,complementary,41.045342944283036,True,1000316.8231857796,9.999999999999972,,,,,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c3_k10_complementary/cg.json,5a1d1b3ef1bdf1059ffb2ec3e52a51481cfbffa20ab8f0e5f4eb303a72810c4c,0a24efed4fe106a7a0e1d7038964c976e3a46ea62027e1ce879bc151f3a2b18d,e091a4dba549510238507ef5e5367abea958bd30,03d1f29511e724a3770c807c7cba3a8efc1f08fca59faf58d28e1532bbe33a57
c5_k05_c200,cg,5,5,c200,26.05879437351444,True,500276.19200000056,5.000000000000005,,,,,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c5_k05_c200/cg.json,26657798eaa2b62721fb008dd221cdf9a81b357258aab7a8077829b9d2e872eb,9b7788a554cdacca084e0cb218796da5d5e0ae076c61073b667ed288dc157a1e,e091a4dba549510238507ef5e5367abea958bd30,03d1f29511e724a3770c807c7cba3a8efc1f08fca59faf58d28e1532bbe33a57
c5_k05_complementary,cg,5,5,complementary,21.049474401430537,True,500276.1920000029,5.000000000000029,,,,,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c5_k05_complementary/cg.json,545dae043536e3565c590c35c55384059d16817aa11db819850ae62df61f6a65,9b7788a554cdacca084e0cb218796da5d5e0ae076c61073b667ed288dc157a1e,e091a4dba549510238507ef5e5367abea958bd30,03d1f29511e724a3770c807c7cba3a8efc1f08fca59faf58d28e1532bbe33a57
c5_k08_c200,cg,5,8,c200,59.92156344679339,True,800431.7722696146,8.000000000000004,,,,,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c5_k08_c200/cg.json,86217aaefc523a92e98c56be7c0c421f33a592e09871d007c41a556e490e33fd,85aa4a37119b2604a41aa83f46c8b8987bb95c8165c4adfb0a58ce65dbeee05b,e091a4dba549510238507ef5e5367abea958bd30,03d1f29511e724a3770c807c7cba3a8efc1f08fca59faf58d28e1532bbe33a57
c5_k08_complementary,cg,5,8,complementary,38.11946115841468,True,800431.7722696164,8.000000000000021,,,,,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c5_k08_complementary/cg.json,ca30019e54a452ec4b15cfdc824239b2068786abf8f5cdf7613d6d7c83436251,85aa4a37119b2604a41aa83f46c8b8987bb95c8165c4adfb0a58ce65dbeee05b,e091a4dba549510238507ef5e5367abea958bd30,03d1f29511e724a3770c807c7cba3a8efc1f08fca59faf58d28e1532bbe33a57
c5_k10_complementary,cg,5,10,complementary,70.64423720898728,True,1000456.3339241376,9.999999999999996,,,,,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c5_k10_complementary/cg.json,22f1eb659b1369da2dca07805b8c48b74c46ff6e0c6f13ee8aca06c1ece27e9b,b2fa6d6ca7c5deda4877c8f22d726dc49e6bddb72a921fee1da34ec1c3ef86f8,e091a4dba549510238507ef5e5367abea958bd30,03d1f29511e724a3770c807c7cba3a8efc1f08fca59faf58d28e1532bbe33a57
c6_k10_c200,cg,6,10,c200,63.93855993358884,True,1000377.8715555549,9.999999999999995,,,,,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c6_k10_c200/cg.json,b3717e129b6a491d7d2cec062ae9ddf13e738a608d1855d9bdaf101da7cef4b5,b6b8abf3c83ef5e8d3167d6a785b8403fb20c8927e25c409193e1c744174ffc0,e091a4dba549510238507ef5e5367abea958bd30,03d1f29511e724a3770c807c7cba3a8efc1f08fca59faf58d28e1532bbe33a57
c6_k10_complementary,cg,6,10,complementary,40.053025583278696,True,1000377.8715555543,9.999999999999988,,,,,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c6_k10_complementary/cg.json,c4b34479a5720b99150a0f786f391be68da4b8bde7b7caf810fa8f3a05356bb8,b6b8abf3c83ef5e8d3167d6a785b8403fb20c8927e25c409193e1c744174ffc0,e091a4dba549510238507ef5e5367abea958bd30,03d1f29511e724a3770c807c7cba3a8efc1f08fca59faf58d28e1532bbe33a57
w4_k19_resume8h,cg,4,19,same_k_resume_to8h,267.033192757552,True,1900863.0780201973,19.000000000000206,,,,,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/w4_k19_resume8h/cg.json,b908448b2aa2e87445ba56841e67b0be03bc23e78f51dc58459fed4a51e10c36,6256a26241416f81efbba9cd46aae5e7be900cbc3aea1b3744218ae4e94e5b61,a0e0bb7681c8451e3cbbbfa06aef390026d9af4b,03d1f29511e724a3770c807c7cba3a8efc1f08fca59faf58d28e1532bbe33a57
c5_k05_c200_mip,mip,5,5,c200,,,,,6,6.0,True,True,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c5_k05_c200_mip/mip_result.json,54ce05bcbcfb60aaa56e3b608e9af846d7758ddcfa4a10452965be650e3ca002,9b7788a554cdacca084e0cb218796da5d5e0ae076c61073b667ed288dc157a1e,871d057e1067411f09581e37d78f7c1ca43f68bb,03d1f29511e724a3770c807c7cba3a8efc1f08fca59faf58d28e1532bbe33a57
c5_k05_complementary_mip,mip,5,5,complementary,,,,,5,5.0,True,True,/home/nc437/ladder-lite/overnight_diagnostics_20260914/cases/c5_k05_complementary_mip/mip_result.json,1712b89818e0f2786a43e962ba76aaee00d32b6cc4b4542152a8da5ae568deec,9b7788a554cdacca084e0cb218796da5d5e0ae076c61073b667ed288dc157a1e,871d057e1067411f09581e37d78f7c1ca43f68bb,03d1f29511e724a3770c807c7cba3a8efc1f08fca59faf58d28e1532bbe33a57
