462757.extern|extern|RUNNING|0:0|00:26:46|2026-09-25T13:03:54|Unknown|||totient-cpu-06
462758|st_fx_r21_spatial_2190L_x0p75|COMPLETED|0:0|00:02:36|2026-09-25T12:43:50|2026-09-25T12:46:26|16G||totient-cpu-07
462758.batch|batch|COMPLETED|0:0|00:02:36|2026-09-25T12:43:50|2026-09-25T12:46:26||566176K|totient-cpu-07
462758.extern|extern|COMPLETED|0:0|00:02:36|2026-09-25T12:43:50|2026-09-25T12:46:26|||totient-cpu-07
462759|st_cg_r21_spatial_2190L_x1p25|COMPLETED|0:0|00:18:35|2026-09-25T12:43:50|2026-09-25T13:02:25|16G||totient-cpu-08
462759.batch|batch|COMPLETED|0:0|00:18:35|2026-09-25T12:43:50|2026-09-25T13:02:25||957340K|totient-cpu-08
462759.extern|extern|COMPLETED|0:0|00:18:35|2026-09-25T12:43:50|2026-09-25T13:02:25|||totient-cpu-08
462760|st_cl_r21_spatial_2190L_x1p25|COMPLETED|0:0|00:04:18|2026-09-25T13:02:44|2026-09-25T13:07:02|16G||joachims-cpu-02
462760.batch|batch|COMPLETED|0:0|00:04:18|2026-09-25T13:02:44|2026-09-25T13:07:02||741420K|joachims-cpu-02
462760.extern|extern|COMPLETED|0:0|00:04:19|2026-09-25T13:02:44|2026-09-25T13:07:03|||joachims-cpu-02
462761|st_fx_r21_spatial_2190L_x1p25|COMPLETED|0:0|00:03:38|2026-09-25T12:43:50|2026-09-25T12:47:28|16G||unicorn-cpu-87
462761.batch|batch|COMPLETED|0:0|00:03:38|2026-09-25T12:43:50|2026-09-25T12:47:28||686352K|unicorn-cpu-87
462761.extern|extern|COMPLETED|0:0|00:03:38|2026-09-25T12:43:50|2026-09-25T12:47:28|||unicorn-cpu-87
462762|st_cg_r21_spatial_2190L_x1p50|COMPLETED|0:0|00:19:17|2026-09-25T12:43:50|2026-09-25T13:03:07|16G||unicorn-cpu-87
462762.batch|batch|COMPLETED|0:0|00:19:17|2026-09-25T12:43:50|2026-09-25T13:03:07||893308K|unicorn-cpu-87
462762.extern|extern|COMPLETED|0:0|00:19:17|2026-09-25T12:43:50|2026-09-25T13:03:07|||unicorn-cpu-87
462763|st_cl_r21_spatial_2190L_x1p50|COMPLETED|0:0|00:04:32|2026-09-25T13:03:19|2026-09-25T13:07:51|16G||unicorn-cpu-74
462763.batch|batch|COMPLETED|0:0|00:04:32|2026-09-25T13:03:19|2026-09-25T13:07:51||531692K|unicorn-cpu-74
462763.extern|extern|COMPLETED|0:0|00:04:32|2026-09-25T13:03:19|2026-09-25T13:07:51|||unicorn-cpu-74
462764|st_fx_r21_spatial_2190L_x1p50|COMPLETED|0:0|00:03:18|2026-09-25T12:43:50|2026-09-25T12:47:08|16G||unicorn-cpu-87
462764.batch|batch|COMPLETED|0:0|00:03:18|2026-09-25T12:43:50|2026-09-25T12:47:08||534508K|unicorn-cpu-87
462764.extern|extern|COMPLETED|0:0|00:03:21|2026-09-25T12:43:50|2026-09-25T12:47:11|||unicorn-cpu-87
462765|st_cg_r21_spatial_4808_x0p50|COMPLETED|0:0|00:17:27|2026-09-25T12:43:50|2026-09-25T13:01:17|16G||unicorn-cpu-87
462765.batch|batch|COMPLETED|0:0|00:17:27|2026-09-25T12:43:50|2026-09-25T13:01:17||1037816K|unicorn-cpu-87
462765.extern|extern|COMPLETED|0:0|00:17:27|2026-09-25T12:43:50|2026-09-25T13:01:17|||unicorn-cpu-87
462766|st_cl_r21_spatial_4808_x0p50|COMPLETED|0:0|00:03:09|2026-09-25T13:01:32|2026-09-25T13:04:41|16G||joachims-cpu-02
462766.batch|batch|COMPLETED|0:0|00:03:09|2026-09-25T13:01:32|2026-09-25T13:04:41||605304K|joachims-cpu-02
462766.extern|extern|COMPLETED|0:0|00:03:09|2026-09-25T13:01:32|2026-09-25T13:04:41|||joachims-cpu-02
462767|st_fx_r21_spatial_4808_x0p50|COMPLETED|0:0|00:02:48|2026-09-25T12:43:50|2026-09-25T12:46:38|16G||unicorn-cpu-87
462767.batch|batch|COMPLETED|0:0|00:02:48|2026-09-25T12:43:50|2026-09-25T12:46:38||514236K|unicorn-cpu-87
462767.extern|extern|COMPLETED|0:0|00:02:48|2026-09-25T12:43:50|2026-09-25T12:46:38|||unicorn-cpu-87
462768|st_cg_r21_spatial_4808_x0p75|COMPLETED|0:0|00:13:20|2026-09-25T12:43:50|2026-09-25T12:57:10|16G||unicorn-cpu-76
462768.batch|batch|COMPLETED|0:0|00:13:20|2026-09-25T12:43:50|2026-09-25T12:57:10||876468K|unicorn-cpu-76
462768.extern|extern|COMPLETED|0:0|00:13:20|2026-09-25T12:43:50|2026-09-25T12:57:10|||unicorn-cpu-76
462769|st_cl_r21_spatial_4808_x0p75|COMPLETED|0:0|00:00:12|2026-09-25T12:57:31|2026-09-25T12:57:43|16G||joachims-cpu-02
462769.batch|batch|COMPLETED|0:0|00:00:12|2026-09-25T12:57:31|2026-09-25T12:57:43||4452K|joachims-cpu-02
462769.extern|extern|COMPLETED|0:0|00:00:12|2026-09-25T12:57:31|2026-09-25T12:57:43|||joachims-cpu-02
