case_id,chain,k,trip_count,input_sha256,cg_job,mip_job,cg_scheduler,mip_scheduler,cg_stop,pricing_certified,rmp_route_weight,rmp_weighted_objective,pool_columns,mip_status,fleet_incumbent,finite_pool_fleet_only_bound,finite_pool_fleet_proven,own_target_matched,individual_route_replay,overcovered_trips,duplicate_trip_removal_validated,shared_capacity_validated,cg_path,cg_sha256,pool_journal_sha256,mip_path,mip_sha256
w2_k35,2,35,841,4800533137798064331d2ec49269198e72411a9939faf1b7184acc255cab6ad6,661640,661641,COMPLETED,COMPLETED,wall_limit,False,33.999999999999964,3401467.085178798,237336,TIME_LIMIT,37,34.00000000000008,False,False,True,172,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w2_k35/cg.json,da1e8b2cf2b435d520a5028861d19791fa04546dbdb6452b17ec49a0b94fd6f0,21707917947c451bcc441502f8328758322f4a9b770afeab017b69469863fd29,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w2_k35/mip_result.json,a99ae8eb639452fd2e707dd86c16a42925e2e5c973608830b7be9fdbc8c852b4
w2_k36,2,36,878,d20e84bda698c3fb0a0efc79c6abd03d41e5b9f3307cf3be39a07f9c93d78b01,661642,661643,COMPLETED,COMPLETED,wall_limit,False,34.99999999999964,3501524.8875245634,240943,TIME_LIMIT,39,35.00000000000004,False,False,True,181,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w2_k36/cg.json,685632e6b6b4174e3b6058494499bb9cc257e7c9847c7b58ffd02d89a8fb9e44,e7bea8a3074b2485a8dde7c2d649e4c8aa824f51b8a2d709ab83ac15148974a0,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w2_k36/mip_result.json,f0d02d622dffbe6d92c1a6bc9cd3842b421884ce0562af89d2584a1b451a2ac2
w2_k37,2,37,908,99c61d29893dee4e466aabb374701d634df1576400d35dea333dccc654e1fac1,661644,661645,COMPLETED,COMPLETED,wall_limit,False,36.00000000000012,3601558.1442754916,244903,TIME_LIMIT,40,36.00000000000003,False,False,True,234,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w2_k37/cg.json,716570fba6d6f83bb8cdc84a8cbbf80ff3fb2030af8f52bbf9cc836a046515b6,c369f0a72f16483b908016d80227fa1ca09bacca41cc439abf6632c27cfab408,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w2_k37/mip_result.json,f95dbbfc28ccb00da2f98cd86170fa5987364866eff5243c30d661a468096107
w2_k38,2,38,923,fef4fa8b977365571b9b262b2f6d4114a4f30646acf59e3738d567afcc0d1dd1,661646,661647,COMPLETED,COMPLETED,wall_limit,False,37.000000000000576,3701611.1669313894,248398,TIME_LIMIT,40,37.00000000000004,False,False,True,191,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w2_k38/cg.json,60b9a554222e00b4de285a6771aedffc54fc8a3f5db4bb1e6e8d35467bc06d56,125554163657bd6ceb8cd7ba3b86e5210a6a375bbf15995d7c2fa306d1064041,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w2_k38/mip_result.json,3cdca2791186d23a62103fb72246cba05d05b820ef79f701d2472ac90a9e9a78
w2_k39,2,39,936,84f6807ab32d3201ac517b3fd7f98004320ede5923836d795400f542e55b918e,661648,661649,COMPLETED,COMPLETED,wall_limit,False,37.99999999999979,3801655.9486640077,251921,TIME_LIMIT,40,38.00000000000004,False,False,True,170,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w2_k39/cg.json,82fd55c763bd2d6666e72ba80d230aa65f8d7e4915f3a06a1612cb46a2e1d93b,ee14be12d2d51972ff7b3fb0629430133d4d030c5dd17ca9a21bd38e50417523,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w2_k39/mip_result.json,325a0b7fa606aaf2fa15d32256d04f808659da08dd78491c6eec191048fa0f9f
w2_k40,2,40,947,3508a11f73d1186ae87588656d65ea62812c6e222623ae85488eff26cafb35fd,661650,661651,COMPLETED,COMPLETED,wall_limit,False,39.000000000000604,3901684.9480673275,255232,TIME_LIMIT,44,39.00000000000004,False,False,True,262,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w2_k40/cg.json,0fd8f81df33ecf9138ae48b49fc3df8aba6e0d5fa9f1764e80f8a296ea973128,d365795d3fec1623e72816f0b223a4f495955b79b66c0f3bf250a9a01e06e9a4,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w2_k40/mip_result.json,435aee022486b3eebe4e3190fcf4532e5fb427aab4651b4c2ac242a85f04cbcb
w3_k33,3,33,770,af6e260cb1eb1f9b42535671e34cb628e21a86d6d1659ca40a74226f7c4dd933,661668,661669,COMPLETED,COMPLETED,wall_limit,False,32.999999999999886,3301396.318976781,202334,TIME_LIMIT,34,33.00000000000022,False,False,True,95,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w3_k33/cg.json,033e933a43a80e24d441e852a28af7db3af1756177df6f7714f353e3270b8d4c,270176490805169b81c069ee141bdd874995829f30ac4dc081a1af75fbc9be6c,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w3_k33/mip_result.json,bdec91170ddf1f582c7625d06cf788c322604cf6995be54d58b05af1be9ab815
w3_k34,3,34,797,55046607d962b1a9857505742d80778659f62dd34ec2fbd4ca130485ca826204,661670,661671,COMPLETED,COMPLETED,wall_limit,False,33.99999999999996,3401433.1389859784,208301,TIME_LIMIT,35,34.00000000000014,False,False,True,106,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w3_k34/cg.json,6f11e5aca5d342b72c624a3ab5107552a47563157790ab0f1a9235dc752c25a4,d8100bcfd14ca1003cf5dcbe9a3ef8fe24162bebf0a9912f6774db24389968cd,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w3_k34/mip_result.json,673846550f8d3f05c06a2fe3fe3060617881362f172bb299bc3d2a890a1d8848
w3_k35,3,35,827,1f647eacc1557f311ee97afe778ba7148bee171a70c468e7708adb7c2184d37a,661676,661677,COMPLETED,COMPLETED,wall_limit,False,35.00000000000017,3501465.8731186157,213731,TIME_LIMIT,36,35.00000000000003,False,False,True,133,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w3_k35/cg.json,f4433a1afa1c61504606bf3934cc512a76afb5908a14b0260615479e79b7a3bf,57534e73ea74bc4e4cf1f1e0a1a0c2279e2b1df8b521f14947bbac639b19434b,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w3_k35/mip_result.json,23bdaca524769e79df7efbe7878221f11c91383efd0e8c48e85e666bbd6adab0
w3_k36,3,36,851,58f43058aba95e4e6a6b7e0b1658edef04eb6e62139ab3a6159e288f31724d61,661678,661679,COMPLETED,COMPLETED,wall_limit,False,35.99999999999934,3601490.551332378,220415,TIME_LIMIT,37,36.000000000000085,False,False,True,136,False,False,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w3_k36/cg.json,f29277df9a737ce813909e613b3fd18ac00bb4b636dd5757f039934a9622048f,805327955da112384897e131360a41b2cdf566e609f07a240a6029fdafc0a7e2,/home/nc437/ladder-lite/chain_extension_33_40_20260921/cases/w3_k36/mip_result.json,7459599f57007cf78d2abf9bba058827aafb2a7ef16546f9472989bc662a4418
