case,job,target_duties,trips,fleet,finite_pool_fleet_bound,fleet_proven,target_attained,stage1_status,stage2_status,pool_columns,charging_cost,charging_bound,stage2_solver_variable_objective,selected_vs_solver_charge_delta,gurobi_stage1_wall_s,gurobi_stage2_wall_s,gurobi_total_wall_s,native_stage1_runtime_s,reported_runtime_s,physical_pool_preparation_wall_s,prepublication_wall_s,wrapper_wall_s,scheduler_elapsed,slurm_batch_MaxRSS,overcovered_trips,extra_trip_assignments,native_selected_route_replay,new_independent_physical_simulation,duplicate_cleanup_validated,shared_capacity_validated,result_sha256
w1_k34,661621,34,821,40,33.00000000000019,False,False,TIME_LIMIT,TIME_LIMIT,286834,2316.1599999992177,1289.095172749096,2316.159981080766,1.8918451587524032e-05,1800.815894285217,1788.9313365682028,3589.7472308534198,1812.029377937317,3611.270416498184,339.1685402370058,3953.8386983918026,3972.019119977951,01:06:13,15265056K,223,299,True,False,False,False,11f5577f1f2537242a49fb2f2ca5ad9f18c9bd53564ee2f86e89c9b577734029
w1_k35,661623,35,834,42,34.00000000000019,False,False,TIME_LIMIT,TIME_LIMIT,288377,2380.3439999995753,1349.8625612533124,2380.3439999999828,-4.0745362639427185e-10,1801.0723370020278,1788.2170341927558,3589.2893711947836,1812.3222031593323,3612.0346722602844,397.4458261700347,4013.2166578532197,4041.9089829921722,01:07:25,10119596K,259,317,True,False,False,False,f8d248260d36105e6c02c733ab238206f58c4fc9b6f0e9a24547294221b1c3d5
w2_k34,661639,34,824,36,33.00000000000005,False,False,TIME_LIMIT,TIME_LIMIT,232279,2404.535999998916,1301.4792738120946,2404.5359999990324,-1.1641532182693481e-10,1801.7659151190892,1784.1077463640831,3585.8736614831723,1816.3350937366486,3619.1545946598053,419.3563270820305,4043.762224016711,4074.7084667682648,01:07:59,8053996K,183,253,True,False,False,False,6bc08fde68013c4aa81017aa65d759f8d4d74b7ccaedfa14ef4cac189068f979
w3_k34,661671,34,797,35,34.00000000000014,False,False,TIME_LIMIT,TIME_LIMIT,208301,2383.7999999998137,1397.6195497846143,2383.7999999999447,-1.3096723705530167e-10,1801.0655349302106,1792.0820558690466,3593.147590799257,1808.778282403946,3613.0029866695404,274.9180758940056,3893.3878703648224,3908.794291973114,01:05:14,10519284K,106,128,True,False,False,False,128292b88fa2fbd3365165bcac779f7152863ff1f11c30a09cc62d031f6b94cc
w3_k35,661677,35,827,36,35.00000000000003,False,False,TIME_LIMIT,TIME_LIMIT,213731,2426.9679999989457,1430.4012648559192,2426.9679999987275,2.1827872842550278e-10,1801.2652215370908,1791.2382733542472,3592.503494891338,1809.9326837062836,3614.2354805469513,263.7419268148951,3880.7785409819335,3895.6553835868835,01:03:12,8793584K,133,166,True,False,False,False,8af20e82fbac9f43f3bee8eee22e07e899f96f727b81a8973059408cff3c3152
w4_k34,661694,34,816,42,33.000000000000036,False,False,TIME_LIMIT,TIME_LIMIT,257589,2693.2800000002608,1258.275967881702,2693.280000000348,-8.731149137020111e-11,1802.2999597010203,1782.7853538310155,3585.085313532036,1817.582619190216,3616.5904211997986,493.59967924514785,4115.767466531135,4150.068194627762,01:09:16,9054792K,300,420,True,False,False,False,ea418f290e2f87ec165d14622febcbb77a420b2af0833d49af860119d8b19761
w4_k35,661696,35,830,42,34.00000000000006,False,False,TIME_LIMIT,TIME_LIMIT,260783,2704.143999999389,1317.0858359612562,2704.1439999998256,-4.3655745685100555e-10,1801.4815946207382,1787.143883857876,3588.6254784786142,1813.6106669902802,3610.753522157669,351.1887733768672,3965.5071247583255,3987.105493545532,01:06:30,11635076K,275,401,True,False,False,False,bdcd2a728c2b537a527ee6380b2f597bb8102d4e1a8bd282eea243c928c57994
w5_k33,661708,33,768,39,32.000000000000014,False,False,TIME_LIMIT,TIME_LIMIT,268700,2439.9840000001714,1232.6378859968772,2439.9840000000404,1.3096723705530167e-10,1800.9441070412286,1790.4963544313796,3591.440461472608,1810.7406742572784,3615.14403629303,322.48431552713737,3941.148488590028,3955.733050107956,01:05:57,14078820K,266,397,True,False,False,False,5b0fb78d14a6f73e8437ac0a40fda4bcce3e070f22c06aba0fdd73d2536e368d
w6_k33,661726,33,796,38,32.00000000000016,False,False,TIME_LIMIT,TIME_LIMIT,251615,2278.367999999784,1283.0525474999217,2278.3679999996966,8.731149137020111e-11,1800.5794992512092,1790.7826272491366,3591.3621265003458,1809.7607207298279,3608.729439973831,274.7532927147113,3886.4881595219485,3902.141079187393,01:05:07,11917476K,154,182,True,False,False,False,b209a33db8ac279a82d7ffd87060b10f1893e0b3a4118fe924aac0233390af26
w6_k34,661728,34,804,40,33.00000000000015,False,False,TIME_LIMIT,TIME_LIMIT,258283,2442.5039999997243,1259.1285626430026,2442.5039999999426,-2.1827872842550278e-10,1800.9273091247305,1789.461429645773,3590.3887387705036,1811.7916181087494,3614.1804490089417,380.66886692587286,3999.4800783302635,4023.2864258289337,01:07:12,12713344K,245,294,True,False,False,False,0a5e8c8c27d33d05ba0484a90cc6a7f405ff6bea82eedec026e1235d26e66356
