case_id,chain,target_k,buses,pool_fleet_bound,fleet_proven_in_pool,physical_route_replay,cg_minutes_at_this_k,source_path,source_sha256,snapshot_path,snapshot_sha256
w1_k16,1,16,16,16.0,True,True,47.69827642966217,/home/nc437/ladder-lite/chain_extension_20260913/cases/w1_k16/mip/133910_r0/result.json,cfbbc6d145788e04f91bbbd0ad4d1097e9ed8d3b02b0dacb634a07e8a3a66a49,outputs/post_meeting_20260910/monitor/20260914T014827Z.json,1ba8aca4d5a354f9f3823bcdb8a17bd1f59c1e833e5c5b709824d9c72faec0a5
w1_k17,1,17,17,17.0,True,True,83.26131981393944,/home/nc437/ladder-lite/chain_extension_20260913/cases/w1_k17/mip/133912_r0/result.json,a353d66c8fbd42cf7603ea19bc0dada943a92d1d238ff31a40f96f6db4781ebd,outputs/post_meeting_20260910/monitor/20260914T014827Z.json,1ba8aca4d5a354f9f3823bcdb8a17bd1f59c1e833e5c5b709824d9c72faec0a5
w1_k18,1,18,18,18.0,True,True,234.32334600906663,/home/nc437/ladder-lite/chain_extension_20260913/cases/w1_k18/mip/133914_r0/result.json,949e676a6ddccbca72e08593e4aab757a7edb6fc841aece5eeab3098e931f26d,outputs/post_meeting_20260910/monitor/20260914T014827Z.json,1ba8aca4d5a354f9f3823bcdb8a17bd1f59c1e833e5c5b709824d9c72faec0a5
w2_k16,2,16,16,16.0,True,True,44.28484435174226,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k16/mip/133930_r0/result.json,9b1b134620d681d83f606334d2c7fe9a7acc5fb5602e05e443841d39dfaa3fa0,outputs/post_meeting_20260910/monitor/20260914T014827Z.json,1ba8aca4d5a354f9f3823bcdb8a17bd1f59c1e833e5c5b709824d9c72faec0a5
w2_k17,2,17,18,17.0,False,True,102.40232212621873,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k17/mip/133932_r0/result.json,a7c7ed6c28a326906884ef15a884f5bdd516f74c78d328b4ad4c385921ae05bc,outputs/post_meeting_20260910/monitor/20260914T014827Z.json,1ba8aca4d5a354f9f3823bcdb8a17bd1f59c1e833e5c5b709824d9c72faec0a5
w2_k18,2,18,19,18.0,False,True,123.14828624875517,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k18/mip/133934_r0/result.json,d3f5a54e4af58d4b4847915097578f9c0b79efeb535a9930e64e3e5428326c0b,outputs/post_meeting_20260910/monitor/20260914T014827Z.json,1ba8aca4d5a354f9f3823bcdb8a17bd1f59c1e833e5c5b709824d9c72faec0a5
w2_k19,2,19,20,19.00000000000001,False,True,95.69782099976825,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k19/mip/133936_r0/result.json,fc1f2a0831a059414e6e6cf5277397aa895c2254275c9fb487758aaf7295318f,outputs/post_meeting_20260910/monitor/20260914T014827Z.json,1ba8aca4d5a354f9f3823bcdb8a17bd1f59c1e833e5c5b709824d9c72faec0a5
w3_k16,3,16,16,16.0,True,True,47.11864920204971,/home/nc437/ladder-lite/chain_extension_20260913/cases/w3_k16/mip/133950_r0/result.json,e2fd3226ad76ed76a0909410fc45f2b529c842949f9a85d75868458182b9897b,outputs/post_meeting_20260910/monitor/20260914T014827Z.json,1ba8aca4d5a354f9f3823bcdb8a17bd1f59c1e833e5c5b709824d9c72faec0a5
w3_k17,3,17,17,17.0,True,True,32.014535494924836,/home/nc437/ladder-lite/chain_extension_20260913/cases/w3_k17/mip/133952_r0/result.json,61f670656937f6e875c9db7d49461647f7faa3ef07420e99b587e1488c875d79,outputs/post_meeting_20260910/monitor/20260914T014827Z.json,1ba8aca4d5a354f9f3823bcdb8a17bd1f59c1e833e5c5b709824d9c72faec0a5
w3_k18,3,18,18,18.0,True,True,48.15024766811015,/home/nc437/ladder-lite/chain_extension_20260913/cases/w3_k18/mip/133954_r0/result.json,dd60029136e34e2fc5fb4b2336b81c9bc84f9614b3d733be16afda6701140ced,outputs/post_meeting_20260910/monitor/20260914T014827Z.json,1ba8aca4d5a354f9f3823bcdb8a17bd1f59c1e833e5c5b709824d9c72faec0a5
