cell_id,target_fleet,representation_id,time_model,soc_step,block_min,L_model,L_model_certified,I_model,I_model_lower,I_model_upper,I_model_proven,I_model_method,I_pool,I_pool_lower,I_pool_upper,I_pool_proven,I_timed,timed_fleet_proven,representation_gap,lp_integrality_gap,pool_composition_gap,mip_search_gap,pool_columns,source_cg_certified,source_cg_stop_reason,source_cg_iterations,source_cg_wall_s,source_cg_peak_rss_mb,optimality_scope,physical_witness_valid,cg_status_sha256,phase2_sha256,mip_sha256,model_evidence
k03_s3,3,uniform_10_10,uniform,10.0,10,2.9999999529999966,True,3,3,3,True,finite_pool_witness_sandwich,3,3,3,True,3,True,0,4.700000344470823e-08,0,0,4944,True,certified,230,21.50318227338721,248.55859375,full_pool_lexicographic,True,77c08599ca8fccd00799ec8b75c3d0bd4aff0b0a39f1a7fe930736e2a1a69a4a,20ca1df3737e598b8002be1883150b53e00d5083a8e2ddee9154ace6880a549d,5303985338d57d03dcdee0cbe430aa3e957aa98934763320b677b4db98be033f,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_b/mip_native/uniform/k03_s3/uniform_10_10/mip.json
k03_s3,3,uniform_4_5,uniform,4.0,5,2.9999999530000743,True,3,3,3,True,finite_pool_witness_sandwich,3,3,3,True,3,True,0,4.6999925729096503e-08,0,0,4762,True,certified,233,54.58385263662785,482.609375,full_pool_lexicographic,True,258c6a5c44bdb20c2395ecf8624230560139e20be515cda9e08aa68f62fabb33,2e84f9c6c60efb5f18331b7a601293d4cbf2f7267aed30090eefc7693b702209,74d9f2ca43f05c049e1abff376e70c630d47fe9db76b4f47fe2000d722bcfb90,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_b/mip_native/uniform/k03_s3/uniform_4_5/mip.json
k03_s3,3,uniform_2_5,uniform,2.0,5,2.9999999529999934,True,3,3,3,True,finite_pool_witness_sandwich,3,3,3,True,3,True,0,4.7000006553332696e-08,0,0,6536,True,certified,263,112.33277263358468,789.33984375,full_pool_lexicographic,True,b5c3f34cf3cfbe9cc281067b65d5ed2148cd9e05530e3748dbe17bfd434be777,611aba8167d93fdbd9ed58958b07baf6da0ae66a37df5d6e92cc85e4198f52e8,8a971bed0ef8cda529eb3f874814a4e5184a30a0bb12636e74e078f4cc327387,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_b/mip_native/uniform/k03_s3/uniform_2_5/mip.json
k03_s3,3,uniform_2_2,uniform,2.0,2,2.999999952999996,True,3,3,3,True,industrial_uniform_partition_sandwich,3,3,3,True,3,True,0,4.700000388879744e-08,0,0,7554,True,certified,528,518.0868673520454,1702.93359375,full_pool_lexicographic,True,13bcaaf7a11a2b1af50cda007381b21e0b4c888495cca6bf6a5996c51c31174b,9ecf1e395ff35a4605bf4cb84d0c08852325ce24e7808d1ee534c1769ef65a37,b0c0ef573f13a9131691dc5a139d7363d36884b0a6c5933f7550425866de3899,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/uniform/k03_s3/uniform_2_2/witness-v2.json
k03_s3,3,uniform_2_1,uniform,2.0,1,2.9999999529999957,True,3,3,3,True,industrial_uniform_partition_sandwich,3,3,3,True,3,True,0,4.700000433288665e-08,0,0,4965,True,certified,415,783.1821204476291,3041.9296875,full_pool_lexicographic,True,cd4b9291cee00dae56849728ec5334bfc09c38deac1a07b9b4ed3d776895335e,7005fd47a9553ecfb5d78c549e85f57fc48a74098eaddd83308f2b109c057895,fa3664ec6da4caf90ae33f5edc287f8fcf0272b832ddeacee5c8add786c99c05,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/uniform/k03_s3/uniform_2_1/witness-v2.json
k05_s1,5,event_2p5_event5,event,2.5,5,4.999999895000181,True,5,5,5,True,industrial_event_partition_sandwich,5,5,5,True,5,True,0,1.0499981861755714e-07,0,0,52601,True,certified,1908,5250.275371580035,1780.8515625,fleet_only,True,bdafbc45f7ed0bbf194fe5a5c8026d0ab95c5ddfce2f6288be18df2119dca430,d700151e512093999f9a6bfca746e6af206ba9bb05ea693813ae8fe6484e0d10,30b50edfffe89a4a05ca1b053495b7fabb58fc5659333f9ac62c26c59bf20448,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/model_witness/event/k05_s1/witness.json
k05_s1,5,uniform_10_10,uniform,10.0,10,5.576523889811922,True,,6,14,False,censored_after_sandwich_and_arcflow,,7,14,False,14,False,,,,,16608,True,certified,598,254.80141425898182,537.6484375,none,True,234e246b5e3a3039533dc2482749d03cb8540f2b10639c369896026200aa04e9,05caa0b093b784a5778e79fcef923d7f3314715fac1310b928f3921d2f524310,1843619198d184572b6f9692ad9bbe8c6317aee1617b8bde5c9c74c2aeb125dc,
k05_s1,5,uniform_4_5,uniform,4.0,5,5.142857037857117,True,6,6,6,True,finite_pool_witness_sandwich,6,6,6,True,7,False,1,0.8571429621428832,0,1,22088,True,certified,847,779.9299833421537,1142.359375,none,True,5c9578c4c7c33cc547422bd16b8cf9d62d0d96af85b9c8e5f83eeeedd8076883,79922f1376495b5519e310f4fe772d0acd59cc9628a50a62754df44ab99ccb9e,9ddbf0187573a835bc4ae60eb0bbb51e0f1f9f56bb063f9a702a9d5c1c8697c9,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/target/uniform/k05_s1/uniform_4_5/target.json
k05_s1,5,uniform_2_5,uniform,2.0,5,5.142857037857128,True,,6,7,False,censored_after_sandwich_and_arcflow,7,7,7,True,7,False,,,,0,18558,True,certified,750,1352.8928281667759,1541.609375,none,True,335c038550fe0ad79eff8a9df029c41d61eddc6215c22359b5a1c70807fca179,5326789254440251736074a5cc666dadb869c7d96bab4639879df5c4286a010d,7ba6722b54757844263b54df423dac35db8633563d9a8bb4f153a6e0c1a25861,
k05_s1,5,uniform_2_2,uniform,2.0,2,4.999999895,True,5,5,5,True,finite_pool_witness_sandwich,5,5,5,True,5,True,0,1.0499999980595476e-07,0,0,37036,True,certified,1829,14291.947553593433,4192.515625,fleet_only,True,0d1fd7daf8d339742367f1f69600c6229110572958b76acd69cba5425e4da697,1627bb3e5e870d580946a7d9d9e8063be6423fc7a387f729c190be7b00c6ad8c,27a0171164bdc77f258eab7bfff735f4378895399407fa2051a1d123e1399fab,/tmp/evsp-event-uniform-envelope-c08df1a5277b/panel_a/mip_native/uniform/k05_s1/uniform_2_2/mip.json
