formulation,target_k,chain,available,fleet,fleet_excess,status_code,mip_status,fleet_proven,optimal_scope,mip_bound,overcovered_trips,input_sha256,source_path
cover,5,4,False,,,MISSING,,,,,,,
cover,5,5,True,6.0,1.0,OPT,OPTIMAL,true,full_pool_lexicographic,6.0,12.0,9b7788a554cdacca084e0cb218796da5d5e0ae076c61073b667ed288dc157a1e,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k05_p5__cover__event_2p5_event5__1h2stage.json
cover,5,6,False,,,MISSING,,,,,,,
cover,8,1,True,9.0,1.0,F,TIME_LIMIT,true,fleet_only,9.0,40.0,cca5b6ca0c9af9eeb20adb414e300a130471e9e802ef6543a85b9d3ba2860f9d,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k08_p1__cover__event_2p5_event5__1h2stage.json
cover,8,2,False,,,MISSING,,,,,,,
cover,8,3,True,9.0,1.0,F,TIME_LIMIT,true,fleet_only,9.0,25.0,9d1d4ed1ab86dfa3ae09541180d1a67e612d5473d9964db36b08e9ebce72cd2b,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k08_p3__cover__event_2p5_event5__1h2stage.json
cover,8,4,False,,,MISSING,,,,,,,
cover,8,5,True,9.0,1.0,F,TIME_LIMIT,true,fleet_only,9.0,16.0,85aa4a37119b2604a41aa83f46c8b8987bb95c8165c4adfb0a58ce65dbeee05b,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k08_p5__cover__event_2p5_event5__1h2stage.json
cover,8,6,False,,,MISSING,,,,,,,
cover,10,1,True,11.0,1.0,F,TIME_LIMIT,true,fleet_only,11.0,30.0,c54f31750af49fb66f0bf21995d02d01a5520e37f13152bc95b4aff17ecef1f3,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k10_p1__cover__event_2p5_event5__1h2stage.json
cover,10,2,False,,,MISSING,,,,,,,
cover,10,3,True,11.0,1.0,~,TIME_LIMIT,false,none,10.000000000000009,58.0,0a24efed4fe106a7a0e1d7038964c976e3a46ea62027e1ce879bc151f3a2b18d,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k10_p3__cover__event_2p5_event5__1h2stage.json
cover,10,4,False,,,MISSING,,,,,,,
cover,10,5,True,11.0,1.0,F,TIME_LIMIT,true,fleet_only,11.0,46.0,b2fa6d6ca7c5deda4877c8f22d726dc49e6bddb72a921fee1da34ec1c3ef86f8,/home/nc437/ladder-lite/covering_rerun9_20260909_21fbecb/mip/M__k10_p5__cover__event_2p5_event5__1h2stage.json
cover,10,6,False,,,MISSING,,,,,,,
