campaign,case_id,chain,target,original_buses,total_budget_s,fleet_budget_s,input_sha256,source_status_sha256,source_journal_sha256,buses,pool_fleet_bound,target_excluded_in_saved_pool,fleet_proved,pool_columns,total_mip_minutes,fleet_search_minutes,charging_status,individual_route_replay,duplicate_removal_validated,shared_capacity_validated,mip_path,mip_sha256,ordered_pool_sha256,unchanged_pool_verified,same_initializer_count_verified,target_matched,interpretation
final_chain_gap_20260915,w5_k25_longmip,5,25,26,12600,10800,c16a85cdc05d7cbf0ecd4ac0de2e295d9cddf3800b961cb9f3e1e4fca446a908,5fbef70027639a27c97d0c316d9516bac30c270ce5d9155e03be464242b67f94,0e99b399b62565fc97594dd4d1f47ef9c915af10c5246bed89eefa7484441d38,25,25.0,False,True,207717,210.10118343432745,17.85579036474228,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/final_chain_gap_20260915/cases/w5_k25_longmip/mip_result.json,3a7177cb77554ca3ca808c684e444813b1b12f87b8bdc6391c75b5c4ec626148,9cd73437fe3a52d98c53769a74d39232ee924efcb24e5e5022a5b7fea47209ab,True,True,True,New tree on unchanged pool; no new CG certificate.
continuation_gap_20260915,w3_k28_longmip,3,28,29,12600,10800,f412c76bfb62d9df3c06dd16f8df890734330595df0d622c4507ccb5e80d3b3d,2945438839ca8f108f82656cf57214e360f04e54171fce6a59448c8ea73d0f89,eb16dd14e049263c8d233ba1a78c90dfe55e38b02215d6cff0a45750e21becc9,28,28.0,False,True,166052,210.0635163664818,27.411807096004488,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/continuation_gap_20260915/cases/w3_k28_longmip/mip_result.json,5471dffc6183f138c2a5bbeba4d533b967e8a0b3725724e3e24ffa62a9c766d7,97dfeaa8eb47d470ee907b3403bc0ea03f9952571298971480e71dfc61ba0c9a,True,True,True,New tree on unchanged pool; no new CG certificate.
continuation_gaps2_20260915,w1_k27_longmip,1,27,28,12600,10800,ad06cdf81807937e064ac7f99448bfa874432cf7a2a7250e6f6b1b09768ee28e,605d9f281f598d9d05cba06c51e5dbb39ef7a1632bdfbee9db326eb09179d0d2,44f541ba2053ca7f6a1559bdfd3c6fe0f5692603876231c10111886a8411870e,27,27.0,False,True,252540,210.189457265536,83.96550916433334,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/continuation_gaps2_20260915/cases/w1_k27_longmip/mip_result.json,a826cbf5df9077b511e0dbf94e2b9c16b0b45553dec38cd171bd5ca7216e24a4,5460967f9dfcd970a01bb311ba0f6a11b0233afc6124e13fd189f5f6c48e3f6c,True,True,True,New tree on unchanged pool; no new CG certificate.
continuation_gaps2_20260915,w5_k27_longmip,5,27,29,12600,10800,ea4502bdefab34329033715cec9d116d86e5857c81f27291194e3a86722e28e9,6ce6d66c03cbb986495db6c34e2e4f8e6cf32e2f2d98d533d8d4026474f0f233,03ad8b4e6a1d89a16f4d1b6672437279226012b2c40735adf61e389ccf5c2b32,29,26.00000000000019,False,False,221493,210.22316331466038,180.2973214149475,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/continuation_gaps2_20260915/cases/w5_k27_longmip/mip_result.json,887375ff9aebdc5e2035479f7d93dbd22a210334d62769011e15a4bfbea4091b,5029297ca335e44a5a36146d36382a8ffa7cee74a659e3c2d461a3c9af739806,True,True,False,New tree on unchanged pool; no new CG certificate.
continuation_gaps3_20260915,w4_k28_longmip,4,28,29,12600,10800,99bee86081fdd454961efb00daf9abec09ee45bd03b8cc3bf42c67dff0c21294,c2c8db963e3a9c6ce1181015134c88b02b55c22b023e77ae0c47346e189a3aa8,edec9c5ff1eb0a34bfc8c106959fd1a4e6dae5cd18dd5dfd7161edab55579c4c,28,28.0,False,True,221624,210.208014969031,101.38732277552286,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/continuation_gaps3_20260915/cases/w4_k28_longmip/mip_result.json,0599c36ad8b6f43d02a398fc1ebde051d2fc336eddf18071f65da371bc03e719,3dc27ff92ff3f9973e2101ef271beb118bb99d65730c25fb59fd7ed990ccf69e,True,True,True,New tree on unchanged pool; no new CG certificate.
continuation_gaps3_20260915,w5_k28_longmip,5,28,34,12600,10800,1d9f80b86d85e7f43ea37aeab36524dbedd518a397d2ec68a1450811332e14f5,62bcf0993b6d0bd71e1c5066563c95b6ffb97e0b3c3b5ff070b9e593b64a738e,6605e4b14d1ac51a70ebee402857266534d9b1e4401f4c2668c74ecfa515f0ee,31,27.00000000000012,False,False,227627,210.22942238648733,180.21559716860455,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/continuation_gaps3_20260915/cases/w5_k28_longmip/mip_result.json,67674419970658e8124ac13626927d339f6791fa4113a7c78d4fdfb0fb132d2c,cba87c0b72e974558cd1a4d642914fa03b0dbaa9ca5ba4632f50cea51b21759a,True,True,False,New tree on unchanged pool; no new CG certificate.
continuation_gaps4_20260915,w1_k28_longmip,1,28,31,12600,10800,befe75d690efd98b2e7b25b5d7426f69e3a8a5720d5307d9fdad0fe03c130dbf,a12b26527e5b998b83cf31ed4517f6574b1d701112202bcfe65f0e16a21d035e,abad0b8be8ede176e5936243cb24c9edc5f32d96551324dcdaec8a838fd7b77b,28,28.0,False,True,257850,210.19799476067226,14.082208482424418,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/continuation_gaps4_20260915/cases/w1_k28_longmip/mip_result.json,ab5b7fe8ac23e508e4aafc8de5d2587261a1bf2a6fbde2cb60fe39ccfd7f189a,63cda36dbc19f5959ce7b53189e7f59a2237bd897f13d3eb0d9d18ef7eee179a,True,True,True,New tree on unchanged pool; no new CG certificate.
continuation_gaps5_20260916,w1_k29_longmip,1,29,30,12600,10800,8e43b7ab4d2be69f2539fcb399b1d11987e9dbce7ab9eedaaa4ee1fc7dbffe76,33632756f326768df2ab982ffe1cb6a567aa4af5ed3928ab90f5c96b0c085d66,80c628b2ef08dff425f27e2bd16fd24a8fc417cd597382b14695ebad68a1b4cc,29,29.0,False,True,263453,210.24899671872456,71.63702610731124,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/continuation_gaps5_20260916/cases/w1_k29_longmip/mip_result.json,e4647d0692f2d23b9f8cd2044754789e8900eaa284464b84418847c5e701875f,4c32c73c93845e20dcc44bd28a07ae7d333c3a82843198406de85c8bab82adcc,True,True,True,New tree on unchanged pool; no new CG certificate.
continuation_gaps5_20260916,w2_k29_longmip,2,29,30,12600,10800,c0335faee802a06736c5f1067e512293ba922a5f7ad4eba1ae83ab82df467530,e8ded8f5d4809b341ee3e89c620f0416b5ffb8b5a706148bfb19d24072341024,c10650cee4657048e7bc617785c966449df4425be91862b18c8e90d81cad7444,29,29.0,False,True,206839,210.1114780386289,29.86679718097051,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/continuation_gaps5_20260916/cases/w2_k29_longmip/mip_result.json,7b904fd97e7ac3d33ff834b536eceb1fd7a51bd78209eb315fe5c0fe96c393cd,340f926c7ff08a501ed8f568e7c47a5a85c8e8784482f769c97e4dab89ee9ef7,True,True,True,New tree on unchanged pool; no new CG certificate.
continuation_gaps5_20260916,w5_k29_longmip,5,29,35,12600,10800,a50b41e17ecea246170021fbd256d618305bcdb636f38b9654ec04282f40169d,1a5fc84ed8289453f1bf9416d24a735d2b31328c9b25e0877ae66c40fd6ace84,aa48f25a88c807de5bc7f38fbb2c7359741c21478a0363dadff06c060b1afae7,30,28.000000000037733,False,False,237964,210.11026764710743,180.15371774037678,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/continuation_gaps5_20260916/cases/w5_k29_longmip/mip_result.json,3cd0ccefe0c17285a8bd5a8cd96e12ff857892074f48faaccb848d1e55f21539,02317a7aea009f5a68ee579a4192ace384f0a6614916457b29477de682ab0cd3,True,True,False,New tree on unchanged pool; no new CG certificate.
continuation_gaps5_20260916,w6_k29_longmip,6,29,30,12600,10800,b0f03a80ba66da01de71799931ea14d0b2b4da1ca603b47b54cafd922c46a240,6894758c044901af89d6f44f2981653c52831db62362101676e6bfdd4c0d86de,cc84166a11ff2d5b6010f1d8c53920c8604608da2316e2491f03f9c53acdebe2,29,29.0,False,True,226183,210.1199897090594,40.629022641976675,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/continuation_gaps5_20260916/cases/w6_k29_longmip/mip_result.json,29a1c3fca0d98ae8b70a29ae1bb2bc961ca733ca6d3c2ab4d5017c721c0ec8b3,4dece82cd3457a0db260a399622d56eaf52eb5a5f6a67e9cb3cdd9a25bb44ab3,True,True,True,New tree on unchanged pool; no new CG certificate.
