cell_id,scale,selection_replicate,target_fleet,instance_file_sha256,duty_set_sha256,generator_seed,generator_family,trip_count,duty_count,duties_json,total_service_kwh,service_kwh_per_trip,service_kwh_per_duty,duty_service_kwh_min,duty_service_kwh_median,duty_service_kwh_max,deadhead_density,direct_deadhead_edge_count,temporal_trip_pair_count,known_duty_direct_deadhead_kwh,deadhead_energy_fraction,known_duty_direct_deadhead_leg_count,known_duty_missing_direct_leg_count,layover_slack_min,layover_slack_median,layover_slack_max,layover_slack_p10,layover_slack_p90,layover_direct_pair_count,station_reachability_fraction,station_only_bridge_fraction,trip_to_station_arc_fraction,station_return_reachability_fraction,representable_fraction_soc15_b10,representable_fraction_soc5_b10,representable_fraction_soc2p5_b10,representable_fraction_soc1_b10,representable_fraction_soc1_b5
k02_s1,2,1,2,57f672139f86849429c2f580bb68126246aca7b804f9303239fbe1a35fba887e,25aaf2e6bcda966862fc98df1fe8570171f854b0e57b6bed2dad2c82df3dc721,20260803,pair_union_k2_seed20260803,47,2,"[""13310"",""13316m""]",776.66199322,16.52472326,388.33099661,369.95399776,388.33099661,406.70799546,0.13200379867046533,139,1053,85.4,0.09906480122271874,48,1,0.0,3.0,26.0,0.0,11.0,44,0.9620132953466287,0.8613485280151947,1.0,1.0,0.0,0.0,0.0,0.0,1.0
k02_s2,2,2,2,6ca7e2db690120699d59fc81428b0f1af00c5cc3889770e8f2860af040244932,af3f0c57a8a89e18bae15173ee7f7aab08994513324820a7dd70bd3d4adc1e31,20260803,pair_union_k2_seed20260803,29,2,"[""13406"",""13413""]",1221.719993,42.12827562068965,610.8599965,589.6099965,610.8599965,632.1099965,0.10362694300518134,40,386,51.4,0.04037325647434083,30,1,7.0,8.0,57.0,7.0,20.5,26,0.9766839378238342,0.8730569948186528,1.0,1.0,0.5,0.5,0.5,0.5,1.0
k02_s3,2,3,2,ec5d73b5b841b36be694c3ef8e4003b8cdfa1997f6f8afb8e6b7aad7581461b5,f8a61c3cf8fa6d83e4846130ef81698858976e5e32c1e44e3c4a9f420b1c7ec6,20260803,pair_union_k2_seed20260803,56,2,"[""13305"",""13322""]",829.31599454,14.809214188214286,414.65799727,391.5529978,414.65799727,437.76299674,0.15103127079174983,227,1503,88.6,0.09652299396351685,58,0,0.0,2.0,25.0,0.0,11.0,54,0.9640718562874252,0.8369926813040586,1.0,1.0,0.0,0.0,0.0,0.0,1.0
k02_s4,2,4,2,62d819d26255fe4daf70d26793bea3dfb072fa74ecfc3b21cad2ef4f8e1bea61,ff080feeafeeffb46cc24d8d9f8f813f9159405ad290029901e7a7e3f930e0ad,20260803,pair_union_k2_seed20260803,39,2,"[""13319"",""13414""]",966.03199335,24.77005111153846,483.015996675,460.65199635,483.015996675,505.379997,0.09116022099447514,66,724,61.0,0.05939444963250716,40,1,0.0,6.5,46.0,0.0,14.5,36,0.962707182320442,0.893646408839779,1.0,1.0,0.5,0.5,0.5,0.5,1.0
k02_s5,2,5,2,64e59a7e8b7e675aceea96dcf33a2e2120a204a87f0755c083413b253d0cb225,c31847b27e3d66b54709543535bdcfad11e8d03f22190d22fb7cdca700c075fb,20260803,pair_union_k2_seed20260803,30,2,"[""13321"",""13323""]",565.0239978,18.834133259999998,282.5119989,157.4909994,282.5119989,407.5329984,0.11556603773584906,49,424,77.8,0.12102846232602178,30,2,0.0,3.0,29.0,0.0,15.0,26,0.9551886792452831,0.8820754716981132,1.0,1.0,0.5,1.0,1.0,1.0,1.0
k02_s6,2,6,2,6fee11f84d907aff9b17429280faf8f74aae0e5f4d1721f9dd79346dce74b4ca,71a659ed15d5cdae694b5bc1bc981afb8ddd45e9c0b8b981ab41b7f8f65d054c,20260803,pair_union_k2_seed20260803,83,2,"[""13312"",""13317""]",1299.17198968,15.652674574457832,649.58599484,580.55099702,649.58599484,718.62099266,0.0972263644497465,326,3353,69.99999999999999,0.05112579027880949,84,1,0.0,1.0,25.0,0.0,11.0,80,0.9758425290784373,0.8953176260065613,1.0,1.0,0.0,0.0,0.0,0.0,1.0
k03_s1,3,1,3,e6ed7045cb2778b4de5954163a91d7ad439b9c6e3f42dd823c122c2ae35cbec5,9b7646d91830fb166cefba518ca36d6d897b6b54300cd29e9fe6c7e3ac098dee,20260803,small_3_5_8_13_per6_seed20260803,61,3,"[""13310"",""13316m"",""13406""]",1366.27198972,22.397901470819672,455.42399657333334,369.95399776,406.70799546,589.6099965,0.08633504859919955,151,1749,101.0,0.06883522667073735,62,2,0.0,4.0,57.0,0.0,13.0,56,0.9634076615208691,0.8959405374499714,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0
k03_s2,3,2,3,0205f86e964212942b6af5690adcbcd006df8263cc2fe103ea7923d28e378397,110721c8770a61e08b1b8670f6a000cb1f329b05608c9e338646e6702c380a5c,20260803,small_3_5_8_13_per6_seed20260803,71,3,"[""13305"",""13322"",""13413""]",1461.4259910399999,20.58346466253521,487.1419970133333,391.5529978,437.76299674,632.1099965,0.1009212730318258,241,2388,124.39999999999999,0.07844492441343913,74,0,0.0,4.0,25.0,0.0,12.300000000000004,68,0.9639865996649917,0.878140703517588,1.0,1.0,0.0,0.0,0.0,0.0,1.0
k03_s3,3,3,3,2532b4fb13b6c22968578a3abd6d909986116318a08a3506ed7e41b41aa43f95,f23945a8c392cb2ddb8b8aac7b82f0510ea785e094ae8542e8562013598dbc01,20260803,small_3_5_8_13_per6_seed20260803,47,3,"[""13319"",""13323"",""13414""]",1123.52299275,23.904744526595742,374.50766425,157.4909994,460.65199635,505.379997,0.0842911877394636,88,1044,93.6,0.0769026635414369,48,2,0.0,5.0,46.0,0.0,14.0,42,0.9559386973180076,0.8936781609195402,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0
k03_s4,3,4,3,3e94695d03f9947d7c0d69c212936d31fa1acca1bc2508b549500cd1ab89d0de,33afae70500f38bd9562d1ac53b3ffc1fb51d9db47f1e665bb545e75ffa84d1b,20260803,small_3_5_8_13_per6_seed20260803,105,3,"[""13312"",""13317"",""13321""]",1706.70498808,16.254333219809524,568.9016626933334,407.5329984,580.55099702,718.62099266,0.09435377977865315,503,5331,115.19999999999997,0.06323052011696975,106,2,0.0,3.0,29.0,0.0,12.0,100,0.9771149878071657,0.8968298630650909,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0
