campaign,stage,path,sha256,payload_sha256,summary
graph_timeout_gates_v2_20260914,operational_graph_recovery,w1_k28,,1517bc9d8e0af789a0019dd6c94b7780079b924ab1db20b48c61c1bcdf9ed38f,"{""final"": {}, ""case_id"": ""w1_k28"", ""completion_status"": ""recovered"", ""graph_rebuilt"": true, ""manifest_matches"": true, ""attempts"": [{""attempt"": ""189917_r0"", ""status"": ""finished""}], ""proof_scope"": ""Operational graph preparation; no optimization endpoint inferred.""}"
chain_extension_20260914,cg,/home/nc437/ladder-lite/chain_extension_20260914/cases/w4_k28/cg.json,,85668488bdcd3e9acf8b74897c76e1f6b7beae4d5aec39e1f639b604d4d452e3,"{""certified_rc_optimal"": false, ""stop_reason"": ""wall_limit"", ""wall_s"": 14395.159258786123, ""final"": {""iter"": 217, ""attempt_iter"": 217, ""lp_obj"": 2801157.3176628263, ""route_weight"": 27.999999999999822, ""artificials"": 0.0, ""min_rc"": -0.021669466562004747, ""max_row_violation"": 6.127320872906239e-13, ""max_bound_violation"": 3.300276718576356e-13}}"
