pair_id,reference_seconds,reference_status,reference_min_reduced_cost,cached_seconds,cached_status,cached_stop_reason,cached_min_reduced_cost,raw_dual_sha256,pool_sha256,rmp_rows,rmp_columns,rmp_nonzeros
k1_13407_i16,12892.643765538,complete,-599985.576,14301.43623430701,censored,pricing_deadline,,814db9bda08f43dc65c48bf13084b79c4813abd5141de253af15e9d46caf9f84,8a37d8084e42ed7afbb24126336debef7e12a66bcf42755ee7313ee7da06934a,7817,49,344
k2_240r0_i5,11490.380642127013,complete,-799976.896,14227.762228460982,censored,pricing_deadline,,209385fcd0d3140bfe67a98b3183bd7fb6ae5833218e2ab91bb895fbec180736,2a649b1f9b059f36c44a73143a242f704dc3800f1e30505c1cccce1c810496ea,7823,50,249
