treatment,donor_route,trip_count,matching_coverage_columns,weighted_route_cost,trip_dual_sum,reduced_cost
core,1,13,0,100069.968,100047.36916273917,22.598837260826258
core,2,13,0,100049.968,100047.65543373446,2.3125662655365886
core,3,33,0,100069.432,100049.09153874905,20.340461250947556
core,4,26,0,100037.032,100030.87806749129,6.153932508721482
core,5,36,0,100059.64,100053.73314444468,5.906855555324
core,6,40,0,100098.528,100063.60621571312,34.92178428688203
core,7,16,0,100090.384,100060.47259647334,29.911403526668437
core,8,17,1,100091.832,100069.86463984924,21.96736015075294
core,9,14,0,100071.168,100058.562549374,12.605450626011589
core,10,36,0,100072.864,100058.17488531121,14.68911468879378
core,11,18,0,100110.016,100079.425655227,30.590344773008837
core,12,39,0,100074.848,100061.02894233337,13.819057666623848
core,13,23,1,100028.56,100027.26246102666,1.2975389733328484
core,14,53,1,100110.75999999885,100068.14827722455,42.61172277429432
core,15,27,0,100028.80799999998,100028.71232929477,0.09567070521006826
core512,1,13,0,100069.968,100047.36916251187,22.598837488127174
core512,2,13,0,100049.968,100047.65538796986,2.3126120301312767
core512,3,33,0,100069.432,100049.09573816675,20.33626183324668
core512,4,26,0,100037.032,100030.807724106,6.224275894011953
core512,5,36,0,100059.64,100053.6062477523,6.033752247705706
core512,6,40,1,100098.528,100063.78286219582,34.745137804187834
core512,7,16,0,100090.384,100060.47255048192,29.911449518083828
core512,8,17,1,100091.832,100069.86460099086,21.967399009139626
core512,9,14,0,100071.168,100058.56260641565,12.605393584351987
core512,10,36,0,100072.864,100058.31376750395,14.550232496054377
core512,11,18,0,100110.016,100079.42569952234,30.590300477662822
core512,12,39,0,100074.848,100060.90486081687,13.94313918313128
core512,13,23,1,100028.56,100027.26254613693,1.297453863066039
core512,14,53,1,100110.75999999885,100068.06618348742,42.69381651142612
core512,15,27,0,100028.80799999998,100028.75900474793,0.04899525204382371
