campaign,case_id,chain,target,original_buses,total_budget_s,fleet_budget_s,input_sha256,source_status_sha256,source_journal_sha256
final_chain_gap_20260915,w5_k25_longmip,5,25,26,12600,10800,c16a85cdc05d7cbf0ecd4ac0de2e295d9cddf3800b961cb9f3e1e4fca446a908,5fbef70027639a27c97d0c316d9516bac30c270ce5d9155e03be464242b67f94,0e99b399b62565fc97594dd4d1f47ef9c915af10c5246bed89eefa7484441d38
continuation_gap_20260915,w3_k28_longmip,3,28,29,12600,10800,f412c76bfb62d9df3c06dd16f8df890734330595df0d622c4507ccb5e80d3b3d,2945438839ca8f108f82656cf57214e360f04e54171fce6a59448c8ea73d0f89,eb16dd14e049263c8d233ba1a78c90dfe55e38b02215d6cff0a45750e21becc9
