201479|drCompact_c1_k15_core_mip|default_partition|PENDING|0:0|00:00:00|Unknown|Unknown|None assigned
201480|drCompact_c2_k08_core512_mip|default_partition|RUNNING|0:0|00:16:09|2026-09-14T19:39:06|Unknown|jingjie-cpu-20
201481|drCompact_c2_k08_core_mip|default_partition|RUNNING|0:0|00:15:08|2026-09-14T19:40:07|Unknown|unicorn-cpu-87
201482|drCompact_c2_k10_core512_mip|default_partition|RUNNING|0:0|00:01:08|2026-09-14T19:54:07|Unknown|jingjie-cpu-03
201483|drCompact_c2_k10_core_mip|default_partition|PENDING|0:0|00:00:00|Unknown|Unknown|None assigned
201484|drCompact_c2_k15_core512_mip|default_partition|PENDING|0:0|00:00:00|Unknown|Unknown|None assigned
201485|drCompact_c2_k15_core_mip|default_partition|PENDING|0:0|00:00:00|Unknown|Unknown|None assigned
201486|drCompact_c3_k08_core512_mip|default_partition|COMPLETED|0:0|00:00:40|2026-09-14T19:30:05|2026-09-14T19:30:45|jingjie-cpu-08
201487|drCompact_c3_k08_core_mip|default_partition|COMPLETED|0:0|00:01:23|2026-09-14T19:35:05|2026-09-14T19:36:28|sablab-cpu-02
201488|drCompact_c3_k10_core512_mip|default_partition|COMPLETED|0:0|00:09:05|2026-09-14T19:41:07|2026-09-14T19:50:12|sablab-cpu-02
201489|drCompact_c3_k10_core_mip|default_partition|RUNNING|0:0|00:08:25|2026-09-14T19:46:50|Unknown|snavely-cpu-01
201490|drCompact_c3_k15_core512_mip|default_partition|PENDING|0:0|00:00:00|Unknown|Unknown|None assigned
201491|drCompact_c3_k15_core_mip|default_partition|PENDING|0:0|00:00:00|Unknown|Unknown|None assigned
201492|drCompact_c4_k08_core512_mip|default_partition|PENDING|0:0|00:00:00|Unknown|Unknown|None assigned
201493|drCompact_c4_k08_core_mip|default_partition|PENDING|0:0|00:00:00|Unknown|Unknown|None assigned
201494|drCompact_c4_k10_core512_mip|default_partition|RUNNING|0:0|00:06:19|2026-09-14T19:48:56|Unknown|snavely-cpu-11
201495|drCompact_c4_k10_core_mip|default_partition|PENDING|0:0|00:00:00|Unknown|Unknown|None assigned
201496|drCompact_c4_k15_core512_mip|default_partition|PENDING|0:0|00:00:00|Unknown|Unknown|None assigned
201497|drCompact_c4_k15_core_mip|default_partition|PENDING|0:0|00:00:00|Unknown|Unknown|None assigned
201498|drCompact_c5_k08_core512_mip|default_partition|COMPLETED|0:0|00:00:31|2026-09-14T19:31:05|2026-09-14T19:31:36|jingjie-cpu-08
201499|drCompact_c5_k08_core_mip|default_partition|COMPLETED|0:0|00:01:35|2026-09-14T19:39:06|2026-09-14T19:40:41|jingjie-cpu-01
201500|drCompact_c5_k10_core512_mip|default_partition|COMPLETED|0:0|00:02:37|2026-09-14T19:43:08|2026-09-14T19:45:45|jingjie-cpu-01
201501|drCompact_c5_k10_core_mip|default_partition|COMPLETED|0:0|00:03:10|2026-09-14T19:46:50|2026-09-14T19:50:00|snavely-cpu-09
201502|drCompact_c5_k15_core512_mip|default_partition|PENDING|0:0|00:00:00|Unknown|Unknown|None assigned
201503|drCompact_c5_k15_core_mip|default_partition|PENDING|0:0|00:00:00|Unknown|Unknown|None assigned
201504|drCompact_c6_k08_core512_mip|default_partition|COMPLETED|0:0|00:00:34|2026-09-14T19:30:05|2026-09-14T19:30:39|jingjie-cpu-08
201505|drCompact_c6_k08_core_mip|default_partition|COMPLETED|0:0|00:01:14|2026-09-14T19:33:35|2026-09-14T19:34:49|snavely-cpu-12
201506|drCompact_c6_k10_core512_mip|default_partition|COMPLETED|0:0|00:01:48|2026-09-14T19:33:01|2026-09-14T19:34:49|snavely-cpu-11
201507|drCompact_c6_k10_core_mip|default_partition|COMPLETED|0:0|00:01:27|2026-09-14T19:38:06|2026-09-14T19:39:33|sablab-cpu-02
201508|drCompact_c6_k15_core512_mip|default_partition|PENDING|0:0|00:00:00|Unknown|Unknown|None assigned
201509|drCompact_c6_k15_core_mip|default_partition|PENDING|0:0|00:00:00|Unknown|Unknown|None assigned
201512|drP_w1_k20_longmip|default_partition|RUNNING|0:0|00:31:09|2026-09-14T19:24:06|Unknown|sonic-cpu-01
201513|drP_w1_k22_longmip|default_partition|RUNNING|0:0|00:31:09|2026-09-14T19:24:06|Unknown|sonic-cpu-02
201514|drP_w2_k23_longmip|default_partition|RUNNING|0:0|00:31:09|2026-09-14T19:24:06|Unknown|totient-cpu-02
201515|drP_w2_k24_longmip|default_partition|RUNNING|0:0|00:31:09|2026-09-14T19:24:06|Unknown|totient-cpu-03
201516|drP_w3_k25_longmip|default_partition|RUNNING|0:0|00:31:09|2026-09-14T19:24:06|Unknown|totient-cpu-04
201517|drP_w4_k21_longmip|default_partition|RUNNING|0:0|00:31:09|2026-09-14T19:24:06|Unknown|totient-cpu-05
201518|drP_w4_k24_longmip|default_partition|RUNNING|0:0|00:31:09|2026-09-14T19:24:06|Unknown|totient-cpu-06
201519|drP_w4_k25_longmip|default_partition|RUNNING|0:0|00:31:09|2026-09-14T19:24:06|Unknown|totient-cpu-07
201520|drP_w6_k25_longmip|default_partition|RUNNING|0:0|00:31:09|2026-09-14T19:24:06|Unknown|totient-cpu-08
202361|cfd_k1_13407_i16_prefix_memo|default_partition|FAILED|1:0|00:02:52|2026-09-14T19:42:08|2026-09-14T19:45:00|unicorn-cpu-73
202362|cfd_k1_13407_i16_reference|default_partition|RUNNING|0:0|00:13:07|2026-09-14T19:42:08|Unknown|unicorn-cpu-73
202363|cfd_k2_240r0_i5_prefix_memo|default_partition|FAILED|1:0|00:04:04|2026-09-14T19:42:08|2026-09-14T19:46:12|sonic-cpu-01
202364|cfd_k2_240r0_i5_reference|default_partition|RUNNING|0:0|00:13:07|2026-09-14T19:42:08|Unknown|sonic-cpu-01
202450|cfd_k1_13407_i16_prefix_memo|default_partition|RUNNING|0:0|00:03:08|2026-09-14T19:52:07|Unknown|snavely-cpu-09
202451|cfd_k2_240r0_i5_prefix_memo|default_partition|RUNNING|0:0|00:03:08|2026-09-14T19:52:07|Unknown|snavely-cpu-12
