case_id,chain,target,treatment,starting_sequences,cg_minutes,cg_certificate,cg_stop_reason,weighted_lp_objective,fractional_route_weight,cg_pool_columns,last_reduced_cost,cg_path,cg_sha256,buses,pool_fleet_bound,target_excluded_in_saved_pool,fleet_proved,pool_columns,total_mip_minutes,fleet_search_minutes,charging_status,individual_route_replay,duplicate_removal_validated,shared_capacity_validated,mip_path,mip_sha256
c3_k25_core,3,25,previous_k_core,385,239.05543962209487,False,wall_limit,2501050.534378459,25.00000000000055,65106,-0.01878952227928865,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c3_k25_core/cg.json,69a227b52105cc2afe9fd4d38aca43e91dc54f8ce964e6b4c7ef000c1df2cd3c,26,25.000000000000096,False,False,65106,210.1088676929474,180.0346408724785,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c3_k25_core_mip/mip_result.json,20ffe418a4124faa895163fc550de2f78d7d552b1c519a92be0789048d30c1e3
c3_k25_core512,3,25,previous_k_core512,512,239.04315998290744,False,wall_limit,2501050.5341557777,25.000000000000174,65211,-0.00023739286985335895,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c3_k25_core512/cg.json,9981b14d9e9ae2d3c2b0851a3aa2aaff39ca93b05a845a0fee46dd93792f0687,25,25.0,False,True,65211,210.05783483584722,3.5459760824839273,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c3_k25_core512_mip/mip_result.json,61585be08b61481d61427e25b1b36a2da16c75eb0f6398b285e0d17df80cb717
c4_k20_core,4,20,previous_k_core,356,239.0809633317093,False,wall_limit,2000920.5536892065,20.000000000000334,68275,-2.7930821405509887,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c4_k20_core/cg.json,dfb2bed629ac52817ab6f03e2e4c15c6c5e396ab0e164eb27b5d90fbeb94602b,20,20.0,False,True,68275,11.940621471405029,0.38510696093241376,OPTIMAL,True,False,False,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c4_k20_core_mip/mip_result.json,d5f4d838014dbda46f146ce448d06ddddbd3a40592e188f40b93dfdab48a085d
c4_k20_core512,4,20,previous_k_core512,512,239.05834616529756,False,wall_limit,2000919.6184052986,20.000000000000057,68881,-1.9158276121152156,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c4_k20_core512/cg.json,73e21d95ccaf7194cfed044ec6b24ca196caa91afbcf916026f8a47484b8de43,20,20.0,False,True,68881,47.4078843275706,0.4448771794637044,OPTIMAL,True,False,False,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c4_k20_core512_mip/mip_result.json,a138941ea9a68385ec2b74c2229f881ea85fe1dc7882ae5ffb923e1b73ba4c27
c4_k25_core,4,25,previous_k_core,406,239.08053709262362,False,wall_limit,2501116.768849839,25.00000000000003,50913,-1.2703521262490605,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c4_k25_core/cg.json,f7fcdfe520dcb7077f7b0fe37e9028285d54d99e49eb3e8943741a1b02936140,26,26.0,True,True,50913,210.06812516848245,12.680495425065358,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c4_k25_core_mip/mip_result.json,9c4d0b3b1e85446a8594cb7baaa9ae677a23c12d3ca6673ef3b37d294774e5fa
c4_k25_core512,4,25,previous_k_core512,512,239.17340919336615,False,wall_limit,2501116.0513454094,25.000000000000085,50629,-0.865239429218418,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c4_k25_core512/cg.json,7520eb1cdc95621472613a5e375b04acf310bf76a8ad276846b13f550c77a0b5,26,26.0,True,True,50629,210.0682037472725,32.96081125338872,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c4_k25_core512_mip/mip_result.json,781d8639f3f3d0b8fb3f6957ebaecb7e99ff014409d9fab189e5cc81e0a97f71
c5_k20_core,5,20,previous_k_core,291,239.0523414902156,False,wall_limit,2000913.6783518698,19.999999999999872,72719,-0.07223495102844346,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c5_k20_core/cg.json,e3e2cc793e74461bc135060a719d2fb7a75ccc2fa6a38bb94fa0c63151069c7e,21,21.0,True,True,72719,210.05145484606425,51.19939260085424,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c5_k20_core_mip/mip_result.json,d112e8b5ca88beca974eaa9552d5fed566ae920d6ba9b9c12dceaa83cfbddd00
c5_k20_core512,5,20,previous_k_core512,512,239.0697638373434,False,wall_limit,2000913.6465356478,20.00000000000014,72790,-0.0042818806361486494,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c5_k20_core512/cg.json,572f50624bffb8f4c8eb54cc61e52fd03905ca7d8f2dfa6b2e0677ed37683345,21,20.000000000000057,False,False,72790,210.0556432366371,180.04618874788284,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c5_k20_core512_mip/mip_result.json,7154d9688c2f1a7706aaf7f8146459d61fbe01e3f11a665eb39a98b10eb737ec
c5_k25_core,5,25,previous_k_core,452,239.2115852964033,False,wall_limit,2501085.963302628,25.000000000000146,49766,-1.1999447558491578,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c5_k25_core/cg.json,86b21b925b887d8b6b2ffb5d23547dc11d4f338a3bf434b73c57800ea185af86,26,26.0,True,True,49766,210.07099856138228,13.694951550165813,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c5_k25_core_mip/mip_result.json,505d788bbe7b04fbc2094fc2657440cda7e936665ab7f94916cadac1b4583b13
c5_k25_core512,5,25,previous_k_core512,512,239.2258562647039,False,wall_limit,2501085.8031769246,25.000000000000153,49196,-0.9342281864478368,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c5_k25_core512/cg.json,212eb26430cddcbf40bd87dc6ebce10dff4b7d3290e23b2bed20dd7052b2e11f,26,26.0,True,True,49196,210.06779702107113,13.505632050832112,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c5_k25_core512_mip/mip_result.json,54de2281267a5a29704b62483db5bb9bbc22d219c9c1a315e5503c30a9f02c46
c6_k20_core,6,20,previous_k_core,288,239.15600003786386,False,wall_limit,2000831.1815628526,20.00000000000009,66987,-0.6153788921743264,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c6_k20_core/cg.json,a5db91c8967216c1291ba7be96b0a2a4b7641fdd2653440c3a0be85f4739ed58,20,19.999999999999314,False,True,66987,11.245698583126067,0.1418729305267334,OPTIMAL,True,False,False,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c6_k20_core_mip/mip_result.json,eb59336cfa1185b05544f1bbc5b81ce43c4418f07884366505a183a6b70251e5
c6_k20_core512,6,20,previous_k_core512,512,239.15645997455965,False,wall_limit,2000833.321945187,20.000000000000664,45701,-2.7919751346882635,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c6_k20_core512/cg.json,55dc9e91158ac6a5610b86a66a7b342bb1e22f63632b9ce8cb9d623f91b348d7,20,20.0,False,True,45701,5.35910257101059,0.1374529480934143,OPTIMAL,True,False,False,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c6_k20_core512_mip/mip_result.json,a9ac93cb8d73560c817957e6dff169e80933a36b72f95652e307aea112255508
c6_k25_core,6,25,previous_k_core,403,239.17966567537903,False,wall_limit,2501016.5057897363,24.999999999999787,53693,-0.14860178124045387,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c6_k25_core/cg.json,7a7397c22cfd17dc9ff9a5dbd27425a846cba7b57d9cf74f3c1700a0671aedcb,26,25.000000000000036,False,False,53693,210.11152184406916,180.04858399629592,TIME_LIMIT,True,False,False,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c6_k25_core_mip/mip_result.json,3c5a5adfdbe171dbf5dd53be6b4aeff016a88f1b56b5693771b5e4a0a9a517e7
c6_k25_core512,6,25,previous_k_core512,512,239.15664403851454,False,wall_limit,2501016.8180170218,24.99999999999972,40122,-0.9268995662211159,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c6_k25_core512/cg.json,dd1e0b7d3a0eaa89482ca1deff962d2a134f02ef475b140cc37cebdded1dab84,25,25.0,False,True,40122,30.76408768494924,1.1281409899393717,OPTIMAL,True,False,False,/home/nc437/ladder-lite/compact_large_seed_20260914/cases/c6_k25_core512_mip/mip_result.json,0975b763e0fdc48af3f64f3dfb0de0dac2b5a3b991addbc6d64c050a9621e8b1
