case_id,chain,target_k,buses,pool_fleet_bound,fleet_proven_in_pool,physical_route_replay,cg_minutes_at_this_k,source_path,source_sha256,snapshot_path,snapshot_sha256
w1_k16,1,16,16,16.0,True,True,47.69827642966217,/home/nc437/ladder-lite/chain_extension_20260913/cases/w1_k16/mip/133910_r0/result.json,cfbbc6d145788e04f91bbbd0ad4d1097e9ed8d3b02b0dacb634a07e8a3a66a49,outputs/post_meeting_20260910/monitor/20260914T172907Z.json,4b6cb1dffd1c036d3c28c63be985602d0e72fecdf190c7bf91c755ce341c6c04
w1_k17,1,17,17,17.0,True,True,83.26131981393944,/home/nc437/ladder-lite/chain_extension_20260913/cases/w1_k17/mip/133912_r0/result.json,a353d66c8fbd42cf7603ea19bc0dada943a92d1d238ff31a40f96f6db4781ebd,outputs/post_meeting_20260910/monitor/20260914T172907Z.json,4b6cb1dffd1c036d3c28c63be985602d0e72fecdf190c7bf91c755ce341c6c04
w1_k18,1,18,18,18.0,True,True,234.32334600906663,/home/nc437/ladder-lite/chain_extension_20260913/cases/w1_k18/mip/133914_r0/result.json,949e676a6ddccbca72e08593e4aab757a7edb6fc841aece5eeab3098e931f26d,outputs/post_meeting_20260910/monitor/20260914T172907Z.json,4b6cb1dffd1c036d3c28c63be985602d0e72fecdf190c7bf91c755ce341c6c04
w1_k19,1,19,20,19.00000000000002,False,True,239.31682532416502,/home/nc437/ladder-lite/chain_extension_20260913/cases/w1_k19/mip/133916_r0/result.json,7c6e3520a96ef871dcd65c6c32f1db7cd713c43b9a62f0efcf3dfa00f40b1fff,outputs/post_meeting_20260910/monitor/20260914T172907Z.json,4b6cb1dffd1c036d3c28c63be985602d0e72fecdf190c7bf91c755ce341c6c04
w1_k20,1,20,21,20.000000000000025,False,True,239.63640690417185,/home/nc437/ladder-lite/chain_extension_20260913/cases/w1_k20/mip/133918_r0/result.json,dae346c7652b65af28220580dea6f7d24722437890e0894576c865a3ed7f04d1,outputs/post_meeting_20260910/monitor/20260914T172907Z.json,4b6cb1dffd1c036d3c28c63be985602d0e72fecdf190c7bf91c755ce341c6c04
w1_k21,1,21,21,21.0,True,True,239.91847794164593,/home/nc437/ladder-lite/chain_extension_20260913/cases/w1_k21/mip/133920_r0/result.json,5c54a70d1646731f4c6320fb35a373891aa358b87dfeb7e3450080e6db229938,outputs/post_meeting_20260910/monitor/20260914T172907Z.json,4b6cb1dffd1c036d3c28c63be985602d0e72fecdf190c7bf91c755ce341c6c04
w1_k22,1,22,23,22.00000000000003,False,True,149.7478631861042,/home/nc437/ladder-lite/chain_extension_20260913/cases/w1_k22/mip/133922_r0/result.json,25ac6f205c956bd5e8769d654b2a9b9f80236dc86ac78cb311c5e2fdc109b8e7,outputs/post_meeting_20260910/monitor/20260914T172907Z.json,4b6cb1dffd1c036d3c28c63be985602d0e72fecdf190c7bf91c755ce341c6c04
w2_k16,2,16,16,16.0,True,True,44.28484435174226,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k16/mip/133930_r0/result.json,9b1b134620d681d83f606334d2c7fe9a7acc5fb5602e05e443841d39dfaa3fa0,outputs/post_meeting_20260910/monitor/20260914T172907Z.json,4b6cb1dffd1c036d3c28c63be985602d0e72fecdf190c7bf91c755ce341c6c04
w2_k17,2,17,18,17.0,False,True,102.40232212621873,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k17/mip/133932_r0/result.json,a7c7ed6c28a326906884ef15a884f5bdd516f74c78d328b4ad4c385921ae05bc,outputs/post_meeting_20260910/monitor/20260914T172907Z.json,4b6cb1dffd1c036d3c28c63be985602d0e72fecdf190c7bf91c755ce341c6c04
w2_k18,2,18,19,18.0,False,True,123.14828624875517,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k18/mip/133934_r0/result.json,d3f5a54e4af58d4b4847915097578f9c0b79efeb535a9930e64e3e5428326c0b,outputs/post_meeting_20260910/monitor/20260914T172907Z.json,4b6cb1dffd1c036d3c28c63be985602d0e72fecdf190c7bf91c755ce341c6c04
