case_id,chain,target_k,cg_minutes_at_this_k,pricing_certified,stop_reason,iterations,weighted_rmp_objective,fractional_route_weight,last_min_reduced_cost,source_path,source_sha256,snapshot_path,snapshot_sha256
w1_k16,1,16,47.69827642966217,True,certified,206,1600773.527766161,16.00000000000012,-4.572974887651071e-09,/home/nc437/ladder-lite/chain_extension_20260913/cases/w1_k16/cg.json,,outputs/post_meeting_20260910/monitor/20260914T172907Z.json,4b6cb1dffd1c036d3c28c63be985602d0e72fecdf190c7bf91c755ce341c6c04
w1_k17,1,17,83.26131981393944,True,certified,380,1700800.4040138263,17.000000000000295,-4.594085112330504e-09,/home/nc437/ladder-lite/chain_extension_20260913/cases/w1_k17/cg.json,,outputs/post_meeting_20260910/monitor/20260914T172907Z.json,4b6cb1dffd1c036d3c28c63be985602d0e72fecdf190c7bf91c755ce341c6c04
w1_k18,1,18,234.32334600906663,True,certified,595,1800875.6489314782,18.000000000000234,-7.278865066240314e-09,/home/nc437/ladder-lite/chain_extension_20260913/cases/w1_k18/cg.json,,outputs/post_meeting_20260910/monitor/20260914T172907Z.json,4b6cb1dffd1c036d3c28c63be985602d0e72fecdf190c7bf91c755ce341c6c04
w1_k19,1,19,239.31682532416502,False,wall_limit,456,1900937.3998528144,18.99999999999961,-0.06574062970129102,/home/nc437/ladder-lite/chain_extension_20260913/cases/w1_k19/cg.json,,outputs/post_meeting_20260910/monitor/20260914T172907Z.json,4b6cb1dffd1c036d3c28c63be985602d0e72fecdf190c7bf91c755ce341c6c04
w1_k20,1,20,239.63640690417185,False,wall_limit,451,2000940.007769795,19.99999999999989,-0.00858500596105749,/home/nc437/ladder-lite/chain_extension_20260913/cases/w1_k20/cg.json,,outputs/post_meeting_20260910/monitor/20260914T172907Z.json,4b6cb1dffd1c036d3c28c63be985602d0e72fecdf190c7bf91c755ce341c6c04
w1_k21,1,21,239.91847794164593,False,wall_limit,424,2100934.1501255343,20.999999999999286,-0.0007366521210800947,/home/nc437/ladder-lite/chain_extension_20260913/cases/w1_k21/cg.json,,outputs/post_meeting_20260910/monitor/20260914T172907Z.json,4b6cb1dffd1c036d3c28c63be985602d0e72fecdf190c7bf91c755ce341c6c04
w1_k22,1,22,149.7478631861042,True,certified,196,2200970.613250606,21.9999999999995,-5.4499599849489044e-05,/home/nc437/ladder-lite/chain_extension_20260913/cases/w1_k22/cg.json,,outputs/post_meeting_20260910/monitor/20260914T172907Z.json,4b6cb1dffd1c036d3c28c63be985602d0e72fecdf190c7bf91c755ce341c6c04
w2_k16,2,16,44.28484435174226,True,certified,199,1600685.7013360031,15.999999999999977,-7.346675004193948e-05,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k16/cg.json,,outputs/post_meeting_20260910/monitor/20260914T172907Z.json,4b6cb1dffd1c036d3c28c63be985602d0e72fecdf190c7bf91c755ce341c6c04
w2_k17,2,17,102.40232212621873,True,certified,445,1700731.7292930596,16.999999999999936,-4.168993683606459e-08,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k17/cg.json,,outputs/post_meeting_20260910/monitor/20260914T172907Z.json,4b6cb1dffd1c036d3c28c63be985602d0e72fecdf190c7bf91c755ce341c6c04
w2_k18,2,18,123.14828624875517,True,certified,431,1800755.859425204,18.00000000000025,-6.786064954411586e-08,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k18/cg.json,,outputs/post_meeting_20260910/monitor/20260914T172907Z.json,4b6cb1dffd1c036d3c28c63be985602d0e72fecdf190c7bf91c755ce341c6c04
