chain,target_k,buses,cg_minutes_at_this_k,source_path,source_sha256,fleet_proven_in_pool,physical_route_replay,source_campaign
1,18,18,234.32334600906663,/home/nc437/ladder-lite/chain_extension_20260913/cases/w1_k18/mip/133914_r0/result.json,949e676a6ddccbca72e08593e4aab757a7edb6fc841aece5eeab3098e931f26d,True,True,chain extension
2,21,21,79.71300590212923,/home/nc437/ladder-lite/chain_extension_20260913/cases/w2_k21/mip/133940_r0/result.json,6e9a4532459f87c518188998368e5c3d242ec029c250bf74ef71f121672eedb0,True,True,chain extension
3,18,18,48.15024766811015,/home/nc437/ladder-lite/chain_extension_20260913/cases/w3_k18/mip/133954_r0/result.json,dd60029136e34e2fc5fb4b2336b81c9bc84f9614b3d733be16afda6701140ced,True,True,chain extension
4,19,19,239.14683105872246,/home/nc437/ladder-lite/chain_extension_20260913/cases/w4_k19/mip/133976_r0/result.json,eadbb989fdfc692067bc20370c0dc8fa8ae268ebe2c200a54b8b4792adad29a0,True,True,chain extension
5,18,18,50.46649903829675,/home/nc437/ladder-lite/chain_extension_20260913/cases/w5_k18/mip/133994_r0/result.json,062f872d7818b2e3c1c34b565e24fa50ec8393f14df6b3515f0c818038f78621,True,True,chain extension
6,20,20,79.6234048834575,/home/nc437/ladder-lite/chain_extension_20260913/cases/w6_k20/mip/134070_r0/result.json,46d39909f8039564204c013a22601d442d77ebbdc05c89acf1a2dbd284b19934,True,True,chain extension
