case_id,chain,target_k,cg_minutes_at_this_k,pricing_certified,stop_reason,iterations,weighted_rmp_objective,fractional_route_weight,last_min_reduced_cost,source_path,source_sha256,snapshot_path,snapshot_sha256
w4_k16,4,16,102.55466983000515,True,certified,517,1600712.3734439802,16.000000000000295,-7.156916029726901e-05,/home/nc437/ladder-lite/chain_extension_20260913/cases/w4_k16/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w4_k17,4,17,77.7171644435885,True,certified,277,1700779.1686177808,17.000000000000078,-9.283480650879028e-09,/home/nc437/ladder-lite/chain_extension_20260913/cases/w4_k17/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w4_k18,4,18,68.93730294267492,True,certified,267,1800795.6604092887,17.999999999999783,-1.4539709880523333e-08,/home/nc437/ladder-lite/chain_extension_20260913/cases/w4_k18/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w4_k19,4,19,239.14683105872246,False,wall_limit,565,1900863.0783518585,19.00000000000035,-0.003185266591251068,/home/nc437/ladder-lite/chain_extension_20260913/cases/w4_k19/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w4_k20,4,20,79.3658609316762,True,certified,157,2000918.6508342363,19.999999999999904,-1.0063964328566044e-08,/home/nc437/ladder-lite/chain_extension_20260913/cases/w4_k20/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w5_k16,5,16,77.151371083525,True,certified,653,1600718.3061523081,16.000000000000234,-4.5430477157992755e-09,/home/nc437/ladder-lite/chain_extension_20260913/cases/w5_k16/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w5_k17,5,17,80.38644854561426,True,certified,312,1700742.0312144484,16.99999999999993,-8.736641632367537e-09,/home/nc437/ladder-lite/chain_extension_20260913/cases/w5_k17/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w5_k18,5,18,50.46649903829675,True,certified,173,1800795.4846392954,18.00000000000037,-1.1439190927831078e-08,/home/nc437/ladder-lite/chain_extension_20260913/cases/w5_k18/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w5_k19,5,19,239.34077811311,False,wall_limit,648,1900861.5512499572,19.000000000000163,-0.08846312908986675,/home/nc437/ladder-lite/chain_extension_20260913/cases/w5_k19/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w6_k16,6,16,73.8678514350516,True,certified,353,1600662.900496011,15.999999999999984,-4.187603597216594e-08,/home/nc437/ladder-lite/chain_extension_20260913/cases/w6_k16/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w6_k17,6,17,55.71042322766346,True,certified,151,1700710.7350462668,17.00000000000005,-4.626288330200623e-08,/home/nc437/ladder-lite/chain_extension_20260913/cases/w6_k17/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w6_k18,6,18,150.56472540087998,True,certified,476,1800738.9623475797,17.999999999999748,-5.3905995223146874e-08,/home/nc437/ladder-lite/chain_extension_20260913/cases/w6_k18/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w6_k19,6,19,61.2120295266388,True,certified,175,1900784.7070598905,19.00000000000018,-3.851877128369097e-08,/home/nc437/ladder-lite/chain_extension_20260913/cases/w6_k19/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
w6_k20,6,20,79.6234048834575,True,certified,254,2000830.867084454,19.999999999999712,-2.504604168507285e-08,/home/nc437/ladder-lite/chain_extension_20260913/cases/w6_k20/cg.json,,outputs/post_meeting_20260910/monitor/20260914T042303Z.json,97753a8d0e97e820429515d7861af008f3590d911d2882d2ce3578b1ea9dda09
