Identifier,From1,Start1,End1,To1,Distance1,Usage kWh,count_trip_id,Ordered_Trip_ID,Source_Duty
Regular,13329,5:17,5:27,PC_3,4.645,9.28999996,0,685,13307
Regular,PC_6,5:27,5:52,ÖS_J,8.581,17.1669998,1,489,13311
Regular,PC_7,5:27,5:44,JON_B,5.137,10.2790003,2,771,13307
Regular,JON_A,5:45,5:57,PC_7,5.133,10.2659998,3,772,13307
Regular,PC_5,5:57,6:27,HED_E,10.088,20.1809998,4,365,13307
Regular,ÖS_H,6:04,6:27,PC_6,8.205,16.4099998,5,492,13311
Regular,PC_9,6:27,6:42,JON_B,6.191,12.3870001,6,887,13311
Regular,HED_D,6:33,6:57,PC_5,9.931,19.8619995,7,368,13307
Regular,JON_A,6:53,7:07,PC_9,6.171,12.342,8,890,13311
Regular,PC_6,6:57,7:24,ÖS_J,8.581,17.1669998,9,495,13307
Regular,PC_5,7:07,7:39,HED_E,10.088,20.1809998,10,373,13311
Regular,PC_7,7:10,7:34,GMV_G,9.319,18.6380005,11,584,13323
Regular,ÖS_H,7:34,7:57,PC_6,8.205,16.4099998,12,498,13307
Regular,GMV_H,7:40,8:07,PC_7,9.153,18.3059998,13,587,13323
Regular,HED_D,7:50,8:17,PC_5,9.931,19.8619995,14,380,13311
Regular,PC_10,7:57,8:34,HED_E,11.168,22.3409996,15,248,13307
Regular,PC_7,8:10,8:34,GMV_G,9.319,18.6380005,16,590,13323
Regular,13421,8:25,8:43,6480,10.809,21.618,17,207,13311
Regular,GMV_H,8:40,9:07,PC_7,9.153,18.3059998,18,594,13323
Regular,PC_5,14:57,15:28,HED_E,10.088,20.1809998,19,427,13311
Regular,13215,15:07,15:24,3127,10.033,20.066,20,292,13307
Regular,6480,15:25,15:44,13421,11.116,22.2320004,21,208,13323
Regular,HED_D,15:25,15:57,PC_10,10.664,21.3279991,22,296,13307
Regular,HED_D,15:39,16:07,PC_5,9.931,19.8619995,23,435,13311
Regular,PC_3,15:57,16:13,13329,4.783,9.5710001,24,730,13307
Regular,HED_D,16:05,16:37,PC_10,10.664,21.3279991,25,306,13323
Regular,PC_10,16:07,16:43,HED_E,11.168,22.3409996,26,308,13311
Regular,13329,16:15,16:27,PC_3,4.645,9.28999996,27,731,13307
Regular,13215,16:37,16:54,3127,10.033,20.066,28,313,13307
Regular,PC_5,16:37,17:08,HED_E,10.088,20.1809998,29,445,13323
Regular,HED_D,16:45,17:17,PC_10,10.664,21.3279991,30,314,13311
Regular,HED_D,16:55,17:27,PC_10,10.664,21.3279991,31,317,13307
Regular,HED_D,17:10,17:37,PC_5,9.931,19.8619995,32,450,13323
Regular,13215,17:17,17:34,3127,10.033,20.066,33,323,13311
Regular,6480,17:40,18:01,13330,11.944,23.8880005,34,223,13307
Regular,HED_D,17:41,18:07,PC_5,9.931,19.8619995,35,455,13311
Regular,PC_10,18:07,18:41,HED_E,11.168,22.3409996,36,330,13311
